galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,3.23,194.0,16.7,19565.292074303405,-2584.3796221619023,-1817693.5917004251,-1798128.2996261218,1.7972200755611428e-06,193.99999820277992
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,9.18,172.0,8.1,4188.233322440088,-2187.012820139775,-541222.1200217252,-537033.8866992851,3.0298514815086234e-06,171.99999697014852
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,10.64,170.0,10.7,3359.527077067669,-488.20479900173467,-104238.29681642065,-100878.76973935298,3.261901286060018e-06,169.9999967380987
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,11.58,170.0,6.8,3016.5418048359247,-307.241103803583,-60275.0595029009,-57258.51769806497,3.402939905434711e-06,169.9999965970601
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,12.52,171.0,6.8,2781.913801916933,-181.8743900646749,-33001.53278067406,-30219.618978757127,3.538361202590826e-06,170.9999964616388
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,13.57,172.0,12.1,2654.6117686072216,-157.44770551738395,-26358.66307645183,-23704.05130784461,3.6837480912787726e-06,171.9999963162519
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,15.76,174.0,19.6,2271.783236040609,-147.59628846809866,-21275.81052307363,-19004.02728703302,3.969886648255842e-06,173.99999603011335
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,24.94,193.0,23.2,976.4419687249397,-132.2446050456635,-12046.153841200869,-11069.71187247593,4.9939963956735095e-06,192.99999500600362
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,26.3,194.0,23.0,877.9250988593157,-46.138227910951244,-3985.4012436775656,-3107.47614481825,5.128352561983234e-06,193.99999487164743
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,34.96,201.0,7.2,514.1369250572083,-39.29728983938234,-2553.6305571778535,-2039.493632120645,5.912698199637793e-06,200.9999940873018
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,36.84,202.0,17.1,463.73166395222574,-16.44637645338869,-1014.1857307389097,-550.4540667866839,6.069596362197407e-06,201.99999393040363
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,47.38,205.0,16.0,309.87292950612067,-9.906771708824065,-475.01135270974856,-165.1384232036279,6.883313155741209e-06,204.99999311668685
UGC06614,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC06614_normalized.csv,structural,2271.783236040609,64.59,204.0,16.0,188.81874903235794,-7.0339442460059685,-247.40047408763988,-58.581725055281936,8.036790404135223e-06,203.9999919632096
