r_kpc,v_obs,v_model
2.5,206.0,1.5811388300841896e-06
7.49,285.0,2.7367864366808016e-06
12.54,291.0,3.5411862419251544e-06
17.45,274.0,4.177319714841084e-06
22.47,266.0,4.740253157796532e-06
27.48,255.0,5.242136968832463e-06
32.5,250.0,5.7008771254956894e-06
37.51,242.0,6.124540799113024e-06
42.42,237.0,53.06777668400091
47.44,235.0,78.20440762409578
52.45,236.0,92.06749692648434
57.47,242.0,102.0625818114005
62.48,246.0,102.53131920234287
67.4,242.0,100.97741219890072
72.41,242.0,97.03130667847337
