r_kpc,v_obs,v_model
0.82,107.0,974.7122426978981
2.46,159.0,756.88001433033
4.1,194.0,214.8586960908409
5.74,198.0,2.395829710142188e-06
7.38,211.0,2.716615541441225e-06
9.02,222.0,142.07700123719133
10.65,230.0,3.263433774416144e-06
12.29,239.0,3.5057096285916207e-06
13.93,237.0,3.7322915213043045e-06
15.57,240.0,3.9458839313897716e-06
17.21,245.0,4.1484937025383085e-06
18.85,249.0,4.341658669218482e-06
20.49,248.0,4.52658811910251e-06
22.13,250.0,4.70425339453563e-06
23.77,255.0,4.875448697299562e-06
25.41,244.0,5.040833264451424e-06
27.05,244.0,5.200961449578337e-06
28.68,249.0,5.355371135598354e-06
30.32,251.0,5.506359959174482e-06
31.96,249.0,5.653317610041028e-06
33.6,244.0,5.796550698475775e-06
35.24,239.0,5.936328831862332e-06
36.88,238.0,6.072890580275591e-06
38.52,241.0,14.773584923167784
40.16,237.0,24.156210431518986
41.8,228.0,47.745255268953564
43.44,233.0,94.3226018829839
45.08,233.0,62.87225610248552
46.71,230.0,44.03632769522994
48.35,226.0,111.93729240579701
49.99,225.0,122.04278896827401
