galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,0.28,11.9,7.89,141.39607142857142,383.2844688430603,501703.4010307164,501844.797102145,374.85536302499474,-362.95536302499477
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,0.87,34.8,7.89,367.533908045977,328.1234244916912,138229.85034247668,138597.38425052265,347.2459132919417,-312.4459132919417
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,1.46,58.5,8.68,528.581712328767,221.0091312549595,55480.60862335717,56009.19033568594,285.96051806167486,-227.46051806167486
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,2.05,81.5,14.2,628.3246829268292,118.46745208099324,21180.150510431256,21808.475193358085,211.44118365726217,-129.94118365726217
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,2.35,91.8,17.5,634.017744680851,-53.040209830669674,-8272.203813984022,-7638.186069303171,1.532970971675589e-06,91.79999846702903
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,4.76,114.0,8.68,484.58571428571435,-48.73593173622537,-3752.547304105809,-3267.9615898200946,2.181742422927143e-06,113.99999781825758
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,7.86,116.0,8.68,365.4827608142493,-30.424841422653426,-1418.6969408545829,-1053.2141800403335,2.8035691537752375e-06,115.99999719643084
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,8.7,117.0,16.6,364.71183908045987,-29.742967324751767,-1252.9937258855227,-888.2818868050629,2.9495762407505253e-06,116.99999705042376
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,10.18,118.0,51.9,296.4790766208252,-44.5404764310413,-1603.5811229336596,-1307.1020463128343,3.190611226708763e-06,117.99999680938878
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,366.5083344301131,10.47,118.0,40.3,285.8751957975167,-36.565106287270524,-1279.9824454257473,-994.1072496282306,3.2357379374726872e-06,117.99999676426206
