galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,0.23,13.1,2.19,611.141304347826,-638.4708603145231,-174236.2242588215,-173625.08295447365,4.79583152331272e-07,13.099999520416848
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,0.47,17.3,2.39,457.9082978723405,-648.1897052993259,-86562.43758022887,-86104.52928235653,6.855654600401044e-07,17.29999931443454
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,0.7,23.6,2.21,306.4921428571429,-520.5465568519791,-46675.25985802125,-46368.76771516411,8.366600265340755e-07,23.599999163339977
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,0.93,26.2,2.21,218.4568817204301,-312.77560855220435,-21109.36335818028,-20890.906476459848,9.643650760992955e-07,26.199999035634924
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,1.17,27.4,2.24,159.48760683760685,-202.4553714416446,-10860.970855812668,-10701.48324897506,1.0816653826391966e-06,27.399998918334617
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,1.4,26.9,2.23,123.30285714285716,-126.27747173543747,-5661.389677716652,-5538.086820573795,1.1832159566199231e-06,26.89999881678404
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,1.64,27.4,2.21,100.13719512195124,-84.15717699071892,-3220.8649633382806,-3120.7277682163294,1.2806248474865697e-06,27.39999871937515
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,1.87,31.0,2.2,83.74898395721925,-61.421024592233486,-2061.5822039256195,-1977.8332199684003,1.3674794331177343e-06,30.999998632520565
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,2.1,32.5,2.19,71.88352380952382,-38.10658016450908,-1138.953220140593,-1067.069696331069,1.4491376746189438e-06,32.49999855086232
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,2.33,33.0,2.19,66.21995708154508,-19.39875502150526,-522.5683996407024,-456.3484425591573,1.5264337522473749e-06,32.99999847356625
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,2.57,36.5,2.2,62.766108949416356,-10.906595614229657,-266.3675364163289,-203.60142746691255,1.6031219541881397e-06,36.49999839687805
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,structural,62.766108949416356,2.8,38.9,2.21,61.09385714285714,-10.351833900194418,-232.05154800209448,-170.95769085923735,1.673320053068151e-06,38.89999832667995
