galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,0.78,19.8,10.7,580.4825641025641,99.0566673963882,50136.21351448892,50716.696078591485,198.8945020388984,-179.09450203889838
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,2.35,55.4,10.7,736.0015319148936,-0.37017605721592817,-62.187469385448345,673.8140625294452,39.79275118591571,15.607248814084286
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,3.91,88.5,10.7,579.3239130434782,-66.76911656057558,-6741.573810458424,-6162.249897414946,1.977371993328519e-06,88.499998022628
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,5.48,105.0,10.7,527.014197080292,-38.54658189698235,-2776.94792632002,-2249.933729239728,2.340939982143925e-06,104.99999765906001
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,7.03,106.0,10.7,459.0585775248933,-42.38063487218661,-2379.9868331364582,-1920.928255611565,2.6514147167125704e-06,105.99999734858528
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,8.6,103.0,10.7,394.7866162790698,-29.75471861239123,-1365.9028696885805,-971.1162534095107,2.932575659723036e-06,102.99999706742435
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,13.27,109.0,15.8,273.389133383572,-23.037206752799317,-685.3640469072328,-411.9749135236608,3.6428011200173967e-06,108.99999635719888
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,14.85,113.0,14.7,250.80407407407407,-10.5784846331476,-281.22856253740594,-30.42448846333187,3.853569773599539e-06,112.99999614643022
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,25.8,105.0,10.4,140.84072093023258,-9.06246647702443,-138.67211145763477,2.168609472597808,7.479981577051072,97.52001842294892
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,32.01,103.0,10.0,95.2921493283349,-6.635232129455586,-81.83382819787373,13.458321130461172,20.755742804969955,82.24425719503004
UGC01230,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\UGC01230_normalized.csv,structural,394.7866162790698,36.54,103.0,10.0,69.5783278598796,-5.676340280012208,-61.32849403378782,8.249833826091773,17.362284642448223,85.63771535755177
