r_kpc,v_obs,v_model
5.03,214.0,178.02744930843494
7.55,220.0,206.74587167448496
10.07,235.0,226.38989633910575
12.58,235.0,232.59527714595
15.1,230.0,225.1700292884567
17.61,231.0,218.89462402159904
20.13,232.0,212.7075684576798
22.65,225.0,205.1003140223273
25.16,224.0,193.7428927244907
27.68,229.0,185.8250505134841
30.2,218.0,181.0525315739319
32.71,214.0,173.34384168592854
35.23,213.0,168.40088910519822
37.75,211.0,161.59262277989993
40.26,217.0,156.98706650967281
42.78,216.0,151.40310413608196
45.29,215.0,147.20075735670292
47.81,217.0,143.28801062175484
50.33,214.0,140.98577460108208
