r_kpc,v_obs,v_model
0.37,183.0,276.8133744930025
0.74,196.0,213.47754054440375
1.11,205.0,109.92941821137282
1.48,211.0,188.3306898166365
1.84,214.0,226.8576195206721
2.21,214.0,237.93976902664477
2.6,213.0,230.44896447726552
2.96,211.0,225.13386685722477
3.17,210.0,239.74919908253182
3.33,209.0,240.57545549770876
3.7,207.0,241.4404797003099
4.07,206.0,241.71554995422798
4.44,205.0,240.36994180605703
4.81,205.0,238.35960314021054
5.18,206.0,235.42803369418414
5.55,207.0,231.61902182757808
5.92,208.0,228.776849928692
6.28,210.0,225.47139617654133
6.34,210.0,227.25631891343784
6.65,212.0,224.7267953055093
7.03,214.0,222.20449455624964
7.39,215.0,220.02174635851372
7.77,216.0,217.65822106780945
8.14,217.0,215.84277250629842
8.51,218.0,213.65877039670823
8.88,218.0,211.68854423495247
9.25,218.0,210.0338723238687
9.52,218.0,208.51755498334373
9.62,218.0,208.3265553218017
9.99,217.0,206.39902844152985
10.4,217.0,204.4560041876969
10.71,216.0,203.38056529682464
11.12,215.0,201.99486423870016
12.67,212.0,195.65765019167736
12.98,211.0,195.55313753593677
15.86,209.0,187.29550241825385
19.05,215.0,181.47628265183
22.14,215.0,176.70451468110892
25.34,210.0,170.08434602987336
28.53,196.0,162.29781755774113
31.72,185.0,154.1235961216739
34.91,182.0,147.80392712109514
38.0,181.0,142.38138836796978
