galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta,beta_mode
D631-7,0.45,8.41,1.58,0.0,378.578,0.0,378.578,13.052206709978202,0.0,13.052206709978202,2000.0,structural
D631-7,0.9,17.8,2.22,0.0,470.4338888888889,0.0,470.4338888888889,20.57645499108143,0.0,20.57645499108143,2000.0,structural
D631-7,1.35,26.0,2.35,0.0,525.8278518518518,0.0,525.8278518518518,26.643340631384795,0.0,26.643340631384795,2000.0,structural
D631-7,1.8,30.9,2.22,0.15504875737915444,448.3973888888888,172.27639708794936,620.6737859768382,28.40977472631559,17.609585876967945,33.4247335779705,2000.0,structural
D631-7,2.25,34.7,1.82,0.3465200410486274,352.3628444444444,308.01781426544653,660.3806587098909,28.156995578363823,26.325654447653427,38.546808974249146,2000.0,structural
D631-7,2.69,38.8,1.81,0.5016031677525783,288.7396654275093,372.9391581803556,661.6788236078648,27.869512015821158,31.673432644807487,42.18905113302687,2000.0,structural
D631-7,3.14,42.5,1.57,0.635271929061522,232.83519108280254,404.631801950014,637.4669930328165,27.03890715247197,35.64468905914377,44.73976260691426,2000.0,structural
D631-7,3.59,45.6,1.59,0.7338087555681616,192.5110027855153,408.80710616610673,601.318108951622,26.289056658617476,38.30949635712173,46.46215676371818,2000.0,structural
D631-7,4.04,48.8,1.83,0.8253352758833453,161.28249999999997,408.58181974423036,569.8643197442303,25.52609057415569,40.62844510643609,47.98178666709578,2000.0,structural
D631-7,4.49,51.8,1.91,0.9119905466813908,134.95993318485523,406.23186934583106,541.1918025306863,24.616459940454476,42.70809166144961,49.29453512675398,2000.0,structural
D631-7,4.94,54.8,2.19,0.9918387479359142,114.52698380566802,401.55414896190854,516.0811327675766,23.785779364990336,44.53849453980038,50.491987442284625,2000.0,structural
D631-7,5.39,56.6,2.73,1.0525188936873056,97.40022263450837,390.54504403981656,487.9452666743249,22.912599154177162,45.88069079007651,51.28376923915218,2000.0,structural
D631-7,5.84,58.4,3.27,1.111201851510913,83.57277397260273,380.54857928455925,464.121353257162,22.092193191261025,47.142376934365814,52.06216191267729,2000.0,structural
D631-7,6.29,58.5,3.95,1.1441084767084388,72.15379968203496,363.78647908058474,435.9402787626197,21.303694515271285,47.835310738165774,52.36472432293402,2000.0,structural
D631-7,6.74,57.7,4.07,1.1628061835456203,62.735014836795244,345.0463452657627,407.7813601025579,20.562927807099843,48.224603337832036,52.42562700713498,2000.0,structural
D631-7,7.19,57.3,3.94,1.187311882094443,54.80212795549373,330.2675610832943,385.06968903878806,19.850120906432785,48.730111473183456,52.617972824776196,2000.0,structural
