galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta,beta_mode
NGC5005,0.49,211.0,40.1,0.0,130900.17020408163,0.0,130900.17020408163,253.26089986415195,0.0,253.26089986415195,0.0,structural
NGC5005,0.98,233.0,17.4,0.0,99183.2967346939,0.0,99183.2967346939,311.76855325705964,0.0,311.76855325705964,0.0,structural
NGC5005,1.47,227.0,14.4,0.0,65687.83496598639,0.0,65687.83496598639,310.74284770530113,0.0,310.74284770530113,0.0,structural
NGC5005,1.97,234.0,10.8,0.0,48148.0859390863,0.0,48148.0859390863,307.98007938826174,0.0,307.98007938826174,0.0,structural
NGC5005,2.46,245.0,7.67,0.0,40513.580040650406,0.0,40513.580040650406,315.6951170037319,0.0,315.6951170037319,0.0,structural
NGC5005,2.95,244.0,23.3,0.0,35169.76518644067,0.0,35169.76518644067,322.10372133832914,0.0,322.10372133832914,0.0,structural
NGC5005,3.44,261.0,23.3,0.0,30973.507674418604,0.0,30973.507674418604,326.41823846102716,0.0,326.41823846102716,0.0,structural
NGC5005,3.93,259.0,22.7,0.0,26599.837633587787,0.0,26599.837633587787,323.32238075951375,0.0,323.32238075951375,0.0,structural
NGC5005,4.42,258.0,22.7,0.0,22954.718099547517,0.0,22954.718099547517,318.52763459392344,0.0,318.52763459392344,0.0,structural
NGC5005,4.92,258.0,22.5,0.0,20365.627418699183,0.0,20365.627418699183,316.54207761370367,0.0,316.54207761370367,0.0,structural
NGC5005,5.74,261.0,22.4,0.0,17249.832648083622,0.0,17249.832648083622,314.6649637312677,0.0,314.6649637312677,0.0,structural
NGC5005,6.56,263.0,22.4,0.0,14933.917957317077,0.0,14933.917957317077,312.9960092397346,0.0,312.9960092397346,0.0,structural
NGC5005,7.37,264.0,22.3,0.0,12837.778249660785,0.0,12837.778249660785,307.59458008879153,0.0,307.59458008879153,0.0,structural
NGC5005,8.19,265.0,22.2,0.0,11252.163626373625,0.0,11252.163626373625,303.57078268502715,0.0,303.57078268502715,0.0,structural
NGC5005,9.01,265.0,22.2,0.0,10012.81631520533,0.0,10012.81631520533,300.3589103056542,0.0,300.3589103056542,0.0,structural
NGC5005,9.83,264.0,22.0,0.0,8805.747436419126,0.0,8805.747436419126,294.2116539160201,0.0,294.2116539160201,0.0,structural
NGC5005,10.65,264.0,21.9,0.0,7623.388225352114,0.0,7623.388225352114,284.93698355952324,0.0,284.93698355952324,0.0,structural
NGC5005,11.47,265.0,22.0,0.0,6572.522275501307,0.0,6572.522275501307,274.56662306260023,0.0,274.56662306260023,0.0,structural
