galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
ESO079-G014,0.41,33.2,11.6,0.23661360671301362,2056.0648780487804,1154.2127156732374,3210.2775937220176,29.034231520741166,21.753786185995928,36.27966115368261,22562.959906595264,2000.0,False,True,structural
ESO079-G014,0.98,50.4,11.8,0.10046199480763521,2331.8450000000003,205.02447919925552,2536.8694791992557,47.803850263341765,14.174765945696262,49.86112804194536,22562.959906595264,2000.0,False,True,structural
ESO079-G014,1.78,53.9,9.75,0.0,2191.4216853932585,0.0,2191.4216853932585,62.455829191517424,0.0,62.455829191517424,22562.959906595264,2000.0,False,True,structural
ESO079-G014,2.69,67.6,5.1,0.0,2145.1051672862454,0.0,2145.1051672862454,75.96270729772604,0.0,75.96270729772604,22562.959906595264,2000.0,False,True,structural
ESO079-G014,3.36,81.7,5.06,0.0,2036.5346726190473,0.0,2036.5346726190473,82.7209556279423,0.0,82.7209556279423,22562.959906595264,2000.0,False,True,structural
ESO079-G014,4.39,102.0,5.35,0.2684949201336923,1738.6562642369024,122.32114812468897,1860.9774123615914,87.36533065238179,23.173041239064514,90.38634211133552,22562.959906595264,2000.0,False,True,structural
ESO079-G014,5.65,116.0,6.44,0.3671522955341018,1521.5261769911504,129.9654143483546,1651.491591339505,92.71797506416974,27.09805511597103,96.5967260887666,22562.959906595264,2000.0,False,True,structural
ESO079-G014,6.34,132.0,9.1,0.477802619689562,1475.86190851735,150.72637845096594,1626.588286968316,96.73140389759676,30.912865272878282,101.55082343033523,22562.959906595264,2000.0,False,True,structural
ESO079-G014,6.89,137.0,5.25,0.46781165430248167,1487.253671988389,135.79438441291197,1623.048056401301,101.22834484471234,30.587960190325923,105.74876409965728,22562.959906595264,2000.0,False,True,structural
ESO079-G014,8.34,154.0,4.2,0.4537179966997454,1588.6797362110312,108.80527498794854,1697.4850111989797,115.10685904845114,30.123678284689785,118.9832971193835,22562.959906595264,2000.0,False,True,structural
ESO079-G014,10.04,163.0,3.28,0.35991824475278344,1708.758097609562,71.69686150453855,1780.4549591141003,130.9806523880531,26.82976871882363,133.70029091032512,22562.959906595264,2000.0,False,True,structural
ESO079-G014,11.65,170.0,2.41,0.35689902998715106,1608.9090643776824,61.27021974028344,1670.1792841179658,136.90796397580382,26.71699945679346,139.49046082071098,22562.959906595264,2000.0,False,True,structural
ESO079-G014,13.36,175.0,2.18,0.38688556375875793,1421.9146781437125,57.917000562688315,1479.831678706401,137.8288072211321,27.81674185661426,140.60779220056588,22562.959906595264,2000.0,False,True,structural
ESO079-G014,15.06,177.0,2.23,0.43388784050041757,1199.78462815405,57.62122715808998,1257.4058553121401,134.42007476563907,29.458032537846705,137.6100729634311,22562.959906595264,2000.0,False,True,structural
ESO079-G014,16.67,178.0,2.03,0.47576314272989234,1024.1471505698862,57.080161095368005,1081.2273116652543,130.66190339957552,30.846819697657402,134.25371237124057,22562.959906595264,2000.0,False,True,structural
