galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
NGC2366,0.12,4.2,3.15,0.10361203529369771,131.7841666666667,1726.867254894962,1858.6514215616285,3.9766946073340863,14.395279454994801,14.934462514178252,2224.5238924697483,2000.0,False,True,structural
NGC2366,0.36,9.41,1.83,0.0,349.22472222222217,0.0,349.22472222222217,11.2125331660602,0.0,11.2125331660602,2224.5238924697483,2000.0,False,True,structural
NGC2366,0.59,15.3,1.37,0.0,432.4869491525424,0.0,432.4869491525424,15.973956929953205,0.0,15.973956929953205,2224.5238924697483,2000.0,False,True,structural
NGC2366,0.83,18.4,1.64,0.0,487.78132530120484,0.0,487.78132530120484,20.121095894607727,0.0,20.121095894607727,2224.5238924697483,2000.0,False,True,structural
NGC2366,1.07,23.4,2.08,0.020292550833785797,501.3542056074767,37.930001558478125,539.2842071659547,23.16136869876217,6.370643740437194,24.02153412393912,2224.5238924697483,2000.0,False,True,structural
NGC2366,1.31,28.1,2.46,0.19249577605037518,487.1641221374045,293.8866809929392,781.0508031303436,25.26232372526328,19.621201596761356,31.987131038915482,2224.5238924697483,2000.0,False,True,structural
NGC2366,1.54,33.1,2.01,0.38075038524457855,445.4003246753246,494.4810197981539,939.8813444734785,26.190007636501367,27.5953034136093,38.044937514591304,2224.5238924697483,2000.0,False,True,structural
NGC2366,1.79,37.5,1.62,0.4812151869582864,419.4968156424581,537.6705999533926,957.1674155958508,27.402541852901166,31.023061968744685,41.39238666610773,2224.5238924697483,2000.0,False,True,structural
NGC2366,2.02,40.5,1.68,0.5224468202152929,404.1834158415842,517.274079421082,921.4574952626662,28.573597953355474,32.32481462329808,43.143297746354364,2224.5238924697483,2000.0,False,True,structural
NGC2366,2.26,42.3,1.69,0.5444398039833226,379.1487168141593,481.8051362684271,860.9538530825864,29.2724460884293,32.99817582786426,44.110721009371915,2224.5238924697483,2000.0,False,True,structural
NGC2366,2.49,45.2,1.91,0.6159243573576514,344.60983935742973,494.71835932341475,839.3281986808445,29.29297697401205,35.09770241362393,45.71572174553633,2224.5238924697483,2000.0,False,True,structural
NGC2366,2.74,47.4,1.95,0.6619830817299494,315.08441605839414,483.19932972989005,798.2837457882843,29.382499893644177,36.38634583823853,46.768552077864236,2224.5238924697483,2000.0,False,True,structural
NGC2366,2.97,48.1,1.74,0.6651973988015344,297.4439393939394,447.94437629732954,745.3883156912689,29.722188681185642,36.4745774150033,47.05107116318467,2224.5238924697483,2000.0,False,True,structural
NGC2366,3.21,48.8,1.08,0.6695650757432317,280.84015576323986,417.17450202070506,698.0146577839449,30.02493796829562,36.594127281388516,47.335262241657254,2224.5238924697483,2000.0,False,True,structural
NGC2366,3.44,50.7,1.55,0.7003853260668776,265.9456976744186,407.2007709691149,673.1464686435336,30.24654029802417,37.42687072323513,48.120929460410004,2224.5238924697483,2000.0,False,True,structural
NGC2366,3.69,52.1,2.78,0.7245031437744927,249.2351490514905,392.68463077208276,641.9197798235732,30.32618835264333,38.065815209305384,48.66912766373551,2224.5238924697483,2000.0,False,True,structural
NGC2366,3.92,53.0,2.98,0.7386271748053836,235.80227040816328,376.8505993905019,612.6528697986652,30.403040966324404,38.435066665881656,49.006114410456654,2224.5238924697483,2000.0,False,True,structural
NGC2366,4.16,53.7,2.39,0.7559990420484904,219.98312499999997,363.4610779079281,583.444202907928,30.251112376241636,38.88441955458485,49.265889661072606,2224.5238924697483,2000.0,False,True,structural
NGC2366,4.4,51.2,2.21,0.7137737362190534,206.3479318181818,324.44260737229695,530.7905391904787,30.131891742803006,37.782899206361954,48.326787317574784,2224.5238924697483,2000.0,False,True,structural
NGC2366,4.64,51.6,1.45,0.7239514857605003,194.64105603448277,312.0480542071122,506.689110241595,30.052196259175467,38.05132023361345,48.48749809508633,2224.5238924697483,2000.0,False,True,structural
NGC2366,4.87,51.5,1.84,0.7152552421144481,188.05437371663243,293.73931914351056,481.793692860143,30.262597376960226,37.822089897689374,48.43898516927142,2224.5238924697483,2000.0,False,True,structural
NGC2366,5.11,50.4,2.53,0.6890861012986434,180.9952446183953,269.7010181207998,450.6962627391951,30.41193351301426,37.123741764500075,47.99018548200545,2224.5238924697483,2000.0,False,True,structural
NGC2366,5.35,48.5,4.6,0.6535958209262338,171.74822429906544,244.33488632756408,416.0831106266295,30.312588144201744,36.15510533593378,47.18097754235776,2224.5238924697483,2000.0,False,True,structural
NGC2366,5.59,50.0,5.91,0.6929014398115515,161.59359570661897,247.90749188248714,409.5010875891061,30.055086092041062,37.22637344172949,47.84465570597308,2224.5238924697483,2000.0,False,True,structural
NGC2366,5.82,49.0,7.42,0.6867468469055483,150.9155326460481,235.9954800362709,386.911012682319,29.636605743573266,37.06067584126194,47.45336757081732,2224.5238924697483,2000.0,False,True,structural
NGC2366,6.06,49.4,5.92,0.7028868327827871,142.59889438943895,231.9758524035601,374.57474679299906,29.396416448267978,37.493648336292566,47.64370856226007,2224.5238924697483,2000.0,False,True,structural
