galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
UGC00128,1.25,34.1,18.8,0.2559664800403502,693.8272799999999,354.57354542388407,1048.4008254238838,29.44968760445516,21.052717919068197,36.20084297056982,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,3.75,78.4,6.54,0.6466034773282071,649.0547733333333,298.56576976216166,947.6205430954949,49.3351335257137,33.46074769947776,59.61188670565717,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,6.25,96.9,2.44,0.8190254703499007,416.72692800000004,226.90843329849247,643.6353612984925,51.03472641251249,37.658700297747636,63.42492418691234,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,8.76,108.0,1.26,0.8874370613007895,317.6970091324201,175.41498974879664,493.1119988812167,52.7543912864133,39.1999401810699,65.72412882799938,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,11.25,113.0,1.0,0.8862235921042828,271.54967111111114,136.40303433531636,407.9527054464275,55.271455562523414,39.17313028432,67.74561193370614,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,13.74,114.0,0.86,0.8254248239194537,258.7422197962154,104.021722206639,362.7639420028544,59.62481111081191,37.80553482122981,70.60011730244659,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,16.22,121.0,0.68,0.841021956678823,238.655055487053,89.78209414537527,328.43714963242826,62.2172403759601,38.161047771752635,72.98801659887728,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,18.71,126.0,0.55,0.8662903887697107,212.1999893105291,80.17204384253941,292.3720331530685,63.01001348992079,38.730077979445284,73.96134625798744,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,21.3,128.0,0.63,0.8739373439350204,189.12818779342723,71.0450690580768,260.17325685150405,63.46991728370221,38.9006422946593,74.44253065914025,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,23.79,129.0,0.61,0.8715546711830283,172.90081967213118,63.435656617803275,236.33647628993447,64.13509569650614,38.847577414010516,74.98296320456761,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,26.28,129.0,0.65,0.8791989193219305,153.88365677321156,57.92886660001546,211.812523373227,63.592943790958444,39.0175680206802,74.60853244936806,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,28.77,131.0,0.73,0.8845567681478856,143.23894334376084,53.23767671693045,196.4766200606913,64.19489387794016,39.136274211351406,75.18399004539523,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,31.25,131.0,0.83,0.902052020349313,126.81524480000002,49.98213562363537,176.7973804236354,62.95217549854811,39.52140860645791,74.3297930727552,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,33.74,131.0,0.75,0.9420422156785075,107.33283935981031,48.345775802201445,155.67861516201174,60.178152181668054,40.38794963310563,72.4747988997988,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,36.23,127.0,1.24,0.9394241557227263,94.50386144079492,44.897962808002426,139.40182424879734,58.51388638605369,40.331788858590535,71.06706756672831,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,38.82,126.0,1.4,0.9479681965025656,85.15015198351365,42.28355397657742,127.43370596009107,57.493729223281385,40.514782060017744,70.33474579019061,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,41.31,130.0,1.62,0.9979181643054862,76.00810699588477,41.82856634340919,117.83667333929397,56.034765101675944,41.56847454076507,69.76985721388739,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,43.8,132.0,2.01,1.041941144171862,66.79992009132421,41.190998910019054,107.99091900134326,54.09100202436631,42.47547236063225,68.77501183030675,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,46.28,134.0,2.1,1.0845881299882807,59.04530034572169,40.57931798172364,99.62461832744533,52.27443447805055,43.33602238547246,67.9016003949404,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,48.77,129.0,2.66,1.0848243087875016,51.8989747795776,38.515886608743976,90.41486138832158,50.31016795837597,43.3407405325341,66.40431303694395,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,51.26,132.0,4.67,1.1336010578801539,46.18728053062817,38.292602842352444,84.47988337298062,48.65757906020397,44.30438828941199,65.80606979374309,12899.957775190649,1731.5428633858112,False,True,structural
UGC00128,53.75,125.0,5.95,1.11122363194,41.59792372093023,35.79779254904871,77.39571626997895,47.28518161115594,43.86492162892085,64.49821508779424,12899.957775190649,1731.5428633858112,False,True,structural
