galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
UGC01281,0.08,1.41,4.0,0.0,455.90624999999994,0.0,455.90624999999994,6.0392466417592185,0.0,6.0392466417592185,,622.0124197513363,622.0124197513363,formula
UGC01281,0.23,4.46,4.0,0.0,203.5869565217391,0.0,203.5869565217391,6.842879510849215,0.0,6.842879510849215,,622.0124197513363,622.0124197513363,formula
UGC01281,0.38,7.71,4.0,0.530880194584316,76.72763157894735,868.9844063985544,945.7120379775017,5.399675916200897,18.171793374112823,18.957071884430114,,622.0124197513363,622.0124197513363,formula
UGC01281,0.54,11.0,4.0,0.4095800518061575,134.25333333333333,471.7849613070846,606.0382946404179,8.514505270419416,15.961324478433038,18.0903476778592,,622.0124197513363,622.0124197513363,formula
UGC01281,0.69,14.2,4.0,0.4328323194536513,168.82507246376815,390.1841715506508,559.009244014419,10.793020893151278,16.40814061281622,19.6396633975725,,622.0124197513363,622.0124197513363,formula
UGC01281,0.84,17.2,5.78,0.4536033341927626,196.79738095238096,335.88917560537425,532.6865565577552,12.857285872220466,16.797229161635986,21.153172516398442,,622.0124197513363,622.0124197513363,formula
UGC01281,1.0,20.2,4.74,0.4753703676857581,220.0106,295.68627268230085,515.6968726823009,14.832754295814382,17.195530601941332,22.708960184964454,,622.0124197513363,622.0124197513363,formula
UGC01281,1.15,23.2,4.0,0.5143629909694192,236.25269565217394,278.2088422986289,514.4615379508028,16.483039768198097,17.88687140456439,24.323461280077375,,622.0124197513363,622.0124197513363,formula
UGC01281,1.3,26.4,7.13,0.6330253747010527,217.9424615384615,302.8843423706139,520.8268039090754,16.832266632869143,19.843125889884337,26.02066188784978,,622.0124197513363,622.0124197513363,formula
UGC01281,1.46,29.3,4.38,0.6704580816150743,222.19760273972602,285.639214854268,507.83681759399406,18.011343647823725,20.421392060465205,27.229428082264807,,622.0124197513363,622.0124197513363,formula
UGC01281,1.61,31.6,4.94,0.6640767858097445,237.34440993788814,256.5614959268379,493.90590586472604,19.54800501329995,20.323976196655245,28.199087014338055,,622.0124197513363,622.0124197513363,formula
UGC01281,1.76,34.6,4.0,0.7012603525796466,241.66051136363635,247.83673226348932,489.49724362712567,20.62334841872192,20.885225610075207,29.35157830140896,,622.0124197513363,622.0124197513363,formula
UGC01281,1.92,37.4,7.09,0.7214775520998316,248.37213541666665,233.7333322801495,482.10546769681616,21.837456353705665,21.184144966882357,30.424373419643125,,622.0124197513363,622.0124197513363,formula
UGC01281,2.07,39.9,4.0,0.7484169128814986,247.97256038647348,224.89111834021546,472.86367872668893,22.656195620624395,21.576019442062197,31.286224044525508,,622.0124197513363,622.0124197513363,formula
UGC01281,2.22,42.2,4.37,0.7650453255015609,249.76981981981982,214.35481717778134,464.12463699760116,23.547590110242705,21.814391903848126,32.09916967983245,,622.0124197513363,622.0124197513363,formula
UGC01281,2.38,44.4,4.58,0.7849548962480685,247.23714285714286,205.14777076089086,452.3849136180337,24.25746070799662,22.09641813532049,32.81274286631522,,622.0124197513363,622.0124197513363,formula
UGC01281,2.53,46.7,5.91,0.8104379863315927,243.59794466403162,199.24999720810848,442.8479418721401,24.82544662236714,22.4522269037286,33.47245573507439,,622.0124197513363,622.0124197513363,formula
UGC01281,2.68,48.5,7.72,0.8292558891470828,238.10514925373133,192.4654709706802,430.5706202244115,25.26107281965673,22.71139498580884,33.969534324176756,,622.0124197513363,622.0124197513363,formula
UGC01281,2.76,49.3,9.73,0.8391939947911033,233.76231884057975,189.12648092058137,422.8887997611611,25.400472436551254,22.847080499284903,34.16391498849048,,622.0124197513363,622.0124197513363,formula
UGC01281,3.07,53.0,4.0,0.8888360751119698,217.6344299674267,180.0869960399599,397.72142600738664,25.848359715850442,23.513125650212412,34.942878785851015,,622.0124197513363,622.0124197513363,formula
UGC01281,3.46,54.1,4.0,0.8821522836320398,204.2220809248555,158.58661171420007,362.8086926390556,26.58210676376122,23.424552856589006,35.43046819520076,,622.0124197513363,622.0124197513363,formula
UGC01281,3.83,55.0,4.0,0.9002718319521477,183.12075718015666,146.20894533329601,329.3297025134527,26.48306062372701,23.663902058336106,35.515246875483264,,622.0124197513363,622.0124197513363,formula
UGC01281,4.23,55.7,4.0,0.9283255098091361,159.65382978723403,136.50827344521835,296.1621032324524,25.987221859983418,24.02977312987523,35.39443030581611,,622.0124197513363,622.0124197513363,formula
UGC01281,4.62,56.4,4.0,0.9113762456847875,155.70677489177487,122.70288828620845,278.4096631779833,26.820986186193824,23.809396125947483,35.86436454033841,,622.0124197513363,622.0124197513363,formula
UGC01281,4.99,56.9,4.0,0.9000946531001147,150.48987975951906,112.19840745091021,262.6882872104293,27.40336658149871,23.661573345406303,36.20517301684998,,622.0124197513363,622.0124197513363,formula
