galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
F568-1,0.44,15.7,9.1,0.4090558507565081,351.44090909090914,1116.2445619184737,1467.6854710093828,12.435191996909417,22.161850266711227,25.412233417079428,,1200.6859364944905,1200.6859364944905,formula
F568-1,1.32,44.5,9.1,0.6944023139239484,636.9183333333333,631.6356762103917,1268.554009543725,28.995382390994607,28.874886884587394,40.92054853735122,,1200.6859364944905,1200.6859364944905,formula
F568-1,2.2,69.4,9.1,0.9832330863181381,601.6787272727273,536.6155177446644,1138.2942450173919,36.38259473979282,34.35919293345322,50.04245536580177,,1200.6859364944905,1200.6859364944905,formula
F568-1,3.08,90.0,11.4,1.183800217505963,527.4296753246753,461.48450414887293,988.9141794735482,40.30488059776384,37.70109113511874,55.189271355749284,,1200.6859364944905,1200.6859364944905,formula
F568-1,3.96,105.0,9.88,1.3477432634875999,430.1166161616161,408.6405006249368,838.7571167865528,41.270592435776834,40.22706032603861,57.63226685177973,,1200.6859364944905,1200.6859364944905,formula
F568-1,4.84,113.0,16.2,1.3806628185667664,386.71768595041317,342.50876638304976,729.2264523334629,43.26330546779799,40.7153832021014,59.40922511945397,,1200.6859364944905,1200.6859364944905,formula
F568-1,5.53,117.0,24.8,1.366813778393506,370.96305605786614,296.7656566951138,667.72871275298,45.29266717692832,40.51066626857647,60.76627174283428,,1200.6859364944905,1200.6859364944905,formula
F568-1,7.48,124.0,9.1,1.207163300305595,397.2584090909091,193.77326172850312,591.0316708194122,54.511401559673736,38.07130149770563,66.48997591915042,,1200.6859364944905,1200.6859364944905,formula
F568-1,8.37,127.0,9.1,1.1533980992978368,405.53129032258073,165.4562577068565,570.9875480294372,58.26059474464709,37.21382642253264,69.13151073863777,,1200.6859364944905,1200.6859364944905,formula
F568-1,9.24,130.0,9.1,1.126351186914409,401.7174458874459,146.36299022532555,548.0804361127714,60.92511140736634,36.774910328673926,71.16363699026356,,1200.6859364944905,1200.6859364944905,formula
F568-1,10.13,133.0,9.1,1.1118894620603381,392.38097729516284,131.78973741680872,524.1707147119715,63.04616800409046,36.53806289381352,72.86871303949502,,1200.6859364944905,1200.6859364944905,formula
F568-1,13.23,142.0,23.8,1.082743475212599,358.557044595616,98.26416201957208,456.8212066151881,68.87459400969271,36.05599622141841,77.74152406223419,,1200.6859364944905,1200.6859364944905,formula
