galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
F579-V1,0.42,35.7,9.1,1.2699118832504428,570.8145238095238,3968.4847193594023,4539.299243168926,15.483607460795433,40.82601599630986,43.663550956500885,,1312.5033351642728,1312.5033351642728,formula
F579-V1,1.47,83.3,9.3,1.1027258754872151,1139.4421768707484,984.5791764278317,2124.02135329858,40.92651951974417,38.0438088175844,55.87764659816045,,1312.5033351642728,1312.5033351642728,formula
F579-V1,2.11,94.2,10.4,1.0296683806822522,1130.867298578199,640.4943998856172,1771.3616984638163,48.84802964296513,36.761980139250554,61.13569484154615,,1312.5033351642728,1312.5033351642728,formula
F579-V1,2.84,97.6,9.1,0.951132788627627,1011.830985915493,439.5651257950196,1451.3961117105125,53.605969816803054,35.3322084967506,64.20253076988364,,1312.5033351642728,1312.5033351642728,formula
F579-V1,3.9,101.0,9.1,0.8917713959299346,859.9287435897436,300.1161362467021,1160.0448798364457,57.91132963419162,34.21188289705988,67.26198801226542,,1312.5033351642728,1312.5033351642728,formula
F579-V1,4.74,105.0,16.7,0.8070923786054596,863.12888185654,223.48342588720078,1086.6123077437408,63.96273055459718,32.54706497835606,71.76727902537013,,1312.5033351642728,1312.5033351642728,formula
F579-V1,5.69,106.0,9.1,0.7074763599490946,842.5060105448152,163.1924572905213,1005.6984678353365,69.23770071283418,30.472365874396203,75.64670701347855,,1312.5033351642728,1312.5033351642728,formula
F579-V1,6.32,108.0,11.5,0.6896368895626996,807.031155063291,143.22005025369597,950.2512053169869,71.41734313176316,30.08572282002476,77.49572644735551,,1312.5033351642728,1312.5033351642728,formula
F579-V1,7.37,110.0,23.0,0.6536070694447708,754.2104748982362,116.39911241970259,870.6095873179388,74.55555780758401,29.28927207243649,80.10238859443088,,1312.5033351642728,1312.5033351642728,formula
F579-V1,8.21,112.0,19.7,0.6619439835339018,693.9575395858708,105.82261706214014,799.7801566480109,75.48106650014955,29.475476011087093,81.03206208705397,,1312.5033351642728,1312.5033351642728,formula
F579-V1,9.16,113.0,9.1,0.6401721102914408,652.171288209607,91.7279508555313,743.8992390651383,77.29093737301936,28.986687113857403,82.54766519918456,,1312.5033351642728,1312.5033351642728,formula
F579-V1,10.85,114.0,9.1,0.6403608788647179,560.2335299539171,77.46320637960066,637.6967363335178,77.96495238246479,28.99096047423519,83.18058420820732,,1312.5033351642728,1312.5033351642728,formula
F579-V1,12.21,114.0,9.1,0.6879080698629697,466.537592137592,73.94607993297012,540.4836720705621,75.47465799856266,30.047988884142733,81.23611041883753,,1312.5033351642728,1312.5033351642728,formula
F579-V1,15.16,114.0,11.2,0.7628996738909791,338.5743073878628,66.04936453678405,404.6236719246468,71.64346795067922,31.643456928370615,78.32046262872588,,1312.5033351642728,1312.5033351642728,formula
