galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
NGC4157,1.74,96.4,12.1,0.0,12591.864942528737,0.0,12591.864942528737,148.01974530446944,0.0,148.01974530446944,,1610.5711854065596,1610.5711854065596,formula
NGC4157,3.5,157.0,10.5,0.0,14266.326914285717,0.0,14266.326914285717,223.45501605468607,0.0,223.45501605468607,,1610.5711854065596,1610.5711854065596,formula
NGC4157,5.24,192.0,8.4,0.0,11180.18711832061,0.0,11180.18711832061,242.04169165662347,0.0,242.04169165662347,,1610.5711854065596,1610.5711854065596,formula
NGC4157,6.98,201.0,6.9,0.0,8950.710300859599,0.0,8950.710300859599,249.95191117492982,0.0,249.95191117492982,,1610.5711854065596,1610.5711854065596,formula
NGC4157,8.72,201.0,7.3,0.0,7446.868451834862,0.0,7446.868451834862,254.82678999665637,0.0,254.82678999665637,,1610.5711854065596,1610.5711854065596,formula
NGC4157,10.47,194.0,6.4,0.0,5331.7153104106965,0.0,5331.7153104106965,236.26904007931296,0.0,236.26904007931296,,1610.5711854065596,1610.5711854065596,formula
NGC4157,12.19,190.0,6.0,0.0,3845.6460541427396,0.0,3845.6460541427396,216.51426142404569,0.0,216.51426142404569,,1610.5711854065596,1610.5711854065596,formula
NGC4157,13.94,186.0,6.4,0.0,2891.38118364419,0.0,2891.38118364419,200.76317814778687,0.0,200.76317814778687,,1610.5711854065596,1610.5711854065596,formula
NGC4157,15.68,184.0,6.4,0.0,2234.475216836735,0.0,2234.475216836735,187.18058499748312,0.0,187.18058499748312,,1610.5711854065596,1610.5711854065596,formula
NGC4157,17.42,182.0,7.3,0.038857662372015975,1828.3330941446613,3.592596518290794,1831.925690662952,178.4644572456936,7.910943771044365,178.63970871939034,,1610.5711854065596,1610.5711854065596,formula
NGC4157,19.16,181.0,6.6,0.13054278706167027,1494.2568162839248,10.97330121629386,1505.2301175002185,169.2039024372665,14.499946596597876,169.82405321774706,,1610.5711854065596,1610.5711854065596,formula
NGC4157,20.9,183.0,6.5,0.25024816752810747,1228.4367511961727,19.284329560840355,1247.7210807570132,160.2321069573761,20.07591810656647,161.48489275415696,,1610.5711854065596,1610.5711854065596,formula
NGC4157,22.65,185.0,6.5,0.3233917544841741,1065.807033112583,22.99538372495733,1088.8024168375402,155.37222821341015,22.822038501638794,157.03940505927258,,1610.5711854065596,1610.5711854065596,formula
NGC4157,24.39,186.0,9.1,0.40452902574878963,909.601225912259,26.712701620811348,936.3139275330703,148.94688281397498,25.524944515739673,151.11815474168412,,1610.5711854065596,1610.5711854065596,formula
NGC4157,26.13,186.0,11.4,0.4726861111975651,782.0625220053579,29.13488826776423,811.1974102731222,142.9520678409375,27.591568103982045,145.5904815928455,,1610.5711854065596,1610.5711854065596,formula
NGC4157,27.87,184.0,13.6,0.5165664272470063,679.9194079655541,29.851704451827853,709.7711124173819,137.6566522184816,28.84383821672217,140.64608385259945,,1610.5711854065596,1610.5711854065596,formula
NGC4157,29.61,185.0,13.6,0.5794905000280769,598.0968355285377,31.52011825606416,629.6169537846018,133.0775987910813,30.550134231490045,136.53921781511002,,1610.5711854065596,1610.5711854065596,formula
