galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
DDO168,0.41,15.0,4.1,0.22254102275519105,431.5280487804878,577.1486007475621,1008.6766495280499,13.301372109673498,15.382812691653644,20.336111386066424,,1063.3137359434586,1063.3137359434586,formula
DDO168,0.82,23.4,1.3,0.11240080619207381,594.0999999999999,145.75283067701298,739.8528306770129,22.071746645881923,10.932397777027264,24.630861153340753,,1063.3137359434586,1063.3137359434586,formula
DDO168,1.24,29.2,1.5,0.27265813868151756,509.61306451612904,233.80737425551135,743.4204387716404,25.138022993067693,17.027070918887784,30.36184026169748,,1063.3137359434586,1063.3137359434586,formula
DDO168,1.64,36.2,1.1,0.5637363625203023,404.7073780487805,365.505254706487,770.2126327552676,25.762765767673315,24.483231357781158,35.540803560395744,,1063.3137359434586,1063.3137359434586,formula
DDO168,2.06,44.0,1.1,0.7298852945032063,373.4330582524272,376.7461452953378,750.1792035477649,27.735754902291735,27.85851861295564,39.311183641661,,1063.3137359434586,1063.3137359434586,formula
DDO168,2.47,52.1,1.2,0.9209724256237902,324.7521457489878,396.4707006441058,721.2228463930936,28.32203735609428,31.293491824833826,42.2068765794265,,1063.3137359434586,1063.3137359434586,formula
DDO168,2.89,52.9,1.7,0.9298691699220599,282.13238754325255,342.1254882382243,624.2578757814769,28.554554803043242,31.444278668916358,42.47476028194236,,1063.3137359434586,1063.3137359434586,formula
DDO168,3.3,54.8,2.2,0.9762164657361729,246.24354545454545,314.55284159740893,560.7963870519544,28.506204587773517,32.218385702444024,43.01892696559794,,1063.3137359434586,1063.3137359434586,formula
DDO168,3.71,55.0,2.5,0.9815529911408096,218.75288409703504,281.3204253467415,500.07330944377657,28.488123841348344,32.3063272136653,43.07286823554256,,1063.3137359434586,1063.3137359434586,formula
DDO168,4.12,52.0,2.7,0.9320854200166475,190.5544902912621,240.55806557677894,431.11255586804106,28.01935937882949,31.481728513160284,42.14479481711032,,1063.3137359434586,1063.3137359434586,formula
