galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
NGC2998,0.33,90.0,20.0,1.209561760206358,6016.950303030303,6926.577951655429,12943.528254685732,44.56,47.809734615936655,65.35567553048696,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,0.99,125.0,15.0,0.5382905336727064,8780.069191919194,1027.5102561349984,9807.579448054192,93.2323361286201,31.894124123004982,98.53681369708302,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,1.98,148.0,15.0,0.2179558180118258,8820.915404040403,208.02134199113777,9028.93674603154,132.156772433349,20.29488253581313,133.7060012009276,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,2.64,180.0,17.0,0.28837584921953596,9064.307007575755,206.42370905611827,9270.730716631873,154.6925030504064,23.34434817912362,156.44401264320774,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,3.63,201.0,15.0,0.04202752322223546,10668.221625344351,21.879217693173455,10690.100843037524,196.78832409469825,8.911877480431363,196.99001512824506,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,7.59,206.0,10.0,0.0,6506.097760210805,0.0,6506.097760210805,222.21899558768598,0.0,222.21899558768598,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,12.5,214.0,5.0,0.0,3718.225576,0.0,3718.225576,215.5871510549736,0.0,215.5871510549736,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,17.48,212.0,5.0,0.07689306076730591,2378.2965675057208,8.312857540175694,2386.6094250458964,203.89365855759223,12.054407899281953,204.24968237381,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,22.46,213.0,2.0,0.28460083597414737,1498.1083392698129,23.94589297848229,1522.0542322482952,183.43258516414144,23.19104905554538,184.89277448374426,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,27.44,214.0,2.0,0.3996919490554745,1088.7424562682215,27.52617781643442,1116.268634084656,172.84412920316385,27.48305513007898,175.0154602293265,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,32.32,213.0,2.0,0.4820026679680919,833.5754579207921,28.182707140496948,861.7581650612891,164.13762152535293,30.18054165817541,166.88925637913565,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,37.3,213.0,3.0,0.5858308601579458,639.9942091152816,29.680282576161247,669.6744916914429,154.5049643215389,33.27272967597961,158.0470137019071,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
NGC2998,42.28,203.0,3.0,0.6100108088624215,498.4234744560075,27.265104680607266,525.6885791366147,145.16660945272506,33.95244653771029,149.0842484164443,,1889.7511472719893,1889.7511472719893,False,,1.0,formula
