galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
F583-1,0.26,14.6,13.0,1.399250518660853,99.43692307692307,10763.465528160408,10862.90245123733,5.084643546995206,52.90086045918068,53.14465765551328,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,0.44,10.0,7.0,0.3442252635202398,153.3829545454545,1564.6602887283627,1718.0432432738173,8.215138465053403,26.23834078291689,27.49434536482874,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,0.77,10.7,7.13,0.0,227.35337662337665,0.0,227.35337662337665,13.23110350651071,0.0,13.23110350651071,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,0.89,17.4,9.6,0.30475868742427964,241.42797752808988,684.8509829759092,926.2789605039991,14.658475364102502,24.68840567652272,28.712162489937242,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,1.22,23.5,11.2,0.49218215796268194,249.87622950819673,806.8559966601343,1056.7322261683312,17.45992554394205,31.374580729076904,35.90561677405589,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,1.55,31.0,5.2,0.770426039212226,223.4434193548387,994.0981151125496,1217.5415344673884,18.61013970930901,39.25368872379323,43.44179299274435,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,1.8,32.3,2.41,0.8259705240726398,190.6527222222222,917.7450267473776,1108.3977489695997,18.524980431838518,40.64407765155066,44.66672081253872,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,2.21,40.9,5.9,1.0496405471191366,170.02013574660631,949.900947619128,1119.9210833657344,19.384130106868348,45.81791237320043,49.74962908643916,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,2.31,43.8,4.26,1.1076717591225569,168.55744588744588,959.0231680714779,1127.5806139589238,19.732402286594503,47.067435857980556,51.03637152311197,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
F583-1,2.54,44.8,4.5,1.0860417598674033,166.56377952755906,855.1509920215774,1021.7147715491365,20.568714106623194,46.60561682603081,50.942668949857804,,1270.3718478151966,2000.0,True,1.5,1.8496780098954972,formula
