galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
IC2574,0.85,10.3,0.2,0.13398112521884106,108.19776470588235,276.06913035104736,384.2668950569297,9.59,15.318575677862164,18.07282105257478,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,1.14,12.9,2.7,0.1370245079833885,126.10535087719299,210.51669928612537,336.62205016331836,11.99,15.491579557494546,19.58951600183585,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,1.42,16.4,1.8,0.2915025481665958,135.318661971831,359.5399578533646,494.85861982519566,13.861908238045729,22.595281369165946,26.508474874118612,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,1.71,18.6,2.1,0.29809774123889515,143.27865497076024,305.3203327094812,448.5989876802414,15.652683476005002,22.849458832392788,27.696647250763274,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,1.99,19.8,2.0,0.2189518426948567,154.43075376884426,192.70309070105662,347.13384446990085,17.53046491111973,19.58262368772639,26.28300497460484,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,2.28,26.1,0.6,0.5156064806716374,153.353201754386,396.0743083079973,549.4275100623832,18.698804774637335,30.050780737648626,35.39342768004017,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,2.55,27.7,2.7,0.5108498016610041,155.64192156862745,350.86997081169494,506.51189238032237,19.922020479860972,29.91184423551684,35.938911023705515,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,2.84,29.7,2.6,0.5436787726233069,152.206338028169,335.2873657952345,487.4937038234035,20.791007671587252,30.857999268560267,37.20862962887058,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,3.13,33.0,3.4,0.6260521988682883,147.92849840255593,350.315505087334,498.2440034898899,21.517811226981244,33.11325310088629,39.49055242616081,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,3.41,34.8,1.2,0.6596277240361085,142.14794721407625,338.79553159856255,480.9434788126388,22.01645975174029,33.989597860979444,40.497126598699545,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,3.7,35.0,0.9,0.6705000759650326,129.91137837837834,317.3878222190855,447.2992005974638,21.924235448471173,34.26857076404875,40.681777766103295,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,3.98,39.0,10.2,0.7859279661641287,120.4604271356784,345.85401585154307,466.31444298722147,21.89594711356419,37.10119921362571,43.080523245303574,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,4.26,35.9,5.4,0.6590878093820611,121.211103286385,270.9735068610372,392.1846101474222,22.723540657212734,33.975684529204386,40.87427600860985,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,4.55,40.0,4.1,0.680481521409719,135.4721978021978,261.93774945175426,397.40994725395205,24.827374005319207,34.522699199301925,42.52311442034181,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,4.84,38.7,1.4,0.5423427108497373,151.97859504132234,196.25539219119398,348.2339872325163,27.121511757274888,30.82005999678422,41.05426285059055,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,5.12,41.8,0.5,0.5818190749696351,156.76650390625,199.02661038051664,355.79311428676664,28.330981274922337,31.922033850433863,42.680917810518615,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,5.41,42.9,0.4,0.5890643527282727,154.3335489833641,190.70348479034504,345.03703377370914,28.895406209292158,32.120178279638594,43.20474919167761,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,5.68,44.4,1.7,0.5884941735671445,157.61184859154932,181.46253925742545,339.07438784897477,29.920482950647706,32.104629307658676,43.88556166875589,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,5.97,46.1,1.3,0.5991743558064117,158.6888609715243,175.78104361762223,334.4699045891465,30.779416823585205,32.394642001374315,44.68540399724729,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
IC2574,6.26,49.0,0.9,0.6345061125856304,160.63458466453676,177.5230002492169,338.1575849137537,31.710763157010273,33.336076277212015,46.00941731385106,,946.8845244140184,1751.431482718966,True,1.5,1.8496780098954972,formula
