galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
UGC05750,0.31,3.1,4.5,0.0,56.13709677419355,0.0,56.13709677419355,4.17163037672323,0.0,4.17163037672323,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,1.47,15.7,8.5,0.0,204.00340136054425,0.0,204.00340136054425,17.317187993435887,0.0,17.317187993435887,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,2.52,28.0,10.0,0.35196430228269004,205.02706349206352,201.3841444516649,406.4112079437284,22.73033655712119,22.52749528949447,32.00244121966628,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,3.35,36.0,11.0,0.4927664109984301,206.86770149253732,212.0916091838474,418.9593106763847,26.325022317179524,26.655335127622926,37.463498111707196,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,4.09,43.6,4.5,0.679398478576904,181.091271393643,239.5126519272604,420.6039233209034,27.21512998315459,31.298670041752494,41.476138277116576,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,4.82,49.8,4.5,0.7243037582482751,184.63122406639005,216.67105492008426,401.30227898647433,29.831568849123578,32.3164738904913,43.98041592248539,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,6.6,61.5,4.5,0.670760916682761,226.78892424242423,146.53825359279804,373.3271778352223,38.68858875689316,31.099075126319544,49.63828536233365,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,7.86,68.1,12.2,0.6697263612274231,233.93508905852417,122.85760502403899,356.7926940825632,42.880412777863974,31.075082871795313,52.9564970092334,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,9.43,73.4,12.2,0.6396219621034954,238.99353128313896,97.80000386305302,336.79353514619197,47.473245096580456,30.368635735386434,56.3556832664514,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,11.43,77.6,11.0,0.7425521884342561,182.71738407699038,93.6716023515029,276.3889864284933,45.69966848895077,32.72103933064594,56.206103893417826,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
UGC05750,22.85,78.9,11.0,0.7644994472972743,90.65536980306345,48.241207376337876,138.89657717940133,45.51346174485083,33.20107812329775,56.336371808533436,,994.7387141648163,1441.8736239068705,True,1.6884274893653224,1.4494998569724604,formula
