galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
NGC0024,0.21,17.4,6.51,0.0,1649.4409523809525,0.0,1649.4409523809525,18.6113567479644,0.0,18.6113567479644,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,0.32,31.0,8.86,0.3492493803511112,2072.110625,1184.3923947290918,3256.5030197290916,25.750250484218594,19.468065294561484,32.28127888286505,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,0.43,36.1,8.16,0.3642723036225115,2056.1797674418603,919.321973525626,2975.5017409674865,29.734782662733554,19.88236526714111,35.76962047067342,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,0.54,46.0,8.52,0.5436820292881752,2163.0133333333333,1092.599915162272,3255.613248495605,34.17641291885384,24.289996998510045,41.928882100380726,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,0.64,58.0,6.9,0.7930976256187834,2151.5153124999997,1344.7966537782277,3496.3119662782274,37.10754370744579,29.33717536536307,47.303696033376355,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,0.74,63.4,9.55,0.8171328809642421,2158.9497297297294,1198.3147663082843,3357.264496038014,39.970273954527755,29.7783969862068,49.84351238695093,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,0.85,71.9,8.52,0.882934857449299,2229.357294117647,1127.2485389326425,3356.6058330502897,43.5310659184909,30.954179977714578,53.41455754841321,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,0.96,76.4,6.82,0.8486901202863465,2324.794270833333,959.3738080397131,3284.1680788730464,47.24195698740686,30.347962958296304,56.14981171578516,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.07,78.1,6.65,0.7719232907578598,2394.4542056074765,782.8892166490264,3177.343422256503,50.61685490031952,28.94290002426257,58.307439163578934,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.17,80.5,6.14,0.7333203823857336,2438.182649572649,680.1705729163642,3118.353222489013,53.410426884644906,28.209919714741233,60.40259324161625,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.28,82.8,5.8,0.6882159694679267,2489.8307031249997,583.478315229549,3073.3090183545487,56.45337279560894,27.328597539826717,62.7202961049597,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.38,85.6,6.48,0.6664352322570822,2533.6873188405802,524.0694049414192,3057.7567237819994,59.131112791828976,26.892671470479804,64.95925091023726,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.48,88.0,7.5,0.6337808825074778,2596.2779054054054,464.71571993064913,3060.9936253360547,61.98783187045664,26.22554604764905,67.3072846391634,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.59,92.0,8.52,0.6430251307296934,2612.362893081761,438.87492285587155,3051.237815937632,64.44887120811349,26.416114917618675,69.65248112839079,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.7,92.4,8.52,0.5934922501773339,2614.196764705883,378.8576621682777,2993.054426874161,66.66434204280426,25.378298321323125,71.33156752578815,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.8,95.1,9.2,0.6087027510281421,2568.6113888888885,366.9802595847109,2935.5916484735994,67.9963271066901,25.701448738397602,72.6915742521269,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,1.91,96.5,8.52,0.6010765437920803,2515.135340314136,341.51230582723775,2856.647646141374,69.31023373211202,25.53993939166701,73.86607478491072,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.02,101.0,8.86,0.661395079132364,2424.377475247525,355.31990229988537,2779.6973775474107,69.98030079958217,26.790785778804032,74.93322829456748,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.13,99.9,9.55,0.6299830241931671,2335.423521126761,320.96611650036954,2656.3896376271305,70.52979583126553,26.14685120900387,75.22040898682874,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.23,103.0,8.18,0.674039077436282,2249.5254708520183,328.01232046126586,2577.5377913132843,70.82684378115405,27.045655374359537,75.81496735228885,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.34,104.0,8.52,0.6774653999297271,2176.6304273504275,314.1819321195652,2490.8123594699928,71.36746597715236,27.114308421196778,76.3446194643721,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.44,107.0,9.2,0.7170902634434752,2106.5405327868853,318.9289503228705,2425.469483109756,71.6935066794755,27.895996823698628,76.92948419681368,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.54,107.0,9.55,0.7145145698766414,2029.9157874015748,305.27224216762073,2335.1880295691954,71.80519549447658,27.84585238605126,77.01543738177273,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.65,106.0,11.2,0.6963440405012541,1951.7920377358494,285.1595582673437,2236.951596003193,71.91834884089039,27.48950398622101,76.99299792454157,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,2.76,107.0,11.2,0.7111268250560276,1875.7727898550725,279.6069250291596,2155.3797148842323,71.95229600228195,27.779760853550926,77.12877551913087,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,7.07,104.0,3.11,1.0022655077697824,483.5398161244696,153.84143242297495,637.3812485474446,58.469021712356366,32.979674456101485,67.12887178577064,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,8.49,106.0,2.55,1.18026363352167,334.50573616018846,150.86249281681793,485.3682289770064,53.29121597411716,35.788581475308355,64.19327273176516,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,9.91,109.0,4.95,1.367507593805285,239.02928355196772,149.74972594412947,388.77900949609716,48.670116087800736,38.52297735256613,62.07092704403828,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
NGC0024,11.27,110.0,2.83,1.5050798354336672,179.6870363797693,144.9257529173647,324.612789297134,45.00080999271013,40.414270194804956,60.48459419867756,,1881.3996253643231,1085.200397298582,True,3.609625952395257,0.5768048333104343,formula
