galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
UGC06930,1.74,54.7,8.3,0.07571263776038865,1591.3013793103448,4367879783.616866,4367881374.918245,52.62,87178.61448482276,87178.63036523198,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,3.5,85.4,7.0,0.5890340072920962,1034.702885714286,16893664808.14704,16893665842.849926,60.17856844425597,243162.14102634203,243162.14847293717,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,5.24,93.8,6.2,0.6097830581925827,810.3678816793893,11681419361.236486,11681420171.604368,65.16385270991886,247407.8362802585,247407.84486189377,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,6.98,98.7,5.2,0.5779200248356184,703.6030085959885,8311202589.883829,8311203293.486837,70.07959046683992,240857.20682053326,240857.2170156795,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,8.72,103.0,5.2,0.5737656737319928,616.8213990825686,6604951391.059586,6604952007.880984,73.33950231628245,239989.95006049646,239989.96126655422,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,10.47,107.0,5.2,0.5871985533445361,544.3491881566379,5629759514.125723,5629760058.474911,75.49394677720856,242782.99387085644,242783.00560836692,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,12.19,109.0,5.2,0.6126885913224969,468.509835931091,5045307448.271286,5045307916.781122,75.57205105063643,247996.56811017965,247996.5796247236,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,13.94,108.0,7.4,0.6433018565117253,385.5026757532281,4632373614.252672,4632373999.755348,73.30693896214737,254116.68222035767,254116.6927940578,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,15.68,108.0,7.4,0.754876890064306,292.5476084183674,4832608572.092012,4832608864.639621,67.72847628582826,275273.1414620808,275273.1497940714,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
UGC06930,16.61,108.0,7.4,0.8040136676314764,257.15173991571345,4858982638.467151,4858982895.618891,65.35510997619085,284091.0094053301,284091.0169227985,,88770153787.69957,100381007032.74629,True,2.901903146719798,1.1307968134516804,formula,111783569722.6936
