galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
UGCA444,0.12,6.48,2.6,1.3155361661870701,43.96333333333334,531153683694.17126,531153683738.1346,2.296867431960321,252464.7342566889,252464.7342671371,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.19,8.6,2.65,1.6183088987506247,27.57105263157895,412673397086.3647,412673397113.9357,2.2887769659798662,280014.1879376995,280014.18794705346,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.26,10.2,3.03,1.4202693832889342,41.195384615384626,264664705070.3008,264664705111.4962,3.2727358585745967,262321.98405447876,262321.98407489416,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.33,11.7,3.55,1.2946529572209224,54.23151515151515,190080724915.39117,190080724969.62268,4.2304136913545465,250452.86826482762,250452.86830055568,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.4,12.7,3.75,1.1812677178220685,65.416,143082656914.4227,143082656979.83868,5.115310352266029,239234.32606080818,239234.32611549596,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.47,14.1,3.43,1.1020272475784305,79.75170212765958,113603870058.42307,113603870138.17477,6.122360655825497,231071.02572035906,231071.0258014668,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.55,16.0,3.33,1.0225324160873124,101.92018181818182,90076820270.00356,90076820371.92374,7.487062174177533,222580.8867546851,222580.8868806081,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.62,18.1,2.66,0.9836405001991196,124.41451612903226,76867607567.65402,76867607692.06854,8.782767217682592,218306.93230391355,218306.93248058454,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.69,21.2,3.78,1.013564994173013,145.0414492753623,71170687948.31856,71170688093.36,10.003929228058343,221602.74069681493,221602.74092262125,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
UGCA444,0.76,21.6,3.33,0.9227766784338207,161.75276315789472,58827672970.12148,58827673131.874245,11.087474915416944,211445.10270349684,211445.10299419193,,30894126755.865105,48450543346.1697,True,1.1459069559877686,1.5682768355629795,formula,55536688912.15263
