galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
IC4202,0.77,35.1,3.96,-2.692324938327199,23814.060259740258,-149540.05423025033,0.0,135.41353846643253,0.0,0.0,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,1.59,77.9,3.95,-1.6855185292866066,20683.948490566036,-45337.46067201173,0.0,181.3490504524355,0.0,0.0,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,2.36,115.0,6.7,-0.9626903817000969,14707.095084745763,-17445.981789057874,0.0,186.30282982284513,0.0,0.0,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,3.13,156.0,3.16,-0.37249294053546356,11292.176773162942,-5089.727063058705,6202.449710104237,188.001365154618,0.0,139.33293793151088,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,3.95,192.0,3.14,-0.042364239060283804,9737.185468354432,-458.69404238230385,9278.491425972128,196.11701252058683,0.0,191.44200461912718,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,4.73,204.0,2.9,-0.005070141422287248,8843.101247357294,-45.843705885584185,8797.25754147171,204.51862726900941,0.0,203.9878137810227,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,5.5,209.0,3.36,0.023573230013434567,7756.686909090909,183.30621472064905,7939.993123811558,206.54727788087646,31.751916177824132,208.97359206599182,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,6.27,220.0,3.25,0.1192449192058168,6850.367862838917,813.3793227522509,7663.747185591168,207.24817610777666,71.41350260039492,219.2069680773324,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,7.08,231.0,3.49,0.16153445125267177,6411.148757062147,975.7817426487624,7386.930499710909,213.0514801638327,83.11759583838574,228.69076924518234,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,7.86,235.0,4.65,0.10774947149131636,6307.374452926209,586.2912161310609,6893.66566905727,222.65660376463126,67.88408472381533,232.77502477454522,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
