galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
NGC2998,0.33,90.0,20.0,1.4047595510413888,6016.950303030303,99627.42046709236,105644.37077012267,44.56,181.3202932772294,186.71540470496933,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,0.99,125.0,15.0,0.5855396010673034,8780.069191919194,13842.416422184077,22622.485614103272,93.2323361286201,117.06405194577128,149.65380301870795,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,1.98,148.0,15.0,0.2260161142048399,8820.915404040403,2671.5606982384934,11492.476102278895,132.156772433349,72.73025630720832,150.84794556941176,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,2.64,180.0,17.0,0.3024832377345734,9064.307007575755,2681.564318933567,11745.871326509321,154.6925030504064,84.13875327091921,176.09400984129076,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,3.63,201.0,15.0,0.04226364902082318,10668.221625344351,272.4903948120008,10940.712020156352,196.78832409469825,31.45059829586017,199.28568597159094,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,7.59,206.0,10.0,-0.1512249169003845,6506.097760210805,-466.30751086831094,6039.7902493424945,222.21899558768598,0.0,214.1074683249268,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,12.5,214.0,5.0,-0.014746540891247308,3718.225576,-27.61029065662096,3690.6152853433787,215.5871510549736,0.0,214.78522078297715,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,17.48,212.0,5.0,0.07781477220398947,2378.2965675057208,104.18650131467686,2482.4830688203974,203.89365855759223,42.67528609137321,208.31179525648696,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,22.46,213.0,2.0,0.2983442752325625,1498.1083392698129,310.88429910673057,1808.9926383765435,183.43258516414144,83.56112348417277,201.56878393723858,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,27.44,214.0,2.0,0.4264486452804816,1088.7424562682215,363.725260989701,1452.4677172579225,172.84412920316385,99.9030588198249,199.63895952833803,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,32.32,213.0,2.0,0.5203414420504341,833.5754579207921,376.79739897765046,1210.3728568984425,164.13762152535293,110.35439245883084,197.7858709184194,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,37.3,213.0,3.0,0.6411828175345677,639.9942091152816,402.3128236763012,1042.3070327915827,154.5049643215389,122.50007478824669,197.17518181334594,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
NGC2998,42.28,203.0,3.0,0.6696749633930157,498.4234744560075,370.6977210292221,869.1211954852297,145.16660945272506,125.19225073907535,191.6936205123048,,38867.96579678794,23404.04002220008,True,4.0845098424131505,0.6021421379385437,136199111505.73016,formula
