galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
F563-1,1.07,22.1,7.17,0.30266416308682953,316.6452336448598,565.3480405795847,881.9932742244445,18.40680309016207,24.59517032712227,30.72023442977211,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,1.78,42.7,10.66,0.4479032469113141,346.61853932584273,502.9245962983739,849.5431356242166,24.83910223820499,29.919989662616956,38.886845866065116,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,2.49,60.6,7.69,0.4548011589575216,318.29919678714856,365.057170386108,683.3563671732566,28.152530969701463,30.1495000665253,41.24993762736386,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,2.97,76.8,11.1,0.45574298203157537,289.65885521885525,306.69183073024936,596.3506859491047,29.330646089031184,30.18070140452075,42.08517003968073,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,3.04,81.6,17.5,0.4558298140237439,282.6974013157895,299.68693578851963,582.3843371043091,29.315526602808962,30.183576408323447,42.07669645774368,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,3.19,87.0,8.93,0.45588070294795463,271.18047021943573,285.6269574906108,556.8074277100466,29.411999252005973,30.185261211310536,42.14517403446151,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,6.95,90.0,24.8,0.4557344352938426,171.55306474820142,131.058655432513,302.6117201807144,34.52960758537519,30.18041840756959,45.860129254680096,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,8.58,97.8,9.4,0.45576051807035256,159.37494172494172,106.1666417048559,265.54158342979764,36.978872346246575,30.181282044135628,47.732031025587666,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,9.26,93.7,25.3,0.455596760601238,156.14697624190066,98.33504217228005,254.48201841418071,38.02526791490101,30.17585939978037,48.54383061229628,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,9.89,103.0,23.8,0.45574959782219143,155.31305358948433,92.10191708566249,247.41497067514683,39.19242401281146,30.18092046272284,49.46649431663014,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,10.08,97.4,11.0,0.45558787493572384,155.87787698412697,90.33380268863428,246.21167967276125,39.63898333711398,30.17556513309127,49.817805362153734,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,11.84,106.5,9.48,0.4557019653614705,145.5669341216216,76.92506409955882,222.49199822118044,41.515208056807325,30.179343248963793,51.32548352367249,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,14.56,112.0,11.0,0.4558396096452879,109.10896291208792,62.57334223232401,171.68230514441194,39.8575776986008,30.183900723773885,49.99694353560663,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,15.43,111.5,9.4,0.45584007262261256,101.94440051847052,59.04528763683458,160.9896881553051,39.661090504422596,30.183916052036018,49.84045433416872,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,17.93,111.0,24.3,0.45580275459133285,92.81650864472951,50.808377145758875,143.62488579048838,40.794607486774524,30.18268050096705,50.746371320750185,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,19.02,112.5,7.75,0.4558038475988483,89.72791798107255,47.896760608442875,137.62467858951544,41.311318061761234,30.182716689731286,51.16269526493482,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
F563-1,20.1,106.0,10.7,0.4556831237138214,86.368184079602,45.311199050410316,131.67938313001233,41.6653393121909,30.178719338521432,51.4466286642113,,1998.6588344343002,1998.6588344343002,True,2.1302355891095126,1.4437947616667364,formula
