galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
NGC0289,1.5,164.0,28.2,-0.12396940485696897,-0.021170809314463225,21382.534733333337,-37.19082145709069,21345.343911876247,179.0916025390359,0.0,178.93578699582253,300.0,0.0,1.0
NGC0289,2.52,194.0,32.0,-0.14556363035772146,-0.01217653651633259,20368.860992063495,-43.66908910731644,20325.19190295618,226.56021208499962,0.0,226.31721895483244,300.0,0.0,1.0
NGC0289,3.46,175.0,25.2,-0.14921806542383073,-0.0008995730844241906,13479.232658959536,-44.76541962714922,13434.467239332387,215.95866502643509,0.0,215.5997603154745,300.0,0.0,1.0
NGC0289,4.32,185.0,31.5,-0.14764061704414866,0.0001926003563173101,11285.745925925927,-44.2921851132446,11241.453740812682,220.8040361949935,0.0,220.3703250447092,300.0,0.0,1.0
NGC0289,5.43,175.0,27.9,-0.14977876906866122,-0.0008890565153790858,9055.093112338858,-44.933630720598366,9010.15948161826,221.74119058037007,0.0,221.19033881520946,300.0,0.0,1.0
NGC0289,6.38,167.0,27.2,-0.14978005840762718,0.004356769725040732,7019.487852664578,-44.93401752228815,6974.55383514229,211.6230906588409,0.0,210.94466921021686,300.0,0.0,1.0
NGC0289,7.57,176.0,7.18,-0.1380991408169247,0.029892017337160504,5189.1784015852045,-41.42974224507741,5147.748659340127,198.1970749027341,0.0,197.40429922168556,300.0,0.0,1.0
NGC0289,10.6,185.0,4.29,0.10736178260846203,0.04634600415148213,2799.3662830188678,32.20853478253861,2831.5748178014064,172.25934691621237,18.477296033102604,173.24749080057381,300.0,0.0,1.0
NGC0289,13.57,183.0,4.22,0.1440954030938853,0.006738662381083518,1776.0991893883565,43.22862092816559,1819.3278103165221,155.24711269456833,24.220082287127084,157.12504060777584,300.0,0.0,1.0
NGC0289,16.64,172.0,4.33,0.14691843664180015,0.00033137035826013087,1204.8368389423074,44.075530992540045,1248.9123699348474,141.59267283302478,27.081669736481654,144.15929326864733,300.0,0.0,1.0
