galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
UGC11455,0.62,35.1,4.01,-0.11667214227292683,2.001731430885003e-09,8177.600645161292,-35.001642681878046,8142.599002479414,71.20472175354666,0.0,71.05217365807492,300.0,0.0,1.0
UGC11455,1.23,64.6,4.19,-0.11667214105187065,9.791359389943466e-10,10316.072845528455,-35.0016423155612,10281.071203212894,112.64443883299343,0.0,112.45317950130116,300.0,0.0,1.0
UGC11455,1.83,80.1,6.32,-0.11667214106788808,1.4138873384167416e-06,10668.443825136614,-35.00164232036642,10633.442182816247,139.72563186473698,0.0,139.49623362139113,300.0,0.0,1.0
UGC11455,2.47,113.0,10.4,-0.11667027094801086,7.242682245614529e-05,10250.177530364374,-35.001081284403256,10215.17644907997,159.1161164055986,0.0,158.8442187466309,300.0,0.0,1.0
UGC11455,3.08,136.0,7.59,-0.11658568008435782,0.0003143586963440803,9520.916168831167,-34.975704025307344,9485.940464805859,171.24374966695865,0.0,170.92892274744509,300.0,0.0,1.0
UGC11455,3.68,150.0,7.75,-0.11629338182757779,0.004433988167474451,8892.620217391304,-34.88801454827333,8857.732202843032,180.90008955221666,0.0,180.54488224943503,300.0,0.0,1.0
UGC11455,4.32,171.0,9.19,-0.11076126393911241,0.04803122235500836,8374.963912037038,-33.22837918173372,8341.735532855304,190.21,0.0,189.83228782779528,300.0,0.0,1.0
UGC11455,4.91,192.0,9.16,-0.06099985055199298,0.011079263031524511,8033.802871690429,-18.299955165597893,8015.502916524832,198.61010069983854,0.0,198.38376778390142,300.0,0.0,1.0
UGC11455,5.53,197.0,9.96,-0.10186283837595565,-0.04426216875148502,8211.100922242314,-30.558851512786696,8180.542070729528,213.09009385703504,0.0,212.69320076376275,300.0,0.0,1.0
UGC11455,6.17,195.0,12.4,-0.11589038305245761,-0.011321902896481592,8591.646288492708,-34.76711491573728,8556.87917357697,230.24,0.0,229.77368104500113,300.0,0.0,1.0
UGC11455,6.78,196.0,7.09,-0.11663608432041814,-0.0005899935959169517,9453.596651917404,-34.99082529612544,9418.605826621279,253.1706643748442,0.0,252.7016966790929,300.0,0.0,1.0
UGC11455,7.38,216.0,5.99,-0.11661682097030256,1.1677530201162356e-05,10287.728631436314,-34.98504629109077,10252.743585145223,275.54207900064915,0.0,275.0731678269833,300.0,0.0,1.0
UGC11455,8.0,225.0,5.24,-0.11662266847440794,0.00021372508257701262,10365.1202,-34.986800542322385,10330.133399457676,287.96,0.0,287.4735939102258,300.0,0.0,1.0
UGC11455,8.62,240.0,6.15,-0.11635180186790704,0.00035280547231081316,9814.331740139212,-34.90554056037211,9779.42619957884,290.86,0.0,290.34230459988015,300.0,0.0,1.0
UGC11455,9.23,247.0,4.37,-0.1161870497811136,0.00021237879458925468,9475.603824485373,-34.85611493433408,9440.747709551038,295.7360703397541,0.0,295.1916349749025,300.0,0.0,1.0
UGC11455,9.85,254.0,6.48,-0.1160917395425315,-4.8770023538854956e-05,9291.60747208122,-34.827521862759454,9256.77995021846,302.52658329475776,0.0,301.95907422969066,300.0,0.0,1.0
UGC11455,10.43,257.0,7.41,-0.11622989668305309,0.001126389493001978,9127.337842761266,-34.868969004915925,9092.46887375635,308.54194803948457,0.0,307.95202605808385,300.0,0.0,1.0
UGC11455,11.05,273.0,5.38,-0.11462714044394277,0.0006273676714895621,8886.996425339366,-34.38814213318283,8852.608283206184,313.37088329964547,0.0,312.7640029310092,300.0,0.0,1.0
UGC11455,11.67,272.0,5.98,-0.11545196077040601,-0.0011887949363194178,8610.574207369322,-34.6355882311218,8575.9386191382,316.9943232930205,0.0,316.35613426223114,300.0,0.0,1.0
UGC11455,12.19,270.0,20.9,-0.11600839552441078,-0.0002040674074764992,8417.342247744053,-34.80251865732323,8382.53972908673,320.3239016995141,0.0,319.6610068456383,300.0,0.0,1.0
UGC11455,12.91,279.0,9.4,-0.11529198924426773,0.0009005726467013198,8130.340170410534,-34.58759677328032,8095.752573637254,323.97946169471913,0.0,323.289600398245,300.0,0.0,1.0
UGC11455,14.56,287.0,10.8,-0.11416313078852525,0.002314956370236935,7364.830686813187,-34.248939236557575,7330.581747576629,327.4628754530809,0.0,326.7005819473172,300.0,0.0,1.0
UGC11455,16.63,291.0,10.0,-0.10513613245682514,0.0020224996605916618,6050.520006013228,-31.54083973704754,6018.979166276181,317.20679012278407,0.0,316.37892397435843,300.0,0.0,1.0
UGC11455,17.77,286.0,9.67,-0.10429857196483733,0.007248294340083367,5445.929909960609,-31.2895715894512,5414.640338371158,311.0854778031273,0.0,310.19052018534586,300.0,0.0,1.0
UGC11455,18.49,288.0,6.96,-0.09611782971304703,0.010262921952256783,5141.170281233099,-28.835348913914107,5112.334932319184,308.31840441335964,0.0,307.4525538982913,300.0,0.0,1.0
UGC11455,20.24,289.0,6.63,-0.08283321830543569,0.006837967557684104,4576.519723320159,-24.84996549163071,4551.669757828528,304.3497317232266,0.0,303.5223153220359,300.0,0.0,1.0
UGC11455,22.62,288.0,10.0,-0.06899693938695352,-0.004693375667238164,3969.508492484527,-20.699081816086057,3948.8094106684407,299.6502663105775,0.0,298.8679789962788,300.0,0.0,1.0
UGC11455,24.89,269.0,8.23,-0.10239930637290326,0.0005099267668467605,3409.3426275612696,-30.719791911870978,3378.6228356493984,291.30488839015385,0.0,289.989521154323,300.0,0.0,1.0
UGC11455,27.06,267.0,7.11,-0.06971072088159992,0.035536330918643715,2855.0813008130076,-20.913216264479978,2834.1680845485275,277.95413290685207,0.0,276.9342672330081,300.0,0.0,1.0
UGC11455,29.13,272.0,5.36,0.04427458655898421,0.040019806228092814,2421.8637349811197,13.282375967695263,2435.146110948815,265.61041131702655,19.67017061285852,266.33776715279976,300.0,0.0,1.0
UGC11455,31.3,274.0,5.78,0.09689146172525337,0.008972371654429026,2069.9094504792333,29.06743851757601,2098.9768889968095,254.5351956017085,30.163070559877177,256.31616536145384,300.0,0.0,1.0
UGC11455,33.46,259.0,5.81,0.08342975262906635,0.004518264109115638,1796.7982337118947,25.028925788719906,1821.8271595006147,245.1955727577478,28.939036903300153,246.89742152742414,300.0,0.0,1.0
UGC11455,35.53,272.0,6.69,0.11410893678896841,0.00801179029540421,1551.2021446664787,34.23268103669052,1585.4348257031693,234.76416293804297,34.875308704491985,237.34047138495703,300.0,0.0,1.0
UGC11455,37.7,274.0,6.39,0.11600503509227633,0.0005067377828977919,1339.2277586206897,34.8015105276829,1374.0292691483726,224.69732196891,36.221774485710185,227.5981182850457,300.0,0.0,1.0
UGC11455,39.87,272.0,5.59,0.11630817876674482,8.435930433138561e-05,1189.3351642839227,34.89245363002345,1224.2276179139462,217.75856584759185,37.29828583499562,220.9297515642224,300.0,0.0,1.0
