r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
1.17,123.0,6.2,179.260191036988,28835.600000000002,-976.5540762656128,3.2316211976572857,2.0381133449839055,0.21238478912997363,-1370.458042207314,27465.141957792686
1.56,142.0,6.2,197.02609629306602,28454.743910256413,-1616.9211444071302,8.967253302977534,2.08142768868766,0.27774304270363265,-3570.5883843048,24884.155525951614
1.96,205.0,6.2,198.67140468140056,27558.23229591837,-2383.0185889609024,20.52221836583051,2.1449230154372008,0.36387803195474877,-7420.310337713867,20137.921958204504
2.73,228.0,6.2,186.28964168053847,25666.612161172157,-3220.11472567611,46.04565077449709,2.2551231729113694,0.4897044826638679,-12954.586301295449,12712.025859876709
3.52,238.0,6.2,209.11503522945696,22534.853323863637,-2388.574053091677,50.19002440427917,2.271721556393587,0.5063665505039486,-10111.814130961071,12423.039192902566
10.59,229.0,4.2,0.0,6892.420103871578,-1351.2565416085488,136.27833691137928,2.674919991044255,0.7796105150073559,-7432.138782841279,-539.7186789697007
17.65,225.0,6.9,167.48001719708265,3441.5983909348447,-336.2159200105948,129.65737588564957,2.632927862356221,0.7603018017386485,-1852.388410179315,1589.2099807555296
24.61,220.0,4.0,198.88881682717954,2178.6729053230392,-129.10729933129613,122.84443004789726,2.5932278818912233,0.740493802262585,-571.3278643268843,1607.345040996155
31.67,222.0,2.4,208.52748502964246,1631.5140543100727,-72.37992417962444,121.21848179482167,2.584199049316228,0.735765160617747,-258.4887302561492,1373.0253240539234
38.74,219.0,4.1,193.37525767410477,1155.9445766649458,-58.233514105454546,134.18051543660658,2.6612031773094564,0.7734807353688391,-190.689277735508,965.2552989294378
45.8,214.0,4.7,178.61921456973775,808.6745000000002,-38.62474225372307,137.9687890208677,2.6862791014212375,0.7845609267910386,-112.06262634257617,696.611873657424
52.86,216.0,2.6,171.23850117474183,610.5632160423761,-22.500015965633473,134.1151166483773,2.6607820175329895,0.7732898533825954,-55.84084970540951,554.7223663369666
59.82,216.0,8.8,165.0858633481906,493.2242761618188,-16.859043086286967,135.77068591273337,2.671563102175104,0.7781258908475314,-37.635137455408554,455.58913870641027
