r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
3.23,194.0,16.7,204.01825323093607,19565.292074303405,-2584.3796221619023,57.06672899423769,2.299057591480175,0.5326300320935652,-6678.7757735596415,12886.516300743762
9.18,172.0,8.1,0.0,4188.233322440088,-2187.012820139775,155.70038436836643,2.82739619114594,0.8375380261689203,-6245.569195065471,-2057.3358726253828
10.64,170.0,10.7,81.53537278236986,3359.527077067669,-488.20479900173467,125.31453422452023,2.6072577961892995,0.7476742889519826,-2734.7134478609,624.8136292067688
11.58,170.0,6.8,120.08825873459718,3016.5418048359247,-307.241103803583,113.07744354258888,2.541168067715209,0.7120173561086188,-1771.1886195243915,1245.3531853115333
12.52,171.0,6.8,150.79804330443113,2781.913801916933,-181.8743900646749,93.77486582369686,2.450103941703977,0.6544876229771808,-965.615889421319,1816.2979124956141
13.57,172.0,12.1,158.87487336648408,2654.6117686072216,-157.44770551738395,92.82884882181283,2.445937460626886,0.6515964521368545,-794.536205805722,1860.0755628014995
15.76,174.0,19.6,155.16871605428153,2271.783236040609,-147.59628846809866,105.92834891960644,2.505908595385366,0.6909759335817357,-744.0338425168624,1527.7493935237467
24.94,193.0,23.2,95.61193883101541,976.4419687249397,-132.2446050456635,149.37265199148635,2.7715723464873863,0.8183482020480339,-609.896545828956,366.5454228959836
26.3,194.0,23.0,134.36802542464787,877.9250988593157,-46.138227910951244,120.49165820751,2.580213405659845,0.7336504515156941,-191.43208530346732,686.4930135558484
34.96,201.0,7.2,113.06904042891522,514.1369250572083,-39.29728983938234,143.78078244114076,2.727677411915014,0.8016800718062252,-148.4444793044719,365.6924457527364
36.84,202.0,17.1,123.34370167434562,463.73166395222574,-16.44637645338869,117.93906484799449,2.5664503998004338,0.7262170744490076,-50.765628590391515,412.9660353618342
47.38,205.0,16.0,116.08525454451575,309.87292950612067,-9.906771708824065,124.4578451078808,2.6023475985487456,0.7451841436367226,-25.453631855951517,284.41929765016914
64.59,204.0,16.0,105.92675057628163,188.81874903235794,-7.0339442460059685,140.86266180989128,2.7064116764431683,0.7930632902326759,-15.100271130983407,173.71847790137454
