r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
0.51,143.0,33.1,195.69574139464558,0.0,75091.81019607843,-50452.96163682855,42.10833087826031,2.1257890685657803,0.4313929267190343,-809335.1372679074,-734243.327071829
0.69,160.0,15.0,213.4176450062178,0.0,66010.27710144929,-40760.26534427723,44.41450447164006,2.148594660955453,0.4461494865005873,-603102.515307805,-537092.2382063557
0.86,178.0,7.92,228.71405050848975,0.0,60825.7173255814,-26333.058864913677,46.86539167165068,2.169271529531839,0.4595286367558958,-453476.1459588132,-392650.4286332318
1.03,188.0,8.01,242.42266436948506,0.0,57057.03708737864,-31615.659536023693,49.42677772959607,2.1823855030833723,0.4680141490539468,-421584.50673042337,-364527.46964304475
1.2,187.0,8.03,245.13602693198732,0.0,50076.39308333334,-35427.126874912035,52.147491617094865,2.191772885220172,0.47408833749540547,-393544.15412374213,-343467.7610404088
1.38,195.0,5.6,248.24868358160535,0.0,44657.54268115943,-26080.314062980047,54.26343763457406,2.1962710522642164,0.4769989161709635,-326212.72048798157,-281555.1778068221
1.55,199.0,7.52,251.93221092190655,0.0,40948.283161290325,-16877.94184792239,56.12564191269428,2.199736722703997,0.47924140880846844,-256001.64414560766,-215053.36098431732
1.71,203.0,6.87,258.53466962865934,0.0,39087.82187134504,-12708.257508307965,58.0627755609324,2.2047817136674994,0.48250581472602905,-211050.60342875138,-171962.78155740633
1.89,206.0,9.22,263.10820758767676,0.0,36627.47560846562,-10245.281629640478,60.147020853337246,2.2122652624265613,0.48734811098189257,-176993.95421584652,-140366.4786073809
2.06,211.0,12.0,270.433106331307,0.0,35501.97330097087,-7781.928392084291,62.438028115115344,2.227666105933075,0.49731336266257786,-143853.40123018264,-108351.42792921177
2.23,219.0,13.3,275.2798803036648,0.0,33981.61995515696,-10458.905934012808,64.99431996046144,2.2452154280163787,0.5086688063635392,-163915.0894711498,-129933.46951599285
2.41,216.0,9.9,277.0156466700031,0.0,31841.35622406639,-13491.159451057534,67.53514967827235,2.261229682936833,0.5190309713120684,-179267.9274999751,-147426.57127590873
2.58,214.0,10.5,274.7545495528691,0.0,29259.71414728682,-13187.487076131096,69.6362217651509,2.2739862489706444,0.5272852199221816,-170800.40601701106,-141540.69186972425
2.75,213.0,8.39,274.28712911837476,0.0,27357.610618181818,-10447.055610472922,70.82244394439317,2.287976688111973,0.5363378570136297,-144751.0723814715,-117393.46176328967
2.92,210.0,13.3,273.9827156957168,0.0,25707.71523972603,-8239.959461433278,71.24086324595724,2.2934302992131355,0.5398666641967347,-119856.93195779355,-94149.21671806753
3.09,214.0,6.67,275.4598253829404,0.0,24556.024401294504,-6634.274523192763,71.27707543082806,2.2856126035371314,0.5348081552299085,-99030.5742205809,-74474.54981928639
3.26,213.0,9.98,276.5026614700119,0.0,23452.06190184049,-5691.432427062399,71.4239383461582,2.2690850113469803,0.5241138308715755,-84952.72959280851,-61500.66769096802
3.43,212.0,11.2,278.5494842931862,0.0,22620.937376093287,-5407.140930466297,71.90564516440314,2.259958083389979,0.5182081716052805,-78475.7930903851,-55854.85571429181
3.61,215.0,9.11,278.9803234997049,0.0,21559.562576177286,-4956.348814537128,73.11403189978807,2.262529455929306,0.5198720008954334,-71324.79965870206,-49765.23708252478
3.78,217.0,10.1,280.9802373833434,0.0,20886.215291005294,-4215.275112360601,75.41388730321906,2.279410365274221,0.5307949422362607,-62457.72720763811,-41571.51191663282
3.95,219.0,8.05,281.95594992835316,0.0,20126.36903797468,-4237.493003242308,79.03072288980097,2.306451814374636,0.5482923504777057,-62881.07331438812,-42754.70427641344
4.12,220.0,8.29,283.04650995905246,0.0,19445.467669902908,-4707.154650288892,83.61950012170665,2.3414167854122536,0.5709167435020464,-68884.42081739372,-49438.953147490814
4.29,218.0,8.42,281.91535502700094,0.0,18525.936456876458,-5359.590152840248,88.69510183629696,2.379083957953264,0.5952896198521118,-76921.86731146321,-58395.93085458675
4.46,220.0,9.71,280.3560295410106,0.0,17623.207017937224,-5748.06493836624,93.66144358749223,2.4182679610542865,0.6206439747998325,-81978.90079336174,-64355.693775424515
4.64,220.0,20.1,276.81309163404825,0.0,16514.113728448276,-6066.585361614526,98.1197050663866,2.452297783568733,0.642663271720945,-85601.80452726778,-69087.6907988195
4.81,216.0,23.5,273.04675295633893,0.0,15499.902141372142,-5874.432711831092,101.74817763684658,2.4797943286574418,0.6604551538371681,-83800.9879331078,-68301.08579173565
4.98,220.0,14.6,268.87487219894683,0.0,14516.8066064257,-5391.40167222531,104.44269959070195,2.4976567992798637,0.6720132230634412,-78349.95253280348,-63833.14592637778
5.15,218.0,12.2,265.3001162834272,0.0,13666.825572815533,-4854.673013149452,106.19386216775885,2.50808623959696,0.6787616844450918,-71552.35577692534,-57885.530204109804
5.32,213.0,23.1,261.62621925181736,0.0,12866.217781954887,-4468.454245557305,107.1690529050396,2.510200644107428,0.6801298285401005,-65834.71721687372,-52968.49943491883
5.49,215.0,21.2,258.24417844358084,0.0,12147.55112932605,-4022.904521886728,107.2717209064821,2.507650920735566,0.6784800075347779,-59072.258337078485,-46924.707207752435
5.67,216.0,18.3,254.88821235985003,0.0,11458.201199294534,-3640.8123753738446,107.17162417680854,2.503860100225955,0.6760271236756179,-52966.23678904101,-41508.035589746476
5.84,208.0,31.7,251.9918214942699,0.0,10873.266797945205,-3306.3557833807076,106.99032306269203,2.5009264323368865,0.6741288679826912,-47629.18133159521,-36755.91453365001
6.01,212.0,25.3,249.21392778093283,0.0,10334.040232945094,-2986.8101912212405,106.90966276884225,2.4849516826511997,0.6637922652448939,-42658.463941665825,-32324.42370872073
6.19,213.0,23.8,246.64670522834882,0.0,9827.88323101777,-2735.0470028723184,107.07703317550258,2.4925504459947776,0.6687091121142679,-38627.97501797922,-28800.09178696145
6.35,216.0,19.6,244.3689607949422,0.0,9404.124251968506,-2564.8511894103085,107.81518189213503,2.4987446906903164,0.6727171527996164,-35965.71961359533,-26561.595361626823
6.64,210.0,25.0,239.98618564409077,0.0,8673.700195783133,-1733.6543052852921,109.05840587826404,2.5060212402811644,0.6774255084172239,-24922.848643383804,-16249.148447600672
8.82,210.0,10.7,212.5465205549129,0.0,5121.998117913833,-1198.3667461387572,111.18923034168043,2.5163634357030054,0.6841175172195917,-13752.559413495996,-8630.561295582163
11.07,210.0,10.7,193.00216605002134,0.0,3364.9355103884377,-609.3215220322365,113.40138519425821,2.5427986319805735,0.7012226442227241,-5944.199052990668,-2579.2635426022302
13.32,206.0,6.25,178.05134905414224,0.0,2380.0512687687688,-360.5146344001954,115.49219735916225,2.5673354405473177,0.7170994027070878,-3035.9103950359854,-655.8591262672167
15.49,206.0,6.25,165.6500172049493,0.0,1771.460826339574,-238.7154857233693,117.44161199307577,2.5998219613953166,0.7381200926675577,-1775.0566972885044,-3.5958709489304965
17.74,206.0,10.7,153.31091709333683,15.139160405763041,1324.9288218714769,-198.45866865248775,119.19215647402777,2.6132951171389855,0.7468380169722848,-1312.0091951639558,12.919626707521047
