r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
1.74,59.2,3.5,56.25,0.0,1818.426724137931,-552.4576782489978,68.5972096350079,2.24851877086108,0.5108062634983459,-6276.90256205666,-4458.475837918729
2.61,71.2,4.0,59.09,0.0,1337.788544061303,-408.1453140394088,70.66555364673286,2.264348539776944,0.5210490551497873,-3912.126751144858,-2574.338207083555
3.5,84.5,4.4,62.05093391722642,0.0,1100.0909714285715,-204.09135603649545,72.97484217429096,2.2798504477182115,0.531079701464725,-2225.0804128226746,-1124.989441394103
4.37,93.5,4.5,65.39440725322005,0.0,978.5877574370709,-142.54191786059,75.32306277551164,2.2980569481741138,0.5428603782303089,-1500.62570732839,-522.0379498913192
5.24,97.5,3.5,66.8194320538569,0.0,852.0680343511449,-132.38643056798756,77.49209547510213,2.326294371080173,0.5611316518754061,-1229.8895841830604,-377.8215498319155
6.11,100.0,3.5,67.61448143704128,0.0,748.2353682487725,-99.41358559521386,78.79845713232629,2.3360924908513025,0.5674716117273133,-887.6083906088128,-139.3730223600403
6.98,101.0,4.0,68.84792662092302,0.0,679.0883954154727,-84.26648662075294,79.24821880862616,2.3376905403035395,0.5685056437258196,-694.9301850667828,-15.841789651310023
7.85,103.0,3.5,68.72155193241782,4.613602365343918,601.6116815286624,-81.52999499254733,78.68246991106086,2.330369700157562,0.5637686295137164,-598.9001749317825,2.7115065968798717
8.72,105.0,4.0,68.44422912123417,31.43298164841733,537.2262041284404,-60.7257227782833,77.39953967870446,2.313676856372271,0.5529673776526459,-423.91974365713986,113.30646047130051
9.6,110.0,4.9,68.9585382675706,49.52608490260577,495.34166666666664,-35.107799548357015,75.87566493051492,2.296824641016259,0.5420630030105206,-239.83822023123798,255.50344643542866
10.47,111.0,6.0,70.57971167410646,58.85361302637487,475.7875549188156,-22.475990514771283,74.31285810866277,2.2767433395802765,0.5290692197284141,-144.96159825613347,330.82595666268213
