r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.44,15.7,9.1,15.56791529086535,351.44090909090914,324.40616391184557,97.53954064923812,2.332322746853831,0.5715484979025538,0.5673752685155773,11050.591159793676,199.37724205354357,0.5673136988214698,550.8181511444527
1.32,44.5,9.1,36.086485301421526,636.9183333333333,142.18057851239666,95.51709824082961,2.322928235847593,0.565285490565062,0.5506809430660111,3583.2170682210203,349.62289500735744,0.5489289233952404,986.5412283406907
2.2,69.4,9.1,25.1352731414583,601.6787272727273,-62.20946477764661,93.45087879147559,2.3133879973774203,0.5589253315849468,0.5281623378280547,-1795.007392357899,-314.5051109564933,0.52271269815716,287.173616316234
3.08,90.0,11.4,28.679854954789676,527.4296753246753,-97.4784722222223,91.76218125568064,2.305492634868978,0.5536617565793186,0.49925590896592537,-1426.8529203742871,-260.3731557702032,0.49366421335682836,267.05651955447206
3.96,105.0,9.88,30.29518885544032,430.1166161616161,-79.94999396264892,89.70600062044029,2.2960326286925996,0.5473550857950664,0.4668530251846578,-1041.4328925547784,-198.34932631646575,0.4611524383469438,231.76728984515034
4.84,113.0,16.2,32.841317466219905,386.71768595041317,-37.67742681767512,86.85774231403282,2.2833718115566644,0.5389145410377763,0.4359949589578748,-571.2938244271064,-163.87633617416512,0.4237621968889681,222.84134977624805
5.53,117.0,24.8,48.792449317585124,370.96305605786614,3.992698159278754,83.745298588717,2.2694859630499575,0.5296573086999716,0.4082282636894364,60.335715544370714,59.543835517018636,0.16051149715493623,430.5068915748848
7.48,124.0,9.1,61.45665253674903,397.2584090909091,12.171913473491058,82.03464333473181,2.2618853707083098,0.5245902471388731,0.38380436153318637,130.9005980089195,107.6774386393985,0.2710513765732709,504.9358477303076
8.37,127.0,9.1,59.98700950618962,405.53129032258073,2.5335436343959055,80.6469048306293,2.2558489835004343,0.5205659890002895,0.3635100642649406,24.39028755492422,24.3900130819216,0.06014335678640362,429.92130340450234
9.24,130.0,9.1,55.9793225851503,401.7174458874459,-7.471768765578342,79.9599848739729,2.2530287660156816,0.5186858440104544,0.34904004678508493,-64.17838636463256,-62.57409555277938,0.15576643781189314,339.1433503346665
10.13,133.0,9.1,56.5000801167023,392.38097729516284,-10.817143180909746,79.78928745523359,2.252399965872778,0.5182666439151852,0.34095785292940217,-83.88899903002684,-77.25175190584612,0.19687945230773668,315.12922538931673
13.23,142.0,23.8,62.67559135465375,358.557044595616,-10.910946032111887,79.6623670774398,2.251916893193809,0.5179445954625395,0.3363721139928577,-64.66911347294727,-61.63869601998878,0.1719076418914192,296.9183485756272
