r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.32,24.4,35.9,50.91501157474063,12513.62,-12611.919921875005,43.48504285981133,2.125500009879641,0.4336666732530939,0.3542297828888857,-37869.122231813024,-4412.562488575086,0.35262078348032666,8101.057511424915
0.64,43.3,16.3,59.23836588453303,8477.805624999999,-9399.796223958334,44.67669406511814,2.1292403236832267,0.43616021578881775,0.35607140889309086,-19453.438207702562,-2994.7056364534265,0.3532406578917557,5483.099988546573
0.96,45.5,16.1,63.46542085421952,6497.750416666668,-4897.679077148435,45.785890832689006,2.1327158886525823,0.43847725910172153,0.3578942451081469,-13290.94160816984,-2302.0632872883316,0.35428619747898615,4195.687129378336
1.28,58.5,15.4,66.41933286918928,5343.291015625001,-3218.6787107819728,46.80412810593362,2.1359014159220004,0.44060094394800026,0.3591718156102174,-10189.890197314038,-1896.7849384467456,0.3549843968633028,3446.5060771782555
1.61,68.8,7.61,67.62617474990793,4405.609254658385,-2706.496819574533,47.471246252412676,2.137973142166994,0.4419820947779959,0.3596323766131845,-8216.749909141514,-1565.0505519844187,0.35524043588967225,2840.5587026739663
1.93,76.9,10.3,66.84223740058844,3584.0680829015546,-1624.4205147638756,47.42813080764233,2.1378458809721725,0.44189725398144836,0.3582347806398676,-6848.043390869039,-1269.101916727138,0.3540953707831663,2314.9661661744167
2.24,82.0,8.09,70.19408693004674,3382.224330357143,-793.5094680550799,46.21039328407173,2.1341528557030376,0.43943523713535837,0.35477589985786107,-5710.391023658403,-1182.577080382608,0.3496447795518445,2199.647249974535
2.57,86.9,7.6,72.03794869300464,3076.2220233463036,-987.566151041865,44.37743147260473,2.128619339376122,0.43574622625074794,0.3493062705778441,-4803.953044806738,-1056.9745323361988,0.34359500852491315,2019.2474910101048
2.89,97.6,3.03,72.55496517448505,2740.306332179931,-522.321356572057,41.43991095894807,2.1197745584194614,0.42984970561297425,0.3420105315636383,-3812.038023176978,-918.7758922246582,0.33528218412492816,1821.5304399552729
3.21,100.0,5.31,107.64878208768681,2741.936355140187,236.8344563594278,37.95131795755532,2.109289265949798,0.42285951063319877,0.33344644425034853,2276.6395936510035,868.113577869869,0.31660602779581476,3610.049933010056
3.54,107.0,7.51,115.89219970765396,2894.248728813559,496.1183168467051,34.476029311944735,2.098856212706662,0.4159041418044414,0.32469800813217015,2563.983070447917,899.8196195137706,0.3108992017706212,3794.0683483273297
