r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.16,160.0,36.0,137.5838090209393,89652.95874999999,106864.5175781251,41.49379234914668,2.1203746325969597,0.43024975506463975,0.3198616478380093,606526.2820758461,28655.194404439353,0.31962352167701724,118308.15315443935
0.32,177.0,30.9,151.6392072289507,106751.28156250001,-16756.32707173782,45.38896833160067,2.133052964751363,0.43870197650090864,0.3280820467846569,-331731.1784517672,-34893.62790929794,0.32686846844895867,71857.65365320207
0.49,180.0,25.3,165.40601065058314,84123.37081632651,-118204.90356934739,49.70954452490928,2.1473243526492762,0.44821623509951747,0.3378796087749034,-237263.0897785571,-28288.37416461054,0.3362724756521571,55834.99665171597
0.65,180.0,32.0,169.58561609255653,67743.66338461537,-61733.78524332807,53.97455803609367,2.1613744349925597,0.4575829566617064,0.34858332914831036,-194205.80897784256,-23498.615406935416,0.34687547488422316,44245.047977679955
1.3,182.0,4.72,168.7020130514926,34119.00476923077,-46644.02988460887,58.19120181447005,2.1752531045786494,0.46683540305243293,0.35998880306275455,-104688.85559206289,-12226.413071056942,0.3583461227474893,21892.591698173826
1.46,183.0,10.8,166.41964276150713,29961.99917808219,-23368.98905508071,61.48905972160939,2.1857820701994717,0.4738547134663144,0.3684153341406572,-98498.92082027381,-10992.480344611191,0.36688073713894276,18969.518833471
1.62,184.0,7.43,164.6564464526438,26640.928271604942,-8763.454472650317,63.38228306976899,2.1918314831007186,0.47788765540047906,0.37327283849008575,-91402.08255231062,-9905.282988634353,0.3718069763804677,16735.64528297059
3.72,206.0,8.42,153.88041372763618,10156.592069892471,-7437.3570180563775,64.84152159874984,2.196516311938079,0.48101087462538583,0.3743661657719758,-40625.12740911424,-3791.2206373686854,0.3732768443666384,6365.371432523785
3.89,207.0,4.54,154.70523222956118,9758.127840616968,-2228.540054668544,62.60999878102381,2.18930755198768,0.4762050346584532,0.37156548244116067,-27896.236353039887,-3605.5034500764928,0.36948721199050527,6152.624390540475
4.05,209.0,5.36,155.92382853248563,9421.173851851852,-1852.6938010940692,59.67737640814317,2.1797525131401683,0.46983500876011214,0.3655879627623966,-22732.38903284144,-3418.15155451161,0.3628158877292906,6003.022297340242
4.22,210.0,2.43,157.95882207635026,9146.738886255926,-1565.4178503117391,56.31786275764125,2.1686733667105256,0.46244891114035036,0.3573636646057499,-18244.682974789655,-3234.18213939619,0.3535885499318164,5912.5567468597355
4.26,210.0,4.6,159.60419179344817,9092.436103286387,-1269.2650139853743,52.71598395165521,2.1565560531706516,0.4543707021137677,0.34788862946296406,-14326.986471051458,-3112.741728159677,0.3423440860953207,5979.69437512671
4.38,211.0,2.8,161.81994324829412,8943.656484018265,-1061.3173449655399,49.56617324824841,2.1458768115447406,0.44725120769649374,0.3395571100865259,-11248.631100633078,-2965.1875267394685,0.3315408560288587,5978.4689572787975
