r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.22,12.4,7.0,44.91502500747074,6668.047727272727,4919.477501665,2728.6898473005235,936.9950113732107,36.70239393927181,2.1061039240958204,0.42073594939721354,0.32398306969478663,114626.21382691439,2501.768051916919,0.37518748428937204,9169.815779189645
0.78,37.5,4.0,97.10689341935876,9422.955128205127,1329.4767477662208,1291.617126216705,585.6414466223414,41.61122869163381,2.121879570415102,0.4312530469434014,0.33831565370645367,62219.853553822846,2666.4663455880795,0.282975596223176,12089.421473793207
1.33,56.5,4.0,111.72358312020535,8143.766917293232,-2444.4600162586034,-75.04958555056726,-25.285609586040323,47.396022826267796,2.1410190221255774,0.4440126814170516,0.35732041067686293,5360.19024134824,1241.3150565544604,0.1524251699687692,9385.081973847693
2.33,69.1,4.0,111.72098948165849,5634.042103004292,-2265.886103754094,-1295.3816813670842,-619.634945420606,53.625294245520664,2.161940542604945,0.45796036173662996,0.3809353877255218,-10248.912272115933,-277.14103400822046,0.04919044425678644,5356.901068996071
3.44,85.5,7.5,78.36859828733475,3362.747238372093,-1913.85605717136,-1738.5144503342117,-883.7894458930622,60.660661116376005,2.18635901419842,0.47423934279894675,0.4086054341602442,-15030.143909054792,-1577.3875879297532,0.4690770599497591,1785.3596504423397
3.78,87.1,8.4,80.38226181363927,2858.95082010582,-1182.1829774175826,-1352.7343799809685,-846.437132450878,68.07977768730099,2.2125207768975654,0.4916805179317103,0.4371722232844761,-14046.899404820993,-1149.6100755882408,0.4021090770444556,1709.3407445175794
4.77,105.0,4.0,64.42271057115747,1790.4438784067086,-886.1870970694164,-963.3602891963429,-718.7678628175272,75.0655327837419,2.238335635367716,0.5088904235784772,0.4655106188744202,-11612.983392432468,-920.363032005215,0.5140418211958888,870.0808464014935
5.44,112.0,6.7,61.437002481291216,1387.8802389705884,-515.5596644923892,-616.8480596618922,-556.9422242406579,80.90439796850634,2.2610419358286737,0.5240279572191158,0.49284374066457265,-8345.72726987011,-694.0373577415107,0.5000700624257671,693.8428812290776
6.11,116.0,4.0,57.23221562278994,1099.5939279869067,-319.0156498309665,-402.87056069185803,-386.82833506621887,85.97295294093044,2.2818388794441615,0.5378925862961077,0.5179463408996807,-5619.9425803335225,-563.5012102956595,0.5124630065275964,536.0927176912472
7.22,124.0,4.0,52.989274804867776,820.0323822714682,-181.29490949910593,-235.60273395519408,-250.89766267235615,90.1832799028157,2.299699444970666,0.549799629980444,0.5401888331384492,-3366.9531758522753,-431.1316559077847,0.5257495499306519,388.90072636368353
9.33,135.0,4.0,43.41857536447773,515.8243193997856,-112.29548256741195,-140.51578634982394,-151.7770583247852,93.67986260488877,2.3149919498228178,0.5599946332152118,0.5578211052989681,-1823.0550619151177,-313.7693690588604,0.6082872738996935,202.05495034092525
11.1,140.0,4.0,44.46493247465667,384.32590990990985,-49.84796338609677,-84.73764167673832,-93.51534524913751,96.30048592468984,2.326920649283776,0.5679470995225173,0.5713983080734234,-917.3325120196192,-206.20607027245245,0.5365396007799458,178.1198396374574
15.55,144.0,5.0,29.361363691266742,205.76998713826367,-40.12492646553846,-56.50364507002482,-65.80467547692072,98.47663195987204,2.3370672799758414,0.5747115199838942,0.5812614293961749,-548.2606904571918,-150.33013647518735,0.7305736787268959,55.43985066307633
