r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
1.33,175.0,13.6,205.88812764532636,44287.4830075188,-12529.740982311074,-10818.936123677096,-978.496063525751,53.94074187666931,2.1591399408762424,0.4560932939174949,0.32533189316675,-34346.953189145235,-12415.36187571564,0.2803356847714252,31872.12113180316
2.34,237.0,3.65,222.8025356186359,31632.44461538462,-10249.280813068712,-9100.97867562592,-978.4957572092106,56.607990424628355,2.1683878466187427,0.46225856441249513,0.3322963336807814,-26953.968178831474,-10418.354923891662,0.3293566163022581,21214.089691492954
3.33,247.0,3.81,229.5033062340751,23788.921381381377,-6256.176858383555,-7128.790311927663,-978.471800524811,59.57710049926243,2.1787969876193016,0.4691979917462011,0.3410697884406441,-18436.668872720584,-7971.57376205055,0.3350960572886494,15817.347619330827
4.34,242.0,3.56,234.77317435360456,19120.09089861751,-3939.953742055183,-4996.208782542463,-977.6458081140922,62.73934634666231,2.1899610158514475,0.47664067723429837,0.35140556979870263,-14538.577961015773,-6419.988733624879,0.3357718730348233,12700.10216499263
5.35,240.0,4.2,235.44595393769674,15830.214822429909,-2668.7991638197964,-3263.5034465912145,-971.7173240354954,65.94173054692128,2.2012743184968264,0.48418287899788426,0.36302649203094495,-12164.633652368386,-5468.57048119028,0.34545143843795695,10361.64434123963
6.34,233.0,4.59,238.61879904912368,13782.492570977916,-1866.8333353850662,-2295.3566870132963,-953.376491086274,69.0542827022715,2.212218728058701,0.49147915203913395,0.37402453359213017,-10440.36696520222,-4801.5885868066125,0.3483831797535243,8980.903984171304
7.34,233.0,4.63,239.71017522083278,12115.216485013627,-1585.754133312468,-1732.7012551862392,-917.1161897626934,71.71093224095945,2.2216706946197537,0.4977804630798358,0.38382434687174904,-9013.906307428597,-4286.746716021481,0.35383162334112095,7828.469768992146
8.32,247.0,6.41,238.36641097663465,10642.69938701923,-1415.4430604939662,-1374.1861820036834,-867.0626084924903,73.86297910199205,2.229445706952677,0.5029638046351179,0.39218164691030877,-7720.485099970435,-3813.5472377545784,0.3583251860337158,6829.152149264651
9.34,248.0,7.64,234.709355811241,9284.330364025695,-1126.6765829198994,-1157.457182602391,-806.0902882740558,75.35774677490554,2.234925228235004,0.5066168188233359,0.39926600450281824,-6525.022527180496,-3386.205984440284,0.3647226942247692,5898.124379585411
10.38,242.0,9.05,234.92698135889756,8321.745626204236,-876.2237979070165,-967.325833730062,-731.8800740705167,76.21372588088212,2.2380851720043617,0.5087234480029078,0.4054524922627565,-5408.3973723634435,-3004.7237986123478,0.36106893115680105,5317.021827591889
11.36,252.0,12.5,234.6054891836439,7514.3582922535215,-783.1883383786046,-773.6403635368276,-642.5883055840305,76.86083117761436,2.240522096099567,0.5103480640663779,0.4114242728585195,-4392.190333528595,-2669.311148318939,0.35522809061030614,4845.047143934582
12.34,245.0,8.72,233.6640485828367,6786.696482982172,-635.0973889508222,-611.5600433077211,-548.1988437612789,77.77552466439975,2.2441341860483783,0.5127561240322522,0.41805520764814513,-3511.834496718797,-2362.151296586526,0.34805612752974663,4424.545186395646
13.32,247.0,4.44,236.14598097229586,6269.56740990991,-447.01570952779576,-495.7996484267325,-460.1201967912814,79.10770209449458,2.2496465459713093,0.5164310306475395,0.42623121974105055,-2789.798455733081,-2083.0115293267327,0.3322416672694591,4186.555880583177
14.3,238.0,9.29,241.34583861386335,5910.545692307692,-316.27498177436615,-401.4797380750951,-385.13599521049275,81.00194038864143,2.2577995492179395,0.5218663661452929,0.43675469805154016,-2227.0701616846936,-1837.271998865106,0.31084642510356236,4073.2736934425857
15.47,249.0,9.98,247.6977652159431,5589.576199095022,-297.4218235020736,-329.65139259850787,-326.83650157068115,83.63456040191086,2.2695623982849757,0.5297082655233172,0.4501611836220594,-1830.2198976889317,-1623.5656694911136,0.29046310698009203,3966.0105296039087
16.35,250.0,6.15,251.0710742996003,5300.830954128441,-311.58878662041747,-290.67697528678804,-290.345399368665,86.83971045833928,2.2843895291015106,0.539593019401007,0.46664074861830246,-1557.384448347779,-1445.3762538253577,0.2726697505227283,3855.454700303083
17.92,253.0,6.96,251.65597342787993,4826.183671874999,-275.95566156788647,-278.1551912098821,-269.96115033027706,90.48150632811468,2.3017514791718745,0.5511676527812497,0.48567176442052157,-1383.7494795851278,-1292.1028146242288,0.2677276503490883,3534.0808572507704
19.1,258.0,15.4,255.0772843334243,4541.952884816753,-252.1436229691964,-262.70333181529344,-251.71943495139135,94.54811419802108,2.321630395388664,0.5644202635924426,0.5064315695379523,-1201.4942105635291,-1135.438697229602,0.24998909632577831,3406.514187587151
22.52,254.0,6.51,247.09030938009175,3666.3230062166963,-253.66606138983647,-231.94131664878037,-226.4539860932545,98.98332116695357,2.343834400757044,0.5792229338380295,0.5278846142992908,-1004.3064610659673,-955.2385928264008,0.2605440358655464,2711.0844133902956
26.05,256.0,7.73,229.11304750985312,2778.9737581573895,-220.1625265291304,-197.74987947138732,-194.9426895927989,103.09775545196054,2.3647828594624616,0.5931885729749744,0.5490632512303611,-784.0650745034101,-763.8955032916617,0.27488402905904585,2015.0782548657278
29.48,255.0,8.5,213.35995295871962,2133.9918215739485,-157.778710787852,-163.54035619476514,-161.80634476424794,106.64274002023933,2.3833949170562145,0.6055966113708097,0.5673721111455831,-596.6048596986894,-589.8103586652969,0.27638829385497643,1544.1814629086516
33.0,244.0,5.75,200.89422969838944,1682.4117181818183,-104.9984756809213,-129.02634523401488,-130.39056986042124,109.57710487244287,2.3993518174442605,0.6162345449628404,0.5823951617693535,-452.063972470983,-459.4271264815377,0.2730765136241683,1222.9845917002806
36.43,246.0,4.24,192.42719681969578,1404.2524155915455,-81.09600658608537,-101.21304124540588,-109.99697098083455,111.90927050773533,2.4125188000953735,0.6250125333969156,0.5937480863987677,-369.58779558842696,-387.8311672828455,0.27618337200400717,1016.4212483087
