r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
0.28,107.0,30.2,106.8546945660646,30553.241785714275,30715.769817219807,15825.589649512121,1145.0085503163614,33.9326385505173,2.096770861468024,0.4145139076453492,0.30808957895149597,104280.64981233688,10225.0644671677,0.3346638153450746,40778.30625288197
0.55,121.0,15.6,158.30560986074244,38846.499636363624,5028.231802534832,6740.63813880594,540.581932834493,35.934706129223656,2.102791050977061,0.4185273673180407,0.3113206441277096,54620.47440603373,6718.34784251199,0.17294602873879134,45564.847478875614
0.83,134.0,8.69,169.16540627462808,33318.76927710843,-18047.59300663364,-764.8137589604187,-222.76046076015135,38.07662190149739,2.109252467384612,0.422834978256408,0.3152488923825798,-1132.4981138647436,1159.465277180691,0.03479916282433932,34478.23455428913
1.39,157.0,12.5,161.01382197591494,23686.52151079137,-14708.987736311097,-8086.851428005227,-986.0975021663612,40.170167603054054,2.1155625744806588,0.42704171632043914,0.3191009756316689,-22615.22733351794,-5035.118009142718,0.21257312969524728,18651.403501648652
1.65,168.0,11.7,158.74169541264908,21257.399333333335,-6811.489671611992,-9723.190192052065,-1145.0055659775924,41.97582298276639,2.120972308680793,0.4306482057871953,0.32246007539346627,-24693.44635254825,-5985.323053041058,0.281564219554157,15272.076280292276
3.04,207.0,8.04,152.82928489256415,12447.56355263158,-5894.418528004234,-6545.2129029509815,-1144.0836115534441,43.7204363720864,2.1261943758801665,0.434129583920111,0.3242558683733168,-20159.006732474056,-4764.408841851142,0.38275834637886885,7683.154710780438
3.32,213.0,6.53,160.42236248890518,11413.720391566265,-3153.462017699353,-3845.6171016459293,-1135.975364110996,43.53008485359145,2.125623881858429,0.43374925457228597,0.32438525369784704,-14716.245714095756,-3662.1136486380447,0.32085188028121175,7751.60674292822
3.59,218.0,11.2,162.12690647139297,10713.159442896937,-2157.7065611282314,-2595.8294783884794,-1086.4365122929005,42.29784497816827,2.1219313182010047,0.43128754546733644,0.32303765504228965,-12653.986389961527,-3391.3951526507526,0.3165634909783148,7321.764290246184
3.87,222.0,6.05,165.01634243124104,10226.981782945737,-1211.0087297858356,-1527.2618969516002,-983.4367019859898,40.40294114118785,2.1162419678223365,0.427494645214891,0.32046520225551073,-10293.52838274197,-3190.7044523554,0.31198886632184486,7036.277330590337
4.15,226.0,5.41,170.573051149998,10034.994554216868,-562.5515553247433,-1057.8318134400834,-844.2608854120647,38.40480870254653,2.1102215942610294,0.42348106284068626,0.316894229624135,-8046.011838618879,-3024.1112340675095,0.301356539630281,7010.883320149358
4.43,229.0,5.96,176.56183055632982,9911.952911963881,-551.5806208198378,-819.2458928695901,-728.5398180584775,36.8365292190276,2.1054687398014433,0.4203124932009622,0.3133848772196061,-6305.566205715317,-2874.9145351236707,0.2900452171896019,7037.03837684021
4.7,232.0,7.41,181.4123078139323,9731.625212765957,-806.3116001417694,-736.3279846158507,-665.9632929974367,35.61030689094416,2.101704025024712,0.4178026833498079,0.31056241334428397,-5209.348263519539,-2729.407036941081,0.28046775099401094,7002.218175824876
