r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.42,35.7,9.1,19.89115086641078,15.483607460795433,570.8145238095238,541.5501457725948,372.57915140505077,86.6108880955232,109.70189873751325,2.353923534873289,0.5815694139493157,0.488414119235866,0.8070501304730058,17084.83381115109,371.228054262653,942.0425780721769,0.6503479480254585,0.0
1.47,83.3,9.3,48.504003440775364,40.92651951974417,1139.4421768707484,331.3921744193345,233.99665800601161,82.35748052824543,107.26973339353415,2.355524808750501,0.5822099235002005,0.48887994436378224,0.8110924865840179,10411.399518393617,460.9920746821417,1600.4342515528901,0.404576979893938,4.253407567277762
2.11,94.2,10.4,58.894716934527494,48.84802964296513,1130.867298578199,-93.14685471186529,110.03377579265548,53.328441617763026,102.95216668547808,2.3526803462304255,0.5810721384921703,0.48805246435794203,0.8169249826955922,2924.0463985534625,513.0131198095354,1643.8804183877346,0.4536457287734196,29.029038910482406
2.84,97.6,9.1,60.081432342778534,53.605969816803054,1011.830985915493,-151.36232122260083,-0.2229274450956975,4.655116293145458,97.778541430616,2.324044564357519,0.5696178257430077,0.4797220550858238,0.8218311879595013,620.6407189090041,259.2177860422091,1271.0487719577022,0.2561868431096443,48.673325324617565
3.9,101.0,9.1,56.467067010918065,57.91132963419162,859.9287435897436,-78.26426529418575,-73.6023404040574,-38.50554074804271,91.19388815532017,2.3107186261020263,0.5642874504408105,0.4758454185024077,0.8261620915604718,-559.9430470218888,-42.35703671397145,817.5717068757722,0.049256449478771266,43.16065704118817
4.74,105.0,16.7,51.45248993992266,63.96273055459718,863.12888185654,-9.733370416161087,-65.48434275294377,-52.77469199228504,84.40199872459729,2.328801758605694,0.5715207034422777,0.48110596613983836,0.8289916969770559,-833.205080289416,-304.61438375151,558.51449810503,0.352918770481069,14.26915124424233
5.69,106.0,9.1,53.1911806239974,69.23770071283418,842.5060105448152,-35.5048903754741,-47.177340463706166,-46.050844958873626,81.48904185359197,2.336624701220412,0.5746498804881648,0.4833817312641199,0.8262266052702628,-717.3381697251701,-345.26493916085815,497.2410713839571,0.40980709317146474,6.723847033411417
6.32,108.0,11.5,55.074238053205924,71.41734313176316,807.031155063291,-52.55686645629708,-42.92551385052589,-42.9019459435233,81.43093312832525,2.3520383088860606,0.5808153235544243,0.48786568985776313,0.8196108330406214,-571.6949342900638,-327.09892450297525,479.9322305603157,0.40531139653130577,3.148899015350324
7.37,110.0,23.0,57.66014080626334,74.55555780758401,754.2104748982362,-59.82730977641277,-51.1094465575932,-45.04941090833941,82.25613464032485,2.394321230265962,0.5977284921063848,0.5001661760773708,0.8128835572664291,-516.4746544196391,-303.0989636637565,451.1115112344797,0.4018758340695983,2.147464964816109
8.21,112.0,19.7,58.23876361709523,75.48106650014955,693.9575395858708,-57.005132228284424,-56.18116986426986,-48.241394206165694,84.04692921348378,2.4262594401384097,0.6105037760553639,0.5094572916766283,0.8062559817695056,-484.36828487037474,-280.83286386749137,413.1246757183794,0.4046830646657178,3.191983297826283
9.16,113.0,9.1,60.30617700404818,77.29093737301936,652.171288209607,-50.653033951497626,-55.955607364938714,-48.6116493553169,86.01121084632852,2.446590936414114,0.6186363745656456,0.5153719087750149,0.8006003825403534,-440.9912318431936,-255.13690121794875,397.03438699165827,0.3912114897274473,0.3702551491512054
10.85,114.0,9.1,60.316642637796555,77.96495238246479,560.2335299539171,-60.863506908857374,-52.6656223418412,-47.14827662335793,85.7590159256985,2.45915858167578,0.623663432670312,0.5190279510329542,0.7989764413607228,-381.1004266470458,-224.92501575155237,335.3085142023648,0.4014843877160546,1.4633727319589696
12.21,114.0,9.1,58.37020324022818,75.47465799856266,466.537592137592,-51.42905395964137,-49.940072828369345,-45.37823348192621,84.53737422340687,2.468581298283802,0.6274325193135208,0.5217691049552878,0.7994130407033782,-310.1992641230076,-187.49740980298566,279.04018233460636,0.4018913222917493,1.7700431414317208
15.16,114.0,11.2,51.76532066423508,71.64346795067922,338.5743073878628,-43.377384660925166,-48.484942970254856,-44.36753286714469,83.28848083065495,2.4769260205304025,0.630770408212161,0.5241966605179352,0.80088743443825,-267.2295755174564,-161.81649581325308,176.75781157460972,0.47793495336868513,1.0107006147815198
