r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.34,35.5,2.1,50.887113554745625,42.03134306681146,5195.981764705882,1849.4469364407892,1477.6126166330007,209.85189351782375,103.4848690621375,2.216159513970586,0.5264638055882345,0.4483373131550796,0.8141528807671247,51026.10571780968,2420.189782157576,7616.1715468634575,0.4657810384549282,0.0
0.67,62.4,4.2,74.9872425300783,62.37163217360918,5806.299253731342,1959.6645989304832,703.1502018390149,163.7981270677198,103.62713438191889,2.2251600601212695,0.5300640240485079,0.4509556538534603,0.813321321215576,30646.177222730654,2586.3672272608737,8392.666480992215,0.44544159958665214,46.05376645010395
1.0,90.7,3.8,87.27100636386737,80.55656646108994,6489.3604000000005,-119.9423250878471,74.88299851167761,26.58052950906169,102.79181076291499,2.2327778678231707,0.5331111471292683,0.4531717433667406,0.8128981218771933,6424.831302572324,1126.8681517621803,7616.22855176218,0.17364856970529488,137.2175975586581
1.32,104.0,2.0,83.11140350484132,86.95633674436843,5728.3367424242415,-2022.8651375291397,-408.743292882475,-113.20485962470603,102.51705482915676,2.235686004325048,0.5342744017300194,0.45401774671274137,0.8123922139163927,-6290.436242020121,-495.3781117086726,5232.958630715569,0.08647852491629669,139.78538913376772
1.65,105.0,2.4,70.67783827885228,92.40087553697745,5174.49806060606,-1291.8890801958973,-817.1806487225892,-207.04737394924118,102.09790757665968,2.2307415495341782,0.5322966198136714,0.4525793598644883,0.8127183501201491,-10575.124330951974,-2147.0090765020627,3027.488984103997,0.41492122547062965,93.84251432453514
1.98,108.0,2.0,74.06864514193065,98.25408948232129,4875.689949494949,-568.6845205299738,-741.2926078304439,-197.3860606644763,101.53285838638963,2.234014948491027,0.533605979396411,0.453531621379208,0.8137222292199298,-9052.931941802499,-2104.899952948865,2770.7899965460842,0.4317132497662002,9.661313284764873
2.31,116.0,2.3,88.9165452632043,105.29042739014787,4799.166277056277,-82.52218027008826,-244.26063529718647,-97.14329720780813,100.47741249910256,2.2290915459801375,0.5316366183920551,0.4520993588305855,0.8150616515117101,-4389.229428662029,-1376.5896443534807,3422.5766327027964,0.28683933101769005,100.24276345666817
2.63,130.0,3.3,111.16582193899698,112.61435476883042,4822.050532319392,259.49787937288005,97.28738878617584,30.792361394441727,100.74455575194717,2.2253103276341566,0.5301241310536627,0.4509993680390274,0.8160024654250592,632.0123469771029,-123.25206563772542,4698.7984666816665,0.025560094157379462,127.93565860224986
2.96,141.0,2.2,133.80913921546434,121.26337493241725,4967.839898648649,462.2947251371471,248.9675871227016,145.21634331736846,100.73307350427382,2.2226605255537484,0.5290642102214994,0.45022851652472684,0.816666809803829,3477.8088118857618,1081.1079856701053,6048.947884318754,0.21762134201711858,114.42398192292673
3.28,146.0,1.6,145.24757131824583,129.622290135609,5122.542103658538,415.85104022091406,238.1884429224521,140.12803925988536,100.93110719503008,2.2243293817107324,0.529731752684293,0.4507140019522131,0.8162173590559855,3382.643525372274,1309.4264859295447,6431.968589588082,0.2556204438015937,5.0883040574831
3.61,150.0,1.4,141.83785709599005,137.51253215616384,5238.143074792243,189.71647115265495,79.16077855981717,31.821156627520473,101.425027780258,2.23222939517911,0.5328917580716441,0.45301218768846846,0.814289336230533,918.633115427863,334.7039350644043,5572.847009856648,0.06389744042600047,108.30688263236488
3.94,152.0,1.1,131.18921486386466,143.79205332701804,5247.75497461929,-136.4179012713356,-189.7171443012344,-93.71511615273228,103.00826028313762,2.2459449385596715,0.5383779754238687,0.4570021639446318,0.8104871694847751,-2065.5870430813884,-879.5798231986673,4368.175151420623,0.1676106882757952,125.53627278025274
4.27,155.0,1.3,120.29485974927061,148.26468898561112,5148.107259953162,-535.6404424402946,-486.57521206650006,-188.80602040738083,104.9528332858822,2.2669643238292823,0.546785729531713,0.46311689420488217,0.8052160603115426,-3976.4220272925068,-1759.148645878996,3388.958614074166,0.34170784660283104,95.09090425464855
4.6,152.0,1.8,115.81297236330849,150.04488828347334,4894.232282608696,-882.0948891681107,-739.8102735946482,-208.5218259185065,106.7368733019789,2.295677621019731,0.5582710484078925,0.4714698533875582,0.7996031608081674,-4694.64739483089,-1978.4399852990312,2915.7922973096647,0.40423908614416937,19.715805511125666
4.94,150.0,2.4,113.9613751301772,150.04030191918437,4557.103684210527,-1068.4392986054143,-876.448411388278,-209.84167921704045,108.40382387025126,2.322043183736119,0.5688172734944477,0.4791398352686892,0.794585150827807,-4598.479975977685,-1928.1168377406948,2628.986846469832,0.42310137564375433,1.3198532985339568
5.3,147.0,5.5,111.29847370878645,148.24142909456856,4146.324773584905,-1076.4588364880856,-894.0226223271331,-209.9101387038411,109.88783561408762,2.335834685496943,0.5743338741987772,0.48315190850820167,0.7903970139518257,-4360.9889010048555,-1809.088877376334,2337.2358962085714,0.43631142666429357,0.06845948680066272
5.63,145.0,3.8,109.52369883572888,146.54273813464795,3814.3470870337483,-819.6085902394844,-826.395199139027,-209.76843852455258,110.73815012517488,2.339594974660708,0.5758379898642833,0.48424581081038787,0.7873280220476254,-4119.146546684133,-1683.7182048562274,2130.6288821775206,0.4414171459592005,0.1417001792885344
5.96,152.0,4.1,110.02595746594567,146.58814174413973,3605.3831040268456,-623.5114971345698,-701.8969373718169,-209.0635721640939,110.59019093194378,2.34672674315081,0.5786906972603241,0.48632050709841756,0.7860407031179231,-3876.4134071312924,-1574.2234871983078,2031.1596168285378,0.43663140414677726,0.7048663604586807
6.27,149.0,1.4,113.22247620654434,146.33499000580824,3415.299728867624,-543.9577732275809,-551.0179023404735,-206.7521399970476,109.90153784395629,2.3565970636948745,0.5826388254779499,0.48919187307487266,0.7855337418930124,-3386.351359444853,-1370.7496302485647,2044.550098619059,0.40135558781631453,2.3114321670462914
8.24,149.0,4.0,102.35914133935646,139.60269803983016,2365.159381067961,-445.94798976936386,-426.7684317342928,-201.4712671321031,108.62040108477882,2.362478995920581,0.5849915983682324,0.4909029806314418,0.7846117109468214,-2752.178937898919,-1093.63100537253,1271.5283756954311,0.4623920967553202,5.280872864944513
10.3,146.0,4.0,90.7454130990329,129.0996982955421,1618.129330097087,-322.0636613313687,-336.6005463506751,-191.3362077393125,106.41182058916105,2.372944265464809,0.5891777061859237,0.4939474226806718,0.7840263011697368,-2085.385366969162,-818.6409807267829,799.488349370304,0.5059181398545349,10.135059392790595
11.13,149.0,3.2,93.06765631119782,126.35197188805563,1434.3953998203053,-198.36123720858077,-259.92043546118566,-175.3601211492837,103.04909537785046,2.3865131688547976,0.5946052675419191,0.4978947400304866,0.784327190332299,-1629.374465827252,-656.1753952148033,778.220004605502,0.45745782180910927,15.976086590028785
11.95,152.0,2.8,92.52567129295825,124.19926650347014,1290.833288702929,-172.67207021648107,-198.70658444438058,-155.38075637311715,99.04032809012242,2.390817033427272,0.5963268133709088,0.49914677336066093,0.784261390465954,-1309.1917272164133,-574.4316277646394,716.4016609382895,0.4450083777602659,19.979364776166562
