r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
0.09,231.0,52.9,103.99947137420824,81.4097967077673,73639.5,870755.0000000001,642465.7617780145,4082.259633206306,110.39690816727972,2.337911633759794,0.5751646535039177,0.48375611163921284,0.8045331850987851,4218551.892739123,46537.056067941776,120176.55606794177,0.6319577953128658,0.0
0.17,231.0,27.9,186.16483267935004,156.08005317784847,143299.90000000002,534481.3348416288,436535.88769614545,4082.259633206306,109.97211588341086,2.315443890122995,0.5661775560491981,0.47722004076305313,0.8086070014187843,3122736.378753068,60566.83486194346,203866.7348619435,0.4226579004028855,0.0
0.26,231.0,16.4,248.33106939574168,206.8099248101986,164501.3269230769,65582.4740484427,226957.0489418202,4082.2343867482236,109.5468967457007,2.300475246001138,0.5601900984004553,0.472865526109422,0.8126992498323038,1599403.2626699784,72684.51933551027,237185.84625858717,0.4418476172505195,0.02524645808216519
0.34,231.0,11.9,251.61262904036997,229.156350555685,154448.92058823528,-158894.37040934453,23652.61429065736,1360.7279646106865,109.29955238012501,2.2870191542827594,0.5548076617131038,0.4689510267004391,0.8151266838580782,603803.4109847993,31753.770860608314,186202.6914488436,0.20559399664090025,2721.506422137537
0.43,232.0,8.04,230.68708145087982,243.14685295105093,137489.28395348834,-177139.19377162625,-107008.25682657433,-1360.778457526851,109.33669738613777,2.286968602970413,0.5547874411881653,0.4689363208641202,0.8148420418653174,-261802.82252485695,-13729.912910872368,123759.37104261597,0.09986169478864332,2721.506422137538
0.51,232.0,6.53,187.1696984718342,251.81537165153364,124335.25764705882,-145767.1732558139,-140098.60383641563,-4082.259633206306,109.54353962672374,2.3081348114144777,0.5632539245657912,0.4750937633205754,0.8129464665415927,-656836.2091684847,-55644.08896855425,68691.16867850457,0.4475326630721831,2721.4811756794547
0.6,232.0,4.75,187.79475443767583,260.04868524951246,112708.86449999998,-118823.0207445296,-125256.45679314785,-4082.259633206306,109.890305762339,2.3199046850285416,0.5679618740114167,0.4785177265537576,0.8097296438528507,-758920.0106414959,-53930.74817615502,58778.11632384496,0.47849606519773813,0.0
0.69,232.0,4.0,191.76347028939432,266.5211222398705,102947.1139130435,-99869.26100076377,-104556.51771528646,-4082.259633206306,110.24735303906098,2.3252606710727095,0.5701042684290838,0.4800758315847883,0.8064145250154502,-661786.6663845252,-49652.57980082406,53294.534112219444,0.48231152786628073,0.0
0.77,233.0,5.69,195.89935604804282,271.50126961029116,95731.09012987014,-84683.63519300566,-87476.3614286463,-4082.259633206306,110.42509258278767,2.328474334418462,0.5713897337673849,0.481010715467189,0.8047923602541766,-587397.5784814992,-45891.40480514566,49839.68532472447,0.4793782745280425,0.0
0.86,233.0,4.83,198.68445564189395,275.95972622830305,88550.89593023254,-73639.49838231939,-73877.09981056071,-4082.2596332061876,110.49531764129365,2.3296639541484727,0.5718655816593892,0.48135678666137394,0.8041908645872091,-528265.8407178745,-42649.13672823751,45901.75920199503,0.4816341639483795,1.1823431123048067e-10
0.95,234.0,10.8,201.2273667514301,279.91459661832573,82475.98042105265,-60366.391822613026,-62798.46847753146,-4082.259633194836,110.50743939543348,2.3294909252192313,0.5717963700876926,0.4813064509728673,0.8041423610934428,-479097.9327561121,-39852.3455476689,42623.63487338375,0.48319941568704616,1.1351403372827917e-08
1.03,235.0,10.3,204.83920556180215,283.96701850743153,78288.60932038832,-50826.71265410168,-53483.497210981426,-4082.25963268133,110.49463965766998,2.328363121314532,0.5713452485258129,0.48097836256422755,0.8043336761416066,-439714.9465239316,-37551.61889787353,40736.99042251479,0.4796562261592523,5.135061655892059e-07
1.11,235.0,10.6,207.24833130284136,287.2655811265944,74343.70639639637,-44476.10433561753,-45702.8225626979,-4082.2596250261145,110.4903752468517,2.326721959846948,0.5706887839387793,0.48050093377365766,0.80444340259886,-406750.6131334946,-35648.32727224115,38695.379124155224,0.479506995281703,7.655215540580684e-06
1.2,236.0,10.2,210.1623471915582,291.33006350186383,70727.67158333334,-38108.77886025549,-40187.90459645376,-4082.2595732604223,110.51826953004695,2.326930131695761,0.5707720526783044,0.4805614928569487,0.8042451517756057,-377437.3459296947,-33920.8281024458,36806.843480887546,0.4795976927146445,5.176569220566307e-05
1.29,237.0,10.6,212.80701747132912,295.05003440094697,67484.12620155039,-34736.125140901735,-36286.19450575114,-4082.259357059887,110.5973922976571,2.329149128560222,0.5716596514240889,0.4812070192175192,0.8035555505165248,-351177.9588057671,-32378.059003842973,35106.067197707416,0.47978777864207,0.0002162005353056884
1.38,238.0,14.2,214.8336962469584,298.28800394920347,64475.169057971034,-32791.801991392334,-33364.047963212484,-4082.2587929728397,110.73562938788189,2.3328617503935187,0.5731447001574076,0.4822870546599328,0.8022996465411365,-329226.3697204747,-31030.59149048524,33444.577567485794,0.481279722781106,0.0005640870472234383
1.46,238.0,14.1,216.5990025369834,300.6458032303128,61909.519863013695,-31318.162200588624,-31383.927657822172,-4082.2575862275085,110.9113159105433,2.3379331576530187,0.5751732630612075,0.4837623731354237,0.8006808129862466,-310102.27598839963,-29775.8706164273,32133.649246586396,0.4809578669372972,0.0012067453312738508
