galaxy,source_file,beta_mode,beta_mean,beta_max,d_eff_mean,d_eff_max,cinfo_cap_mean,eta_mean,projection_mean,struct_to_bar_ratio_mean,struct_to_bar_ratio_max,sigma_flip_severity,a_newton_source,rmse_kmps,mean_absolute_fractional_error,n_points,status,error
NGC2403,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2403_normalized.csv,local_structural_coupling_v5,70.08619103181584,112.24937527622725,2.352748241809348,2.4403860055980218,0.5810992967237394,0.48807221579908316,0.7920636159652794,0.35466836728571466,0.541505609440796,461.35207373140145,baryonic_velocity_components,47.762500465947376,0.36500585172199485,73,ok,
UGC02455,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC02455_normalized.csv,local_structural_coupling_v5,90.14685719124537,97.09951796062973,2.345938554420941,2.425659953489801,0.5783754217683764,0.48609121583154646,0.8084804059265145,0.40479810370975733,0.5479170336417495,487.6942077945181,baryonic_velocity_components,33.63674680394112,1.027012154076985,8,ok,
UGC08699,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC08699_normalized.csv,local_structural_coupling_v5,83.14477212137643,112.82028778851819,2.366094828370747,2.4380007814874194,0.5864379313482988,0.4919548591623991,0.7894082194241636,0.39933686168305277,0.7838167413774082,503.8189313679815,baryonic_velocity_components,58.61264025114126,0.303181171355807,41,ok,
NGC6789,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC6789_normalized.csv,local_structural_coupling_v5,96.53496621191417,100.64271626232717,2.390904390262657,2.4162880583746076,0.5963617561050629,0.49917218625822757,0.8158662428594747,0.5164504292249424,0.6272431224328572,541.503531417392,baryonic_velocity_components,18.06813940175211,0.34884118326104296,4,ok,
UGC07232,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC07232_normalized.csv,local_structural_coupling_v5,81.1914207405166,83.91893420578572,2.3577263461870244,2.3998934708264708,0.5830905384748097,0.4895203916180434,0.8163587359498563,0.3302407216045407,0.5538314718519235,587.236210576412,baryonic_velocity_components,13.664933059149895,0.2750225413422266,4,ok,
UGC05721,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC05721_normalized.csv,local_structural_coupling_v5,62.01006220140946,106.4913011520847,2.3622091753318735,2.4242593810197532,0.5848836701327492,0.4908244873692723,0.7904644009792815,0.410567491400085,0.5299954132180291,602.5481937474765,baryonic_velocity_components,45.24343696343227,0.5431979969869835,23,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\F571-8_normalized.csv,local_structural_coupling_v5,69.68250777009717,105.01501260229563,2.3556356404541234,2.4241514640798134,0.5822542561816493,0.48891218631392686,0.7903527234977579,0.43632644478250904,0.5597468927789461,610.9270562083817,baryonic_velocity_components,62.09741936705618,0.8003854584599707,13,ok,
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC3521_normalized.csv,local_structural_coupling_v5,81.61386657302357,109.46674907280006,2.3817752258847436,2.4612679334126746,0.5927100903538975,0.4965164293482892,0.7935045310454069,0.4721406385378141,0.5154323827131925,631.6317606787843,baryonic_velocity_components,31.20819843395126,0.12521402024320022,41,ok,
UGC03205,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\UGC03205_normalized.csv,local_structural_coupling_v5,75.29926124149206,109.72405273058246,2.3615290951392196,2.4534456937619433,0.5846116380556879,0.49062664585868215,0.7953758229252238,0.33918492864744776,0.5756987508519349,763.3423935946444,baryonic_velocity_components,62.824969209123374,0.28082102284858995,48,ok,
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized\NGC2976_normalized.csv,local_structural_coupling_v5,83.8720739589141,100.35810099292007,2.3863005003215068,2.476533346683718,0.5945202001286026,0.49783287282080185,0.8077491153663067,0.4740048400159128,0.5456517301638488,886.8763921427571,baryonic_velocity_components,16.34094636008856,0.3566890135151236,27,ok,
