r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
0.25,20.9,3.4,17.918706161562465,17.33139636613276,1201.5091999999997,474.01114250103944,337.54794726679177,0.8970292609598424,89.48088786341155,2.086559140872275,0.463096775237384,0.2811172405949773,0.2580719628247202,321.0678988405864,82.85862285379885,82.81092201766656,1284.3201220176663,0.0689224202502797,0.6273898733028065
0.83,40.0,3.29,35.305246602638675,35.00630800298712,1476.4356626506026,628.5208439143267,262.50974521684077,0.8120256616999161,93.56115462340264,2.1186138314362424,0.49386927817879267,0.30257049667589364,0.276658086854887,91.53501023189965,25.323900810999866,25.323900810999845,1501.7595634616025,0.01715205169547656,0.6273898733028065
1.38,51.5,2.96,51.515858393694884,51.36339260601854,1911.7377536231888,585.2077499185928,152.77749234917877,0.5779385233556533,100.2180425744207,2.2102727607496564,0.5818618503196702,0.36647546529298175,0.2708149501316978,41.97091850656138,11.366352202335975,11.366352202335975,1923.1041058255248,0.00594556035770839,0.6273898733028065
1.85,67.9,3.45,61.947563865501024,61.93297183245771,2073.3475675675672,-375.1910102497549,25.94127252839987,0.11149268747267922,80.36605053435764,2.23301811386905,0.6036973893142881,0.38292116381261854,0.2017436477086917,4.843365921967936,0.9771183082857821,0.9771183082857821,2074.324685875853,0.00047127569133399846,0.6273898733028065
2.68,80.2,2.93,61.66759104071816,61.77614183485401,1423.9894402985074,-548.6612643383099,-132.24168585587591,-0.5158971858301272,101.14632013881429,2.242270013781493,0.6125792132302331,0.3896774586196628,0.25679632553816695,-19.47056041667441,-4.999968371170869,-4.999968371170869,1418.9894719273366,0.003511239781446431,0.6273898733028065
3.19,83.3,3.08,65.11645518096756,65.33506944972203,1338.141473354232,-160.16995660285534,-293.44652701897553,-0.8528368054459651,113.77371011982967,2.2679082132085715,0.6371918846802287,0.40860199202761555,0.2939136854623157,-30.417055637094297,-8.93998892321069,-8.93998892321069,1329.2014844310213,0.006680899666561111,0.6273898733028065
3.68,91.4,2.83,67.92930525426816,68.19718249312064,1263.819483695652,-162.3939480070522,-266.9140934173199,-0.8184010284336236,119.88837323993758,2.3338534122558503,0.7004992757656163,0.4586423275570481,0.3716509260528379,-26.66216520565191,-9.909018389254285,-9.909018389254285,1253.9104653063978,0.007840533016788125,0.6273898733028065
4.13,102.0,5.4,69.71035084216915,69.97198367918405,1185.491162227603,-220.816455896905,-200.90047070537847,-0.6998734345586227,119.22422285794681,2.373805166068544,0.7388529594258024,0.48991366976112405,0.43797540811619085,-20.20384172740288,-8.848785826074204,-8.848785826074204,1176.6423764015287,0.007464236012837252,0.6273898733028065
5.23,105.0,4.21,69.20495721054306,69.42425584765024,921.5539770554492,-242.528842241477,-197.3439389232844,-0.6919581170421695,122.45106908130298,2.420960194531727,0.7841217867504581,0.5277506599613361,0.3587965853289156,-16.200958162772277,-5.8128484678593155,-5.8128484678593155,915.7411285875899,0.006307659250052246,0.6273898733028065
6.05,109.0,2.1,65.80806557468276,65.99247305564477,719.8357851239671,-218.59315077860273,-181.26112592379286,-0.6540204686382334,121.9836150300383,2.4403294039433394,0.8027162277856058,0.5435833674722362,0.3046511909765437,-13.18674067241843,-4.017356250951104,-4.017356250951104,715.8184288730159,0.005580934337966322,0.6273898733028065
6.81,108.0,2.1,62.502766976719656,62.639955300111765,576.176798825257,-142.38729769238506,-150.33549413282194,-0.5708767667744659,118.24818241161746,2.4496261398698573,0.811641094275063,0.551242844470497,0.25432315584610177,-9.912649053172018,-2.5210161899975803,-2.5210161899975803,573.6557826352595,0.004375421216358974,0.6273898733028065
7.56,109.0,2.1,61.69035428764772,61.778006604292436,504.83096560846565,-81.97988300959456,-117.30290012988338,-0.46702562387427843,112.59204673454563,2.4561895360341524,0.8179419545927862,0.5566738574554337,0.20581198362817726,-6.955472337233213,-1.4315195587968819,-1.4315195587968819,503.39944604966877,0.0028356413458971064,0.6273898733028065
8.32,110.0,2.1,61.29509402150422,61.35031621760397,452.3871754807692,-66.18829694205029,-91.84898141198293,-0.37686844347334736,107.3244779573352,2.468599604422665,0.8298556202457584,0.5669959813488132,0.16744663154875866,-4.861443383938761,-0.8140323191055442,-0.8140323191055442,451.57314316166367,0.0017994151099054625,0.6273898733028065
9.09,111.0,2.33,60.54063686328619,60.56720647347044,403.5628712871287,-77.36587222678432,-63.37152187350593,-0.2668792776729228,98.64470748253059,2.4402436787025237,0.8026339315544226,0.5435129210104463,0.12222746660052494,-2.8961747281842163,-0.3539920998584207,-0.3539920998584207,403.20887918727027,0.0008771671653554797,0.6273898733028065
9.86,112.0,4.74,57.305580195933295,57.32175154337139,333.2437322515214,-91.32355718910043,-46.97554527158701,-0.20000570495749861,92.68127665919718,2.4059190504971877,0.7696822884773002,0.5155726470513821,0.1,-1.8799983848462165,-0.18799983848462165,-0.18799983848462165,333.05573241303676,0.0005641511610999605,0.6273898733028065
