r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
0.11,9.1,8.5,26.916653518614456,27.237756882680337,6744.503636363636,-11714.264069264083,-5332.048968678389,-0.9966419389429896,84.77045726651245,2.0544903841710855,0.43231076880424213,0.260118879927631,0.20582352098432097,-768.0526626834619,-158.08330333489312,-158.083303262364,6586.420333101272,0.023438834313886107,0.2597223703691519
0.14,17.6,7.4,29.610686372033783,29.917062021528785,6393.075714285714,-9956.933155080225,-5716.251769798838,-0.9978793900154583,85.8991909015818,2.061075944337875,0.4386329065643602,0.2643931584139987,0.21276812909837106,-612.2645158549418,-130.2703755517759,-130.2703755503771,6262.805338735337,0.020376792231488253,0.2597223703691519
0.17,19.3,7.4,31.970104954635673,32.32653553970793,6147.087647058823,-4989.047619047637,-6098.057552111758,-0.9986572964125754,87.17165901642063,2.06856784073487,0.44582512710547517,0.26927949708156357,0.2632518635983516,-512.0859606890443,-134.80758347394314,-134.807583468116,6012.280063590707,0.021930317445920534,0.2597223703691519
0.21,24.8,6.4,35.37247194971531,35.62593016329538,6043.842380952379,-1921.014005602242,-4198.133123675604,-0.9869997634064069,85.68045024765738,2.060097058550245,0.43769317620823517,0.2637565851738674,0.21279242094526898,-402.69801963329644,-85.69108650763461,-85.6910865076346,5958.151294444745,0.014178246404564531,0.2597223703691519
0.24,30.0,7.2,37.785213046952784,37.98720837334589,6012.616666666666,-1909.0289115646026,-2521.096900822823,-0.9069660359874695,83.07308548001896,2.0470638057039516,0.42518125347579355,0.2553222450685252,0.20314265398236123,-313.9352793127542,-63.773645818286745,-63.773645818286745,5948.843020848379,0.010606637567922012,0.2597223703691519
0.28,35.0,7.3,40.5273611449835,40.67995698129486,5910.210357142857,-2214.6419270833117,-1771.2373541195263,-0.78603931319389,81.30469500103545,2.040796200330665,0.4191643523174382,0.2512935406094345,0.193900067108898,-228.24530935018785,-44.25678080029261,-44.25678080029261,5865.953576342565,0.007488190457845659,0.2597223703691519
0.32,38.3,7.6,43.076865939134585,43.212758532637096,5835.445312500001,-1571.7520408163193,-1683.2001312303703,-0.7650359550581849,81.6934282167148,2.0441432938313056,0.4223775620780533,0.25344278518553026,0.18762270727788782,-195.307530867974,-36.64412769320893,-36.64412769320893,5798.801184806792,0.006279576918431815,0.2597223703691519
0.35,42.7,8.8,44.93518997327638,45.056250398807045,5800.187714285715,-1239.7498855311562,-1553.5434013143265,-0.7308650183431924,81.68662472578616,2.045804997397385,0.4239727975014897,0.25451168199414287,0.18247999993544411,-170.57684708172908,-31.126863044462183,-31.126863044462183,5769.060851241253,0.00536652683976828,0.2597223703691519
0.39,47.0,5.3,47.25513815306039,47.3495353725884,5748.66282051282,-1480.8278911564619,-1234.17585166054,-0.6287091694814668,79.89367868403649,2.040374312613052,0.4187593401085297,0.25102299597560884,0.17779092139308775,-128.79458556989678,-22.898508038912833,-22.898508038912833,5725.764312473907,0.003983275546647959,0.2597223703691519
0.42,49.8,5.6,48.84725762906421,48.91362284681028,5696.529761904762,-1260.745261984383,-882.184180166683,-0.4841828056948658,77.1010335327849,2.033424683277643,0.4120876959465373,0.24657796285634165,0.17379451486316108,-88.88332080447077,-15.44743361863971,-15.44743361863971,5681.082328286123,0.0027117270099976444,0.2597223703691519
0.46,52.2,6.2,50.97319544046644,51.02733483144108,5660.410652173913,-617.8041788143803,-631.8436053928183,-0.3613850448942975,74.08258216789024,2.0260815434070016,0.4050382816707216,0.24190493528564172,0.20626688397485812,-58.20073322310543,-12.004883886981958,-12.004883886981958,5648.405768286932,0.0021208503454338964,0.2597223703691519
0.49,53.4,6.3,52.57535788065037,52.63182402311362,5653.283469387756,188.20631665296656,-739.8363919413925,-0.41626563369055325,76.3625387625676,2.036011067459445,0.41457062476106715,0.24822968479106725,0.18688850545043442,-64.87163385350946,-12.12376269701019,-12.12376269701019,5641.159706690745,0.002144552411468186,0.2597223703691519
