r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
0.12,6.48,2.6,1.9639324593735366,2.296867431960321,43.96333333333334,-234.17543859649123,-12.702925145030413,-0.10827971518856243,78.13054519305774,2.18803234509576,0.5605110512919298,0.35062075989477004,0.2220949112709002,-70.49960984192832,-15.657604592476153,-11.821410791825105,32.14192254150824,0.26889250411258275,0.404329263111511
0.19,8.6,2.65,2.6963531709663067,2.2887769659798662,27.57105263157895,-19.77106227106223,21.897953975848687,0.18522967358721076,86.68701479317619,2.270658269798824,0.6398319390068709,0.4106495411709357,0.3172486082172873,84.51056554941967,26.810859300209216,10.69379169778978,38.26484432936873,0.38786301839135595,0.404329263111511
0.26,10.2,3.03,3.947383479049439,3.2727358585745967,41.195384615384626,190.4318751424014,58.355363941769326,0.46162850005794737,105.99640846569034,2.3399540358821107,0.7063558744468263,0.463370825341104,0.4252236874563496,188.19601173671592,80.0254020752648,18.734755117970966,59.93013973335559,0.45477801186559613,0.404329263111511
0.33,11.7,3.55,5.162489120145728,4.2304136913545465,54.23151515151515,173.00439560439548,153.86269408531,0.8659577631694584,125.69907737291356,2.3782420758145624,0.7431123927819798,0.4934310310752312,0.5031237755192509,329.8487632554936,165.95475511945952,26.52998156249397,80.76149671400911,0.48919860497131573,0.404329263111511
0.4,12.7,3.75,6.322588135159301,5.115310352266029,65.416,182.28704982960318,217.36732520801934,0.9526909774699939,133.31098576371042,2.4285152344127576,0.7913746250362473,0.5339061193063306,0.5862323406309274,317.5104333367943,186.13488450976897,34.521801817142915,99.93780181714291,0.5277271892482825,0.404329263111511
0.47,14.1,3.43,7.572165749988427,6.122360655825497,79.75170212765958,243.3612121212121,240.88276083265407,0.9681161223150166,134.60893557724563,2.436867820632448,0.7993931078071501,0.5407413794807141,0.6202819900788756,277.27038455318075,171.9858259205821,42.24339179850595,121.99509392616554,0.5296863974839,0.404329263111511
0.55,16.0,3.33,9.24841390381513,7.487062174177533,101.92018181818182,297.7520933424845,259.6222346101499,0.976762756407902,135.35877379967036,2.4417899760568487,0.8041183770145748,0.5447841322865195,0.7002389467449853,240.38801636465402,168.32905138930164,53.594654065965486,155.51483588414732,0.5258492783727168,0.404329263111511
0.62,18.1,2.66,10.8097680131286,8.782767217682592,124.41451612903226,308.0090532655752,276.4083652663451,0.9825146115058531,135.82423771051762,2.4447057066507947,0.8069174783847628,0.5471840923947218,0.7241171618177479,215.24080346327074,155.8595597111953,64.05497499622297,188.46949112525522,0.5148512969711833,0.404329263111511
0.69,21.2,3.78,12.134376792618674,10.003929228058343,145.0414492753623,266.70176449187466,269.9536040451102,0.9804921146756564,134.74806757107729,2.4339447223910984,0.7965869334954545,0.5383457060691913,0.615250857259273,191.4774169872809,117.80664494721584,68.3543480365836,213.3957973119459,0.471274579600343,0.404329263111511
0.76,21.6,3.33,13.080392725992947,11.087474915416944,161.75276315789472,266.217703110579,231.99233135670445,0.9629731083872238,131.0105004095422,2.401085524588699,0.7650421036051509,0.511680889308809,0.5046636740713428,165.9994589615033,83.77389685336736,63.37443929764369,225.1272024555384,0.39179818666753063,0.404329263111511
0.83,23.3,3.09,13.905330302187071,12.301174740649772,182.31192771084338,211.08740601503754,183.97815806622685,0.9177231290173555,124.40029306584728,2.3492713603574953,0.7153005059431954,0.47062497348155147,0.40318306120369957,137.54822434104264,55.457114152954794,50.64977206376146,232.96169977460482,0.2778192995760352,0.404329263111511
0.9,24.5,3.26,14.183059875884918,13.121528112228392,191.30499999999998,107.94572990045593,137.15452822375025,0.8254567475373599,114.89996417411518,2.2839588151033947,0.652600462499259,0.4206006380936976,0.3100730073267284,105.38327857702699,32.67651011032915,32.205208269929706,223.51020826992968,0.1683448329539022,0.404329263111511
0.97,24.4,3.29,14.289475340469595,13.838410313327177,197.4243298969072,67.93818681318717,81.89591541891524,0.6048932252085779,99.09645717715304,2.192258981255475,0.5645686220052559,0.3536166449952957,0.21167008659673026,61.796675864568904,13.08050773164337,13.07990258339039,210.5042324802976,0.06625273890790483,0.404329263111511
1.04,25.3,2.78,14.550768820287844,14.451608906969495,200.81634615384618,32.58361527949162,28.29313749061101,0.23749706598683484,81.5358483541022,2.1369745915482476,0.5114956078863178,0.3150678182063127,0.148512462741646,18.619735343121892,2.7652627514046992,2.7652627514046992,203.58160890525087,0.013770107883292127,0.404329263111511
