dataset,observation_date,time_value,time_reference,radius_arcsec,ra_offset_arcsec,dec_offset_arcsec,x_center_arcsec,y_center_arcsec,source_id,observation_date_dt,mass_proxy_raw,echo_volume_proxy_raw,echo_volume_proxy_safe,mass_volume_proxy_raw,mass_volume_proxy_log,sigma_mass_volume,dsigma_mass_volume_dt,Dw_trial_mass_volume
Crause,2002-05-01,85.0,time since 2002-02-05 peak per paper,19.5,-1.0,1.0,,,SRC-02,2002-05-01,72.57586078622346,7414.875,7414.875,0.009787873805859635,0.009740282859840368,1.0,-0.007546293073907109,2.2
Crause,2002-06-02,117.0,time since 2002-02-05 peak per paper,21.4,0.0,0.0,,,SRC-02,2002-06-02,73.18136078622348,9800.343999999997,9800.343999999997,0.007467223679722212,0.007439481981694197,0.7585186216349725,-0.0056952985636290745,2.393185102692022
Crause,2002-09-16,223.0,time since 2002-02-05 peak per paper,31.9,-2.0,0.0,,,SRC-02,2002-09-16,73.18136078622348,32461.758999999995,32461.758999999995,0.0022543867935876025,0.002251849476360804,0.21404879821918774,-0.0038893147026640936,2.8287609614246496
Crause,2002-10-31,268.0,time since 2002-02-05 peak per paper,34.1,-2.0,2.0,,,SRC-02,2002-10-31,73.18136078622348,39651.821,39651.821,0.0018455989899234004,0.0018438979647262767,0.1712321015326944,-0.0008396962544923574,2.8630143187738444
Crause,2003-01-26,355.0,time since 2002-02-05 peak per paper,39.4,-3.0,2.0,,,SRC-02,2003-01-26,73.18136078622348,61162.984,61162.984,0.001196497554570318,0.001195782321830572,0.10320889262619655,-0.0006189217887074049,2.917432885899043
Crause,2003-04-19,438.0,time since 2002-02-05 peak per paper,44.3,-4.0,3.0,,,SRC-02,2003-04-19,73.18136078622348,86938.30699999999,86938.30699999999,0.0008417619725010689,0.0008414078895803209,0.06601539745243555,-0.00042730293810244366,2.9471876820380514
Crause,2003-05-21,470.0,time since 2002-02-05 peak per paper,46.5,-5.0,3.0,,,SRC-02,2003-05-21,73.18136078622348,100544.625,100544.625,0.0007278495572112729,0.0007275848031819195,0.05406905474441553,-0.000226466991630022,2.9567447562044675
Crause,2003-09-12,584.0,time since 2002-02-05 peak per paper,51.8,-6.0,3.0,,,SRC-02,2003-09-12,73.18136078622348,138991.83199999997,138991.83199999997,0.0005265155493901504,0.0005263769887123766,0.03295121667445234,-0.0001646108750260133,2.9736390266604382
Crause,2003-11-03,636.0,time since 2002-02-05 peak per paper,53.9,-7.0,3.0,,,SRC-02,2003-11-03,73.18136078622348,156590.819,156590.819,0.0004673413246930108,0.00046723215474788805,0.02674364949009732,-8.806131556648093e-05,2.978605080407922
Crause,2004-03-24,778.0,time since 2002-02-05 peak per paper,58.6,-7.0,5.0,,,SRC-02,2004-03-24,73.18136078622348,201230.056,201230.056,0.0003636701307990665,0.0003636040188451917,0.01586732145455504,-8.527934957803408e-05,2.987306142836356
Crause,2004-05-07,822.0,time since 2002-02-05 peak per paper,61.4,-8.0,7.0,,,SRC-02,2004-05-07,73.18136078622348,231475.544,231475.544,0.0003161515878594219,0.00031610162247698153,0.010881690468582984,-6.056229562807267e-05,2.9912946476251334
Crause,2004-12-11,1040.0,time since 2002-02-05 peak per paper,70.1,-10.0,9.0,,,SRC-02,2004-12-11,73.18136078622348,344472.1009999999,344472.1009999999,0.00021244495729488263,0.0002124223940605163,0.0,-4.991601132377516e-05,3.0
