galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,1.74,96.4,12.1,12591.864942528737,951.3988475891933,1221768.47486499,1234360.3398075188,1465.5330058600123,-1369.1330058600122
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,3.5,157.0,10.5,14266.326914285717,-403.3365212023221,-257498.70304906656,-243232.37613478085,1.8708286933869708e-06,156.9999981291713
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,5.24,192.0,8.4,11180.18711832061,-1527.4760383408384,-651356.36488255,-640176.1777642294,2.2891046284519193e-06,191.99999771089537
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,6.98,201.0,6.9,8950.710300859599,-1072.792720254525,-343428.18713633245,-334477.47683547286,2.6419689627245813e-06,200.99999735803104
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,8.72,201.0,7.3,7446.868451834862,-1036.9613153148716,-265718.38989558525,-258271.5214437504,2.9529646120466803e-06,200.99999704703538
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,10.47,194.0,6.4,5331.7153104106965,-1037.8162529372114,-221487.5546149535,-216155.8393045428,3.2357379374726872e-06,193.99999676426205
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,12.19,190.0,6.0,3845.6460541427396,-703.2663189528839,-128911.49799312698,-125065.85193898424,3.491418050019218e-06,189.99999650858194
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,13.94,186.0,6.4,2891.38118364419,-461.65353504470045,-73999.52531007549,-71108.1441264313,3.733630940518894e-06,185.99999626636907
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,15.68,184.0,6.4,2234.475216836735,-305.47358893664597,-43531.45177787676,-41296.97656104003,3.959797974644666e-06,183.99999604020203
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,17.42,182.0,7.3,1828.3330941446613,-212.70643694046268,-27283.998955517196,-25455.665861372534,4.173727350941842e-06,181.99999582627265
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,19.16,181.0,6.6,1494.2568162839248,-172.38400659439344,-20103.746895312757,-18609.490079028834,4.377213725647857e-06,180.9999956227863
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,20.9,183.0,6.5,1228.4367511961727,-122.76498085138738,-13125.13431616562,-11896.697564969447,4.571651780264984e-06,182.99999542834823
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,22.65,185.0,6.5,1065.807033112583,-91.35688403550532,-9012.569239062437,-7946.762205949854,4.759201613716317e-06,184.9999952407984
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,24.39,186.0,9.1,909.601225912259,-81.5357790538003,-7469.851479343686,-6560.250253431427,4.938623289946298e-06,185.99999506137672
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,26.13,186.0,11.4,782.0625220053579,-66.00052239847841,-5643.954519620276,-4861.891997614918,5.111751167652823e-06,185.99999488824884
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,27.87,184.0,13.6,679.9194079655541,-52.863703010580515,-4238.343532377455,-3558.4241244119007,5.279204485526205e-06,183.9999947207955
NGC4157,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4157_normalized.csv,structural,2234.475216836735,29.61,185.0,13.6,598.0968355285377,-47.024466917825585,-3548.6324185356366,-2950.535583007099,5.441507144165116e-06,184.99999455849286
