r_kpc,v_obs,v_model
0.47,22.2,198.35420315487707
0.95,43.4,154.40607449887935
1.42,60.2,147.8890953663903
1.9,69.6,153.0288749083569
2.37,72.5,1.5394804318340654e-06
2.84,74.3,1.6852299546352715e-06
3.3,75.8,1.8165902124584949e-06
3.78,77.2,1.944222209522358e-06
4.25,79.3,2.0615528128088303e-06
4.73,81.3,2.1748563170931545e-06
5.2,81.6,2.280350850198276e-06
5.67,82.1,2.3811761799581313e-06
6.15,82.9,2.479919353527449e-06
6.62,83.2,2.5729360660537215e-06
7.1,83.5,2.6645825188948456e-06
7.57,83.8,2.751363298439521e-06
8.04,84.3,2.835489375751565e-06
