r_kpc,v_obs,v_model
2.67,221.0,329.4658210541282
3.21,237.0,351.9999323873809
3.74,249.0,366.05000298012885
4.27,250.0,362.557246121407
4.81,253.0,364.530253941879
5.35,257.0,368.69440693935474
5.88,257.0,361.39066450008124
6.41,257.0,358.6767509435966
7.48,257.0,344.2697849961184
8.55,255.0,324.9237237114406
9.62,248.0,314.39371739585073
10.66,247.0,304.2647822047764
11.74,246.0,294.18965628947404
12.83,244.0,287.04001677707083
13.91,242.0,279.5111186928611
15.0,238.0,271.6703308383776
16.08,236.0,264.90832612878245
17.07,233.0,259.9800788381667
18.15,234.0,256.0064275250259
19.24,236.0,252.9498680986174
20.32,237.0,249.03954221107705
21.41,238.0,242.9791210452245
22.49,240.0,237.14667269816061
23.48,238.0,232.6435916689217
24.57,237.0,227.15796471771765
25.65,236.0,222.29040432871668
26.74,238.0,217.73919632294488
27.82,239.0,213.22407676887386
28.91,239.0,208.66813157756332
29.89,241.0,204.67918348786188
30.98,236.0,200.49352933862122
32.06,236.0,196.81180955448974
33.15,239.0,193.54450637270673
34.23,237.0,190.4788898686028
35.32,241.0,187.47139499214424
36.31,238.0,183.70727260969056
