galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta,beta_mode
F583-1,0.26,14.6,13.0,1.1827300280297048,99.43692307692307,9097.92329253619,9197.360215613113,5.084643546995206,48.63599547721224,48.901059866422216,2000.0,structural
F583-1,0.44,10.0,7.0,0.3292932551370788,153.3829545454545,1496.7875233503582,1650.1704778958128,8.215138465053403,25.662940405849007,26.945779080853416,2000.0,structural
F583-1,0.77,10.7,7.13,0.0,227.35337662337665,0.0,227.35337662337665,13.23110350651071,0.0,13.23110350651071,2000.0,structural
F583-1,0.89,17.4,9.6,0.29313186008430037,241.42797752808988,658.7232810883154,900.1512586164052,14.658475364102502,24.212883350989006,28.304321581140233,2000.0,structural
F583-1,1.22,23.5,11.2,0.46109075948398737,249.87622950819673,755.8864909573564,1005.7627204655531,17.45992554394205,30.367441758698984,35.02899540335085,2000.0,structural
F583-1,1.55,31.0,5.2,0.6941819944605955,223.4434193548387,895.7187025298006,1119.1621218846392,18.61013970930901,37.260756687447866,41.64974536442199,2000.0,structural
F583-1,1.8,32.3,2.41,0.7388177416635439,190.6527222222222,820.9086018483821,1011.5613240706043,18.524980431838518,38.440024496962636,42.6709547974625,2000.0,structural
F583-1,2.21,40.9,5.9,0.9143926591148007,170.02013574660631,827.5046688821726,997.524804628779,19.384130106868348,42.764299576043584,46.952420792006045,2000.0,structural
F583-1,2.31,43.8,4.26,0.959206780919888,168.55744588744588,830.4820614025003,999.0395072899462,19.732402286594503,43.79969819347818,48.039371996725514,2000.0,structural
F583-1,2.54,44.8,4.5,0.9425267933266048,166.56377952755906,742.1470813595313,908.7108608870903,20.568714106623194,43.41720380970209,48.042955640272694,2000.0,structural
F583-1,3.1,51.7,12.7,0.9797365276544527,166.99716129032257,632.0880823577114,799.085243648034,22.752828395608315,44.26593560864726,49.77111868653251,2000.0,structural
F583-1,3.43,55.7,4.5,0.9902950311118892,171.01099125364433,577.4315050215097,748.442496275154,24.21915977072698,44.50382075983789,50.66712703739751,2000.0,structural
F583-1,3.86,59.4,9.85,1.014259833188178,163.5825129533679,525.5232296311804,689.1057425845482,25.128241084485005,45.03909042572192,51.574685325034764,2000.0,structural
F583-1,4.09,62.0,4.5,1.0430539360375641,157.41606356968214,510.05082446824656,667.4668880379287,25.37383888969109,45.67392989523814,52.24882364297906,2000.0,structural
F583-1,4.37,63.0,3.2,1.0318847826778619,156.08329519450797,472.2584817747652,628.3417769692732,26.11673792800318,45.42873061572075,52.400892791590145,2000.0,structural
F583-1,4.76,66.6,6.9,1.0497572317444603,153.68172268907563,441.07446711952116,594.7561898085968,27.046718839814933,45.82045900565511,53.20751322406377,2000.0,structural
F583-1,5.4,71.3,2.95,1.0639422703877894,150.26507407407408,394.05269273621826,544.3177668102924,28.48563497624724,46.128998913650605,54.2154585037845,2000.0,structural
F583-1,5.86,72.3,15.5,1.0485503336228519,147.5257337883959,357.8670080624068,505.39274185080274,29.402394460315644,45.79411170932027,54.42059782146558,2000.0,structural
F583-1,6.08,73.4,6.0,1.0513689647499427,145.59810855263157,345.8450541940601,491.44316274669166,29.75292422603197,45.85562047884518,54.66236758044684,2000.0,structural
F583-1,6.43,72.4,5.81,1.020732894454724,143.7341368584759,317.49079143226254,461.22492829073843,30.400830580758807,45.182582804765026,54.45802318216709,2000.0,structural
F583-1,6.97,77.1,12.1,1.0415969259168594,143.3251793400287,298.8800361310931,442.20521547112185,31.606589502823617,45.64201848991474,55.517297771358784,2000.0,structural
F583-1,7.96,80.3,13.5,1.0176965817827717,143.82734924623117,255.70265873938988,399.53000798562107,33.83586410895989,45.11533180156767,56.39378390891627,2000.0,structural
F583-1,10.29,84.7,6.0,0.9489688024840289,144.8322351797862,184.44485956929623,329.27709474908244,38.60471085243354,43.56532571860399,58.20877343638206,2000.0,structural
F583-1,15.49,86.9,5.6,0.872240487964946,120.32046481601034,112.61981768430549,232.94028250031585,43.17133308110835,41.766984281007076,60.06866883767188,2000.0,structural
F583-1,16.26,85.8,8.6,0.8625549572058687,114.16178351783516,106.09532068952873,220.2571042073639,43.08445891501946,41.53444250753508,59.844636471548036,2000.0,structural
