galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
D631-7,0.45,8.41,1.58,0.0,378.578,0.0,378.578,13.052206709978202,0.0,13.052206709978202,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,0.9,17.8,2.22,0.0,470.4338888888889,0.0,470.4338888888889,20.57645499108143,0.0,20.57645499108143,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,1.35,26.0,2.35,0.0,525.8278518518518,0.0,525.8278518518518,26.643340631384795,0.0,26.643340631384795,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,1.8,30.9,2.22,0.15504875737915444,448.3973888888888,93.35725765102843,541.7546465399173,28.40977472631559,12.963142511438004,31.227525738871005,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,2.25,34.7,1.82,0.3465200410486274,352.3628444444444,166.9160658891987,519.2789103336431,28.156995578363823,19.37940010038229,34.18153812002463,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,2.69,38.8,1.81,0.5016031677525783,288.7396654275093,202.09719768301628,490.83686311052554,27.869512015821158,23.3161202125764,36.33663663256843,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,3.14,42.5,1.57,0.635271929061522,232.83519108280254,219.27156608204766,452.1067571648502,27.03890715247197,26.239525862668128,37.67778148322469,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,3.59,45.6,1.59,0.7338087555681616,192.5110027855153,221.5341798704832,414.0451826559985,26.289056658617476,28.201200430744695,38.554146414296795,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,4.04,48.8,1.83,0.8253352758833453,161.28249999999997,221.41209627175522,382.6945962717552,25.52609057415569,29.908274255427894,39.3203022488115,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,4.49,51.8,1.91,0.9119905466813908,134.95993318485523,220.1386489016056,355.09858208646085,24.616459940454476,31.43918786432323,39.929846400508595,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,4.94,54.8,2.19,0.9918387479359142,114.52698380566802,217.6037738143446,332.1307576200126,23.785779364990336,32.78662292220506,40.50587540891892,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,5.39,56.6,2.73,1.0525188936873056,97.40022263450837,211.63789652591808,309.03811916042645,22.912599154177162,33.77466894396892,40.81317755669973,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,5.84,58.4,3.27,1.111201851510913,83.57277397260273,206.2207729295873,289.79354690219003,22.092193191261025,34.703448155893525,41.138720372767914,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,6.29,58.5,3.95,1.1441084767084388,72.15379968203496,197.13732485448085,269.2911245365158,21.303694515271285,35.213545310500685,41.1563017451117,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,6.74,57.7,4.07,1.1628061835456203,62.735014836795244,186.9819725802402,249.71698741703545,20.562927807099843,35.50011965037328,41.02551029775034,2365.8964939841444,1083.8078718742688,False,True,structural
D631-7,7.19,57.3,3.94,1.187311882094443,54.80212795549373,178.9732912633951,233.77541921888883,19.850120906432785,35.87224503963769,40.99811293442432,2365.8964939841444,1083.8078718742688,False,True,structural
