galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
NGC0289,1.5,164.0,28.2,0.0,21382.534733333337,0.0,21382.534733333337,179.0916025390359,0.0,179.0916025390359,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,2.52,194.0,32.0,0.0,20368.860992063495,0.0,20368.860992063495,226.56021208499962,0.0,226.56021208499962,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,3.46,175.0,25.2,0.0,13479.232658959536,0.0,13479.232658959536,215.95866502643509,0.0,215.95866502643509,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,4.32,185.0,31.5,0.0,11285.745925925927,0.0,11285.745925925927,220.8040361949935,0.0,220.8040361949935,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,5.43,175.0,27.9,0.0,9055.093112338858,0.0,9055.093112338858,221.74119058037007,0.0,221.74119058037007,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,6.38,167.0,27.2,0.0,7019.487852664578,0.0,7019.487852664578,211.6230906588409,0.0,211.6230906588409,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,7.57,176.0,7.18,0.0,5189.1784015852045,0.0,5189.1784015852045,198.1970749027341,0.0,198.1970749027341,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,10.6,185.0,4.29,0.1332195699554295,2799.3662830188678,23.40863283071294,2822.774915849581,172.25934691621237,15.752190577997625,172.97807406722262,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,13.57,183.0,4.22,0.2828338673096501,1776.0991893883565,38.82088678720133,1814.9200761755578,155.24711269456833,22.952111748210054,156.93458966621196,27106.892829071847,1862.5755066509603,False,True,structural
NGC0289,16.64,172.0,4.33,0.32637593758171657,1204.8368389423074,36.53244154446802,1241.3692804867753,141.59267283302478,24.655624658482047,143.7232925704805,27106.892829071847,1862.5755066509603,False,True,structural
