galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_clipped,beta_hit_lower,beta_hit_upper,beta_mode
UGC03205,0.28,107.0,30.2,0.2545673913214419,30553.241785714275,1739.7737458755719,32293.01553158985,92.49274403973534,22.071172348680534,95.08966478458717,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,0.55,121.0,15.6,0.0,38846.499636363624,0.0,38846.499636363624,146.16967811416976,0.0,146.16967811416976,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,0.83,134.0,8.69,0.0,33318.76927710843,0.0,33318.76927710843,166.29665811434697,0.0,166.29665811434697,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,1.39,157.0,12.5,0.0,23686.52151079137,0.0,23686.52151079137,181.4504475056482,0.0,181.4504475056482,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,1.65,168.0,11.7,0.0,21257.399333333335,0.0,21257.399333333335,187.28243083642417,0.0,187.28243083642417,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,3.04,207.0,8.04,0.11703548873027744,12447.56355263158,73.67022927354174,12521.23378190512,194.52658738588923,14.965209553880857,195.10138568701035,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,3.32,213.0,6.53,0.16521483601763529,11413.720391566265,95.22675645613364,11508.947148022398,194.6626612887022,17.780687034936633,195.47302763152354,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,3.59,218.0,11.2,0.1914307367269968,10713.159442896937,102.03877923178482,10815.198222128722,196.11283078880894,19.139467532878427,197.04456759180678,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,3.87,222.0,6.05,0.19772039541267625,10226.981782945737,97.76615543960095,10324.747938385339,198.9432569855033,19.451350121553407,199.89190709368717,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,4.15,226.0,5.41,0.18528265405119046,10034.994554216868,85.43477861029595,10120.429332827163,204.07162321106773,18.829613146125126,204.93848279723537,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,4.43,229.0,5.96,0.16310610654237123,9911.952911963881,70.45543923153569,9982.408351195416,209.5470147723417,17.666850194522596,210.2904396205298,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,4.7,232.0,7.41,0.15055005436965702,9731.625212765957,61.29585266822167,9792.921065434179,213.8659358102641,16.973229142995798,214.53840916614593,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,4.97,234.0,6.1,0.14011340803721548,9476.544647887325,53.947502025968845,9530.492149913294,217.02171988075295,16.37434227897613,217.63856731992394,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,5.25,235.0,3.89,0.1254883311390232,9200.997885714287,45.73956945464678,9246.737455168934,219.7845283453774,15.496216945980576,220.33014237647308,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,5.52,236.0,9.03,0.1043029405954121,9038.5140942029,36.15809211914858,9074.672186322048,223.36651002332468,14.127726940229985,223.8128469692875,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,5.8,237.0,10.0,0.08036162755331419,8906.517689655171,26.513603806411147,8933.031293461583,227.28352909966878,12.40076215710892,227.6215752121867,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,6.08,237.0,7.36,0.052251270859431015,8755.724046052632,16.445281451848935,8772.16932750448,230.72668289558536,9.99936554123518,230.94326037195205,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,6.36,237.0,10.2,0.02624249408734671,8599.854119496855,7.895797913374235,8607.749917410229,233.86977615758732,7.086414800804433,233.97711314299323,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,6.63,236.0,10.4,0.002237093365403558,8381.810392156864,0.6456819017102451,8382.456074058573,235.73587529266734,2.069026584734697,235.7449549216448,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,6.91,236.0,5.83,0.0,8128.0290014471775,0.0,8128.0290014471775,236.99088674461726,0.0,236.99088674461726,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,7.19,235.0,5.43,0.0,7851.205187760777,0.0,7851.205187760777,237.59243527519976,0.0,237.59243527519976,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,7.27,234.0,8.36,0.0,7765.467592847318,0.0,7765.467592847318,237.6025029329447,0.0,237.6025029329447,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,7.46,234.0,7.88,0.0,7563.210321715817,0.0,7563.210321715817,237.53220623738585,0.0,237.53220623738585,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,8.02,231.0,8.17,0.0,7005.3257980049875,0.0,7005.3257980049875,237.02892840326473,0.0,237.02892840326473,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,8.29,229.0,5.82,0.0,6747.920072376358,0.0,6747.920072376358,236.5169283582044,0.0,236.5169283582044,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,8.56,228.0,7.21,0.0,6499.599369158878,0.0,6499.599369158878,235.874056648882,0.0,235.874056648882,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,8.84,226.0,18.2,0.0,6236.527929864252,0.0,6236.527929864252,234.7997165671202,0.0,234.7997165671202,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,9.12,224.0,9.11,0.0,5987.982598684211,0.0,5987.982598684211,233.68868457843652,0.0,233.68868457843652,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,9.69,221.0,5.56,0.0,5494.757698658411,0.0,5494.757698658411,230.74705220218956,0.0,230.74705220218956,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,12.11,216.0,3.21,0.02057807755390533,3773.405763831545,3.251686653890856,3776.6574504854357,213.76609600214906,6.275183294424018,213.85818133842488,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,14.58,220.0,1.89,0.19679636190097383,2668.9068175582993,25.82899888671033,2694.7358164450097,197.26292454488248,19.405844577555406,198.21515634221376,44288.90680677363,1913.5862072375694,False,True,structural
UGC03205,14.68,220.0,7.66,0.20214679371255323,2633.316049046321,26.350498384580387,2659.6665474309016,196.61403713875566,19.667875235663868,197.59530590650587,44288.90680677363,1913.5862072375694,False,True,structural
