galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
UGC12506,0.82,107.0,25.6,1.8498561060021175,1384.42,4118.082461916759,5502.502461916759,33.69309127996421,58.11047770214716,67.17180970296798,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,2.46,159.0,26.5,1.0920717606697754,2794.9538617886183,810.3768270005484,3605.3306887891667,82.91915641153136,44.64893049582878,94.17597089715268,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,4.1,194.0,13.9,0.9345416184036648,3067.0554390243906,416.088520203531,3483.1439592279216,112.1379833062821,41.30330413943268,119.50267876844634,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,5.74,198.0,14.6,0.7488341819220863,2894.81149825784,238.14677889589296,3132.958277153733,128.90390994845734,36.97245611076475,134.1013814651528,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,7.38,211.0,13.2,0.7048375456190272,2702.4022222222225,174.34263764843018,2876.744859870653,141.22226594981402,35.86988522208309,145.70647571692007,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,9.02,222.0,13.6,0.6109442621442596,2750.221119733925,123.64199291854001,2873.863112652465,157.50236347433014,33.39537057924692,161.0038672707126,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,10.65,230.0,11.6,0.5514120109558314,2688.705990610329,94.51430774577557,2783.2202983561046,169.21796240352265,31.726603623654864,172.16647808877462,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,12.29,239.0,11.6,0.5505736222106695,2518.3876729048006,81.77761897697734,2600.165291881778,175.92891888487236,31.702475253945888,178.76250008664303,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,13.93,237.0,11.6,0.5179368181838759,2272.669526202441,67.87293222376208,2340.542458426203,177.92775640691926,30.748495018081872,180.56510306777722,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,15.57,240.0,11.6,0.5138086215711976,2095.4581438664095,60.239827359398085,2155.6979712258076,180.6274710557616,30.62570998337554,183.20539678728306,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,17.21,245.0,11.6,0.5312907044596554,1934.449099360837,56.35368122107476,1990.8027805819117,182.46059574604047,31.142364293911545,185.09920543809665,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,18.85,249.0,11.6,0.5666260994750965,1747.8280159151193,54.872679015873274,1802.7006949309925,181.5118676560847,32.16131215372301,184.33911169214528,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,20.49,248.0,11.6,0.5873459717000603,1555.2335187896535,52.32665580562744,1607.560174595281,178.51256202295679,32.744055604907985,181.49079309281038,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,22.13,250.0,11.6,0.6288943523458209,1390.4784139177589,51.87608874264191,1442.3545026604008,175.417465778069,33.88241201382608,178.6597468482329,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,23.77,255.0,11.6,0.696006797713984,1239.0662263357171,53.450927214737796,1292.5171535504549,171.61761040173002,35.64447418456776,175.28015500875821,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,25.41,244.0,14.9,0.6648528049167721,1103.3007870916965,47.763020564647434,1151.063807656344,167.436175899953,34.83759969555439,171.02202008088813,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,27.05,244.0,11.6,0.695922371783308,997.0147726432531,46.96393435207513,1043.9787069953281,164.22317010702233,35.64231227380783,168.0464936385869,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,28.68,249.0,11.6,0.7491620167525079,915.8862099023711,47.68343648306099,963.5696463854321,162.0728740412781,36.9805483779539,166.2383152535365,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,30.32,251.0,11.6,0.7793224891598198,847.3326187335092,46.92010289251923,894.2527216260285,160.28451266419972,37.71760225281007,164.66251097229502,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,31.96,249.0,11.6,0.7863770132929486,784.0364987484354,44.91537016545205,828.9518689138874,158.29657766357425,37.887929878628206,162.76763108950087,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
