galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
UGC07323,0.58,23.9,3.87,0.15582537733274865,834.9767241379312,483.51923104423406,1318.4959551821653,22.00651040033381,16.74637733976085,27.653709588510107,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,1.17,34.7,3.87,0.0,1043.4544444444446,0.0,1043.4544444444446,34.94054521612392,0.0,34.94054521612392,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,1.75,42.8,3.87,0.0,1060.7191428571427,0.0,1060.7191428571427,43.08431849292733,0.0,43.08431849292733,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,2.33,51.3,3.87,0.09613696350115288,1022.3881974248926,74.25710915968875,1096.6453065845812,48.80742259124118,13.153671135545196,50.5488235703075,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,2.91,57.7,3.87,0.15066527119066772,975.6000687285223,93.18021903334984,1068.7802877618722,53.28223155987369,16.466767666638408,55.76872454509829,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,3.5,67.3,3.87,0.2845986048876641,943.3001714285714,146.34176235192075,1089.641933780492,57.45912112101959,22.63175132930995,61.75554038490573,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,4.07,75.4,3.87,0.35498484262230945,932.0536855036854,156.97083148614766,1089.024516989833,61.59105860431366,25.27590323111364,66.57574471343615,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,4.65,79.5,3.87,0.33189056441119275,934.0492258064517,128.45337253242812,1062.5025983388798,65.90393690819995,24.43988916251035,70.28966554391756,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,5.23,82.8,3.87,0.3578534462038759,871.4625812619502,123.14224683118488,994.604828093135,67.5111050124348,25.377823999056677,72.12338906989255,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
UGC07323,5.82,85.6,3.87,0.41325729218916823,778.34970790378,127.79124445534774,906.1409523591277,67.30523976630646,27.271689400000945,72.62052287563154,,1439.3241057468822,1799.7142622462788,True,2.7803291514259487,1.2503884671009424,formula
