galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
KK98-251,0.25,4.25,2.0,0.35237412352067166,47.1652,1709.904086950516,1757.069286950516,3.433846240005513,20.675493264675186,20.958705154126985,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,0.41,6.84,2.0,0.4458551361593307,64.55439024390245,1319.2213391531352,1383.7757293970376,5.14463798532025,23.256843058609338,23.819069021537878,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,0.57,9.56,2.0,0.5148797373108921,80.8421052631579,1095.818670264063,1176.660775527221,6.788225099390856,24.992331664943066,25.897811530137364,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,0.74,12.3,2.0,0.47266301588700105,110.70702702702704,774.8678685333307,885.5748955603577,9.051143574156804,23.94581848078417,25.59932465348773,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,0.9,15.1,2.0,0.4912804599566242,132.9842222222222,662.208470933026,795.1926931552482,10.940100547984008,24.41285775651272,26.75207326245432,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,1.07,17.5,2.0,0.4607397526357252,158.05392523364483,522.371720363421,680.4256455970658,13.004526135157713,23.64186415638286,26.982502493076147,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,1.24,19.7,2.0,0.43190709936108174,181.04459677419354,422.5483478130663,603.5929445872598,14.983167221919402,22.890171499755134,27.357910214199514,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,1.4,21.8,2.0,0.435189504253228,195.34178571428572,377.1013849092118,572.4431706234975,16.537185371156724,22.97698715830464,28.30937016030022,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,1.57,24.4,2.0,0.4774878261545856,203.70452229299363,368.9524524133123,572.656974706306,17.883402920026153,24.067724244076345,29.984520177733383,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,1.72,27.3,2.0,0.5372217429467915,210.1128488372093,378.9072237150396,589.0200725522488,19.01036822368257,25.528815577497287,31.829460014110637,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,1.89,30.3,2.0,0.5931278591390994,212.85211640211642,380.7099868730793,593.5621032751957,20.057180759019946,26.824277719821644,33.49376621388105,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,2.06,32.6,2.0,0.6314300772368606,210.26936893203882,371.8482954603142,582.117664392353,20.81237372334064,27.67684029379523,34.62892416244327,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,2.46,33.3,2.0,0.6040323378964605,193.53569105691057,297.87416175718135,491.4098528140919,21.81966544198146,27.069732874978026,34.768782519994375,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,2.79,34.6,2.0,0.625014768369529,177.04964157706092,271.76518913852976,448.8148307155907,22.225402133594795,27.53588345589257,35.38634450881439,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
KK98-251,3.13,34.2,2.0,0.6519761912235764,146.361214057508,252.694127573843,399.055341631351,21.403518402356188,28.123524304505803,35.34180554677602,,836.8706753747215,1213.1311387640858,True,1.6475164095810269,1.4496040720041814,formula
