galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
NGC3109,0.26,6.1,1.6,0.9895252637248078,33.57076923076922,221456621414.57748,221456621448.14825,2.9543865691544156,239955.66583806716,239955.66585625467,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,0.52,11.2,0.7,1.038540096382156,51.66788461538463,116213091964.23094,116213092015.89882,5.183367631183419,245826.7841822776,245826.7842369244,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,0.77,14.9,1.5,0.8302198172433968,90.28688311688312,62738986935.98846,62738987026.27534,8.337919404743607,219793.12987605212,219793.13003420286,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,1.03,19.1,2.2,0.8188449751761389,113.16475728155339,46259357318.51201,46259357431.676765,10.796281767349349,218282.24398257263,218282.24424956573,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,1.29,24.3,0.9,0.8435975082860914,139.9731007751938,38052282229.46186,38052282369.43496,13.437458837146258,221556.86420421686,221556.86461170888,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,1.55,29.8,1.9,0.9155596557063534,153.91096774193548,34370834781.25829,34370834935.16926,15.445452405157967,230813.33131114926,230813.33182793483,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,1.81,34.3,1.6,0.9526633165363372,163.17486187845302,30626403416.354057,30626403579.52892,17.185648082047997,235443.81534370538,235443.81597091767,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,2.06,38.2,3.5,0.98335368752014,168.06723300970873,27776508973.316658,27776509141.383892,18.606947627163354,239206.20494676204,239206.20567044412,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,2.32,42.5,5.6,1.0527572681308541,162.39383620689657,26404344763.50919,26404344925.903027,19.41014425500233,247503.69664177002,247503.69740287724,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,2.58,42.3,3.0,1.0195309785106053,153.8862403100775,22994070131.136612,22994070285.022854,19.925523832511907,243566.62525545747,243566.62607048397,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
