galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
UGC09133,0.32,284.0,34.7,0.7168923603212437,114945.6753125,105903312471.87556,105903427417.55087,191.7879456587405,184089.81501158662,184089.914915555,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,0.63,282.0,18.8,0.0,139512.64428571428,0.0,139512.64428571428,296.4674786549108,0.0,296.4674786549108,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,0.95,281.0,12.6,0.0,113672.19336842108,0.0,113672.19336842108,328.6161646967477,0.0,328.6161646967477,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,1.26,280.0,10.6,0.0,91202.62142857142,0.0,91202.62142857142,338.9915972409936,0.0,338.9915972409936,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,1.58,280.0,10.8,0.0,74628.65569620252,0.0,74628.65569620252,343.38502588202647,0.0,343.38502588202647,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,1.89,279.0,7.67,0.0,62368.22439153439,0.0,62368.22439153439,343.33066291841743,0.0,343.33066291841743,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,2.21,279.0,11.2,0.0,52979.08606334842,0.0,52979.08606334842,342.17507244099477,0.0,342.17507244099477,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,2.52,279.0,4.45,0.0,45959.68083333333,0.0,45959.68083333333,340.32101859861666,0.0,340.32101859861666,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,2.84,279.0,5.03,0.0,40286.147816901415,0.0,40286.147816901415,338.24940472970536,0.0,338.24940472970536,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,3.15,279.0,4.26,0.0,36188.97587301587,0.0,36188.97587301587,337.63186164815664,0.0,337.63186164815664,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,3.47,279.0,4.14,0.0,33189.63763688761,0.0,33189.63763688761,339.3641740078054,0.0,339.3641740078054,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,3.79,279.0,5.73,0.0,30720.355250659635,0.0,30720.355250659635,341.21861965607917,0.0,341.21861965607917,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,4.1,280.0,4.52,0.0,28556.788414634153,0.0,28556.788414634153,342.17368762077547,0.0,342.17368762077547,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,4.42,280.0,4.86,0.0,26466.278619909503,0.0,26466.278619909503,342.02478199686055,0.0,342.02478199686055,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,4.73,280.0,1.59,0.0,24530.433594080336,0.0,24530.433594080336,340.63022605165264,0.0,340.63022605165264,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,5.05,281.0,1.85,0.0,22637.710613861385,0.0,22637.710613861385,338.11305594430985,0.0,338.11305594430985,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,5.36,282.0,4.81,0.0,20957.146324626865,0.0,20957.146324626865,335.15713374475564,0.0,335.15713374475564,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,5.68,282.0,20.3,0.0,19423.809524647888,0.0,19423.809524647888,332.1554426770695,0.0,332.1554426770695,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,5.99,283.0,12.8,0.0,18133.72128547579,0.0,18133.72128547579,329.5769872123962,0.0,329.5769872123962,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,6.31,284.0,8.08,0.0,16991.027337559433,0.0,16991.027337559433,327.4345468944901,0.0,327.4345468944901,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,6.62,284.0,7.81,0.0,16075.981299093655,0.0,16075.981299093655,326.22537638877816,0.0,326.22537638877816,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,6.94,285.0,10.4,0.0,15266.534596541787,0.0,15266.534596541787,325.49923210354893,0.0,325.49923210354893,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,7.57,286.0,6.82,0.0,13861.93064729194,0.0,13861.93064729194,323.93643666620767,0.0,323.93643666620767,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,7.89,287.0,13.4,0.0,13157.078973384032,0.0,13157.078973384032,322.19458887448747,0.0,322.19458887448747,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,8.2,287.0,10.5,0.0,12468.588951219512,0.0,12468.588951219512,319.75370115137054,0.0,319.75370115137054,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,8.31,288.0,2.93,0.0,12241.04969915764,0.0,12241.04969915764,318.9406261359628,0.0,318.9406261359628,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,8.52,288.0,5.58,0.0,11840.053122065729,0.0,11840.053122065729,317.61179543587485,0.0,317.61179543587485,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,8.83,288.0,5.74,0.0,11314.930147225366,0.0,11314.930147225366,316.08674948501084,0.0,316.08674948501084,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,9.15,288.0,7.0,0.0,10803.509595628415,0.0,10803.509595628415,314.40755843331755,0.0,314.40755843331755,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,9.78,289.0,12.7,0.0,9830.24263803681,0.0,9830.24263803681,310.06414336391754,0.0,310.06414336391754,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,10.1,289.0,3.89,0.0,9347.465584158417,0.0,9347.465584158417,307.26113063646693,0.0,307.26113063646693,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,11.04,288.0,5.02,0.0,8087.500697463769,0.0,8087.500697463769,298.8076433092032,0.0,298.8076433092032,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,11.36,288.0,3.39,0.0,7719.221584507042,0.0,7719.221584507042,296.1255767406794,0.0,296.1255767406794,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,11.67,288.0,10.7,0.0,7391.5176520994,0.0,7391.5176520994,293.69884405628835,0.0,293.69884405628835,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
UGC09133,13.57,285.0,4.07,0.021994973444995694,5854.962593957258,76621237.97935629,76627092.94195025,281.87203195776624,32245.157766397497,32246.389739353224,,74133006503.38669,47272173434.53667,True,4.679982357570999,0.6376670212663922,formula,77132586218.29478
