galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
NGC4157,1.74,96.4,12.1,-0.8547025892824376,12591.864942528737,-8560.738352026538,4031.126590502199,148.01974530446944,0.0,83.75058368437695,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,3.5,157.0,10.5,-0.7035928780467654,14266.326914285717,-3503.4735466902393,10762.853367595479,223.45501605468607,0.0,194.08757504431904,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,5.24,192.0,8.4,-0.461824081764189,11180.18711832061,-1535.9983199471683,9644.188798373441,242.04169165662347,0.0,224.80113278957657,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,6.98,201.0,6.9,-0.43461891967086175,8950.710300859599,-1085.1721952881928,7865.538105571406,249.95191117492982,0.0,234.31059723556768,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,8.72,201.0,7.3,-0.4731124908446414,7446.868451834862,-945.5693393497294,6501.299112485132,254.82678999665637,0.0,238.0994083589255,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,10.47,194.0,6.4,-0.3930622609890854,5331.7153104106965,-654.2746872984524,4677.440623112244,236.26904007931296,0.0,221.2979966560592,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,12.19,190.0,6.0,-0.2605352265647794,3845.6460541427396,-372.4844941027901,3473.1615600399496,216.51426142404569,0.0,205.7616082190431,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,13.94,186.0,6.4,-0.1523523894712573,2891.38118364419,-190.47235371065852,2700.9088299335317,200.76317814778687,0.0,194.0378032479069,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,15.68,184.0,6.4,-0.034190026442680765,2234.475216836735,-38.001332968210896,2196.473883868524,187.18058499748312,0.0,185.58208560919465,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,17.42,182.0,7.3,0.03913939992809933,1828.3330941446613,39.1571851405714,1867.4902792852326,178.4644572456936,26.117392005113256,180.3654087266978,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,19.16,181.0,6.6,0.13447438881699952,1494.2568162839248,122.31776206825076,1616.5745783521754,169.2039024372665,48.41082855341028,175.9930933907001,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,20.9,183.0,6.5,0.26515554481138764,1228.4367511961727,221.10566987250155,1449.5424210686742,160.2321069573761,67.97873564825461,174.055843338669,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,22.65,185.0,6.5,0.3483507005810457,1065.807033112583,268.0364974559398,1333.8435305685227,155.37222821341015,77.91679323083719,173.81471734976023,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,24.39,186.0,9.1,0.4434558906675878,909.601225912259,316.8721570022521,1226.4733829145111,148.94688281397498,87.91195544000217,172.95573366987557,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,26.13,186.0,11.4,0.5255083849230098,782.0625220053579,350.49811969787527,1132.5606417032332,142.9520678409375,95.70013514988095,172.02851382170772,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,27.87,184.0,13.6,0.5793171532833884,679.9194079655541,362.2637441786392,1042.1831521441932,137.6566522184816,100.48029931413757,170.42782768743683,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
NGC4157,29.61,185.0,13.6,0.6577365023811705,598.0968355285377,387.1319270820576,985.2287626105953,133.0775987910813,107.06529017800179,170.7999521689035,,29154.12772107756,17427.915767789815,True,4.120433723351332,0.5977855326191068,141161519850.3116,formula
