galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
F563-1,1.07,22.1,7.17,0.30266416308682953,316.6452336448598,565.7274076389338,882.3726412837935,18.40680309016207,24.60342102581792,30.726840484723763,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,1.78,42.7,10.66,0.4479032469113141,346.61853932584273,503.2620751812518,849.8806145070946,24.83910223820499,29.93002662582558,38.89456895020985,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,2.49,60.6,7.69,0.4548011589575216,318.29919678714856,365.30213570885263,683.6013324960012,28.152530969701463,30.15961402132068,41.25733047489916,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,2.97,76.8,11.1,0.45574298203157537,289.65885521885525,306.89763099769385,596.556486216549,29.330646089031184,30.190825826120605,42.092431196869,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,3.04,81.6,17.5,0.4558298140237439,282.6974013157895,299.88803554193674,582.5854368577262,29.315526602808962,30.19370179437241,42.08396046057794,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,3.19,87.0,8.93,0.45588070294795463,271.18047021943573,285.81862253790257,556.9990927573383,29.411999252005973,30.195387162543707,42.15242704632687,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,6.95,90.0,24.8,0.4557344352938426,171.55306474820142,131.14660008455903,302.69966483276045,34.52960758537519,30.190542734235258,45.86679267822947,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,8.58,97.8,9.4,0.45576051807035256,159.37494172494172,106.23788300008218,265.61282472502387,36.978872346246575,30.191406660516915,47.73843353253964,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,9.26,93.7,25.3,0.455596760601238,156.14697624190066,98.40102820761079,254.54800444951144,38.02526791490101,30.18598219708075,48.550123802133356,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,9.89,103.0,23.8,0.45574959782219143,155.31305358948433,92.16372048982637,247.4767740793107,39.19242401281146,30.191044957807986,49.4726722104677,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,10.08,97.4,11.0,0.45558787493572384,155.87787698412697,90.39441963010394,246.27229661423092,39.63898333711398,30.185687831676912,49.82393751874141,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,11.84,106.5,9.48,0.4557019653614705,145.5669341216216,76.97668333808623,222.54361745970783,41.515208056807325,30.189467214956625,51.33143706076171,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,14.56,112.0,11.0,0.4558396096452879,109.10896291208792,62.61533099523185,171.72429390731978,39.8575776986008,30.194026218617743,50.00305709944719,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,15.43,111.5,9.4,0.45584007262261256,101.94440051847052,59.084908959509086,161.0293094779796,39.661090504422596,30.1940415520219,49.846587097264994,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,17.93,111.0,24.3,0.45580275459133285,92.81650864472951,50.842471231604335,143.65897987633383,40.794607486774524,30.19280558647483,50.75239412266839,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,19.02,112.5,7.75,0.4558038475988483,89.72791798107255,47.928900904190144,137.65681888526268,41.311318061761234,30.19284178737895,51.16866907784192,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
F563-1,20.1,106.0,10.7,0.4556831237138214,86.368184079602,45.34160434963397,131.70978842923597,41.6653393121909,30.188843095217194,51.452567938127665,,1999.6248637118115,2000.0,True,1.9481183784293647,1.743429630135946,formula
