galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
NGC0055,1.23,28.7,3.4,-0.11005392301103671,766.319105691057,-108.45265815272576,657.8664475383312,30.701343618806003,0.0,28.446014316106698,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,1.84,37.6,2.6,0.000863727983394723,767.6844565217392,0.5689825554883564,768.2534390772275,37.58376511207998,1.0231949482374196,37.597690459682475,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,2.46,43.1,1.2,0.030599657709929107,732.0841056910571,15.07721908683144,747.1613247778885,42.437329086548324,6.09015262153629,42.8720988400802,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,3.07,50.1,2.8,0.1246123101101895,692.0819543973942,49.19968882539593,741.2816432227901,46.09437709742914,12.289957066400415,47.70466061816147,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,3.68,58.1,4.5,0.1558682566854296,652.1508967391304,51.339264625782796,703.4901613649132,48.98893038228126,13.745126184320052,50.88068193158264,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,4.3,64.6,4.1,0.15933945277125627,614.0462325581395,44.91533570065077,658.9615682587903,51.38481098534858,13.897335842268413,53.230956627819474,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,4.91,68.5,2.7,0.15990890592177565,569.3825254582486,39.475800365609864,608.8583258238584,52.87407871537811,13.922147097166603,54.67626889058127,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,5.52,72.3,0.8,0.16020056061227742,527.6075724637682,35.177481074380054,562.7850535381482,53.96659892933777,13.934837477723875,55.736644100004604,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,6.14,74.2,2.4,0.16025456764312226,488.6705211726385,31.636019161823036,520.3065403344615,54.776244851212645,13.937186145474037,56.52151942095677,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,6.75,78.9,2.6,0.1603752715935354,455.7340592592592,28.7987353127345,484.5327945719937,55.463545685431974,13.942433910941013,57.18912801714114,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,7.37,82.4,2.3,0.160400883588056,430.4765943012212,26.380258854111737,456.85685315533294,56.32594872702989,13.943547172610115,58.026157961343635,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,7.98,84.3,4.8,0.16040596451190683,408.76691729323306,24.364494531517074,433.13141182475016,57.11357106677887,13.9437680116067,58.79105940839565,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,8.59,85.4,7.3,0.16040504995043503,391.08463329452854,22.63417436765352,413.7188076621821,57.960477913833664,13.943728261054995,59.614130521363336,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,9.21,85.3,4.6,0.16040069070529697,369.37182410423446,21.109910310629065,390.4817344148635,58.32593334015324,13.943538789019582,59.96946534663198,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,9.82,86.8,4.0,0.16041009361786243,345.8612219959266,19.79976285806487,365.66098485399147,58.27827382481399,13.943947477891511,59.923208118943336,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,10.43,85.4,5.7,0.16040415023884222,323.16005752636624,18.64108027558723,341.8011378019535,58.0565190138024,13.943689155828697,59.707502604567,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,11.05,85.4,7.0,0.16040939921618996,298.5218552036199,17.595731183651253,316.11758638727116,57.43401866489929,13.943917296776625,59.102447746090405,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,11.66,86.2,4.1,0.16041547767894257,278.23459691252145,16.675831672955677,294.9104285854771,56.95801436145751,13.94418148571881,58.640051136630696,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,12.28,86.1,6.2,0.16041477183181405,264.8902442996743,15.833822617812109,280.7240669174864,57.03378121780109,13.94415080765884,58.71364016773899,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,12.89,87.4,2.5,0.16041658495773697,256.55417377812256,15.084681104996852,271.6388548831194,57.50637616821286,13.944229610968453,59.17283869684983,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
NGC0055,13.5,86.5,5.5,0.16040602425411737,254.3431185185185,14.402128798167551,268.74524731668606,58.597202151638605,13.943770608241586,60.23338641297916,,1998.7748647971102,1212.1037204141742,True,4.0518542080564375,0.6064233354951716,formula
