galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
IC2574,0.85,10.3,0.2,0.1264163867509898,108.19776470588235,296.9243888526746,405.122153558557,9.59,15.886652590296466,18.55677317113009,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,1.14,12.9,2.7,0.12877993648762814,126.10535087719299,225.5302384549576,351.63558933215063,11.99,16.034477597934135,20.02160262912666,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,1.42,16.4,1.8,0.20472615761910162,135.318661971831,287.83686440639275,423.1555263782237,13.861908238045729,20.217031123710466,24.512871056999373,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,1.71,18.6,2.1,0.20632485051967875,143.27865497076024,240.88893558020453,384.16759055096475,15.652683476005002,20.29581434291686,25.63057899935446,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,1.99,19.8,2.0,0.1793119976785196,154.43075376884426,179.8944216120863,334.32517538093055,17.53046491111973,18.92062099953518,25.793547623544377,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,2.28,26.1,0.6,0.22617741412395903,153.353201754386,198.0504398889911,351.4036416433771,18.698804774637335,21.2498235980184,28.305481853289475,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,2.55,27.7,2.7,0.22608389891490785,155.64192156862745,177.007177734979,332.6490993036065,19.922020479860972,21.245430172726472,29.124821084844392,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,2.84,29.7,2.6,0.22662341468071948,152.206338028169,159.31177002826175,311.5181080564307,20.791007671587252,21.27076460497514,29.744099026197837,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,3.13,33.0,3.4,0.227263972577982,147.92849840255593,144.95983306280297,292.8883314653589,21.517811226981244,21.300804620637532,30.277722462011127,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,3.41,34.8,1.2,0.22737186360161693,142.14794721407625,133.1201401764297,275.2680873905059,22.01645975174029,21.305860179810278,30.637626833709316,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,3.7,35.0,0.9,0.22739667456565238,129.91137837837834,122.69978707873781,252.61116545711616,21.924235448471173,21.307022602685013,30.572231063357638,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
IC2574,3.98,39.0,10.2,0.22750915635713692,120.4604271356784,114.12406482609757,234.58449196177597,21.89594711356419,21.31229171177676,30.555625963279958,,1996.4637260350848,1996.4637260350848,True,2.5690278455180557,1.379336579165812,formula
